text	link	year
Black Bermudian	/wiki/Black_Bermudian	['1900', '1950']
White Bermudian	/wiki/White_Bermudian	['1900', '1950']
Multiracial	/wiki/Multiracial	['1900', '1950']
Asian Caribbean	/wiki/Asian_Caribbean	['1900', '1950']
Devonshire Parish	/wiki/Devonshire_Parish	['1900', '1950']
Hamilton Parish	/wiki/Hamilton_Parish	['1900', '1950']
Paget Parish	/wiki/Paget_Parish	['1900', '1950']
Pembroke Parish	/wiki/Pembroke_Parish	['1900', '1950']
Sandys Parish	/wiki/Sandys_Parish	['1900', '1950']
Smith's Parish	/wiki/Smith%27s_Parish	['1900', '1950']
Warwick Parish	/wiki/Warwick_Parish	['1900', '1950']
Desegregation	/wiki/Desegregation	['1900', '1950']
Montessori method	/wiki/Montessori_method	['1900', '1950']
International Standard Book Number	/wiki/International_Standard_Book_Number	['1900', '1950']
International Standard Book Number	/wiki/International_Standard_Book_Number	['1900', '1950']
International Standard Book Number	/wiki/International_Standard_Book_Number	['1580', '1631']
London Company	/wiki/London_Company	['1900', '1950']
Sea Venture	/wiki/Sea_Venture	['1900', '1950']
George Somers	/wiki/George_Somers	['1900', '1950']
Somers Isles Company	/wiki/Somers_Isles_Company	['1900', '1950']
North America and West Indies Station	/wiki/North_America_and_West_Indies_Station	['1900', '1950']
Sargasso Sea	/wiki/Sargasso_Sea	['1900', '1950']
Sweet onion	/wiki/Sweet_onion	['1900', '1950']
Casuarina	/wiki/Casuarina	['1900', '1950']
Cassine laneana	/wiki/Cassine_laneana	['1900', '1950']
Juniperus bermudiana	/wiki/Juniperus_bermudiana	['1900', '1950']
Lilium longiflorum	/wiki/Lilium_longiflorum	['1900', '1950']
Sisyrinchium	/wiki/Sisyrinchium	['1900', '1950']
Common ground dove	/wiki/Common_ground_dove	['1900', '1950']
Eastern bluebird	/wiki/Eastern_bluebird	['1900', '1950']
Gray catbird	/wiki/Gray_catbird	['1900', '1950']
Great kiskadee	/wiki/Great_kiskadee	['1900', '1950']
Humpback whale	/wiki/Humpback_whale	['1900', '1950']
Mourning dove	/wiki/Mourning_dove	['1900', '1950']
Northern cardinal	/wiki/Northern_cardinal	['1900', '1950']
White-eyed vireo	/wiki/White-eyed_vireo	['1900', '1950']
White-tailed tropicbird	/wiki/White-tailed_tropicbird	['1900', '1950']
Yellow-crowned night heron	/wiki/Yellow-crowned_night_heron	['1900', '1950']
The Berkeley Institute	/wiki/The_Berkeley_Institute	['1900', '1950']
Cedarbridge Academy	/wiki/Cedarbridge_Academy	['1900', '1950']
Saltus Grammar School	/wiki/Saltus_Grammar_School	['1900', '1950']
Warwick Academy	/wiki/Warwick_Academy	['1900', '1950']
British Overseas Territories	/wiki/British_Overseas_Territories	['1900', '1950']
ACE Limited	/wiki/ACE_Limited	['1900', '1950']
Bermudian dollar	/wiki/Bermudian_dollar	['1900', '1950']
Butterfield Bank	/wiki/Butterfield_Bank	['1900', '1950']
XL Group	/wiki/XL_Group	['1900', '1950']
The Fairmont Hamilton Princess	/wiki/The_Fairmont_Hamilton_Princess	['1900', '1950']
Bermudian English	/wiki/Bermudian_English	['1900', '1950']
Gombey	/wiki/Gombey	['1900', '1950']
Antigua and Barbuda	/wiki/Antigua_and_Barbuda	['1900', '1950']
The Bahamas	/wiki/The_Bahamas	['1900', '1950']
Barbados	/wiki/Barbados	['1900', '1950']
Belize	/wiki/Belize	['1900', '1950']
Canada	/wiki/Canada	['1900', '1950']
Costa Rica	/wiki/Costa_Rica	['1900', '1950']
Cuba	/wiki/Cuba	['1900', '1950']
Dominica	/wiki/Dominica	['1900', '1950']
Dominican Republic	/wiki/Dominican_Republic	['1900', '1950']
El Salvador	/wiki/El_Salvador	['1900', '1950']
Grenada	/wiki/Grenada	['1900', '1950']
Guatemala	/wiki/Guatemala	['1900', '1950']
Haiti	/wiki/Haiti	['1900', '1950']
Honduras	/wiki/Honduras	['1900', '1950']
Jamaica	/wiki/Jamaica	['1900', '1950']
Mexico	/wiki/Mexico	['1900', '1950']
Nicaragua	/wiki/Nicaragua	['1900', '1950']
Panama	/wiki/Panama	['1900', '1950']
Saint Kitts and Nevis	/wiki/Saint_Kitts_and_Nevis	['1900', '1950']
Saint Lucia	/wiki/Saint_Lucia	['1900', '1950']
Saint Vincent and the Grenadines	/wiki/Saint_Vincent_and_the_Grenadines	['1900', '1950']
Trinidad and Tobago	/wiki/Trinidad_and_Tobago	['1900', '1950']
United States	/wiki/United_States	['1900', '1950']
Colombia	/wiki/Colombia	['1900', '1950']
France	/wiki/France	['1900', '1950']
Guadeloupe	/wiki/Guadeloupe	['1900', '1950']
Martinique	/wiki/Martinique	['1900', '1950']
Caribbean Netherlands	/wiki/Caribbean_Netherlands	['1900', '1950']
Bonaire	/wiki/Bonaire	['1900', '1950']
Saba	/wiki/Saba	['1900', '1950']
Sint Eustatius	/wiki/Sint_Eustatius	['1900', '1950']
Venezuela	/wiki/Venezuela	['1900', '1950']
Nueva Esparta	/wiki/Nueva_Esparta	['1900', '1950']
Greenland	/wiki/Greenland	['1900', '1950']
Clipperton Island	/wiki/Clipperton_Island	['1900', '1950']
Saint Barthélemy	/wiki/Saint_Barth%C3%A9lemy	['1900', '1950']
Saint Pierre and Miquelon	/wiki/Saint_Pierre_and_Miquelon	['1900', '1950']
Aruba	/wiki/Aruba	['1900', '1950']
Curaçao	/wiki/Cura%C3%A7ao	['1900', '1950']
Sint Maarten	/wiki/Sint_Maarten	['1900', '1950']
Anguilla	/wiki/Anguilla	['1900', '1950']
British Virgin Islands	/wiki/British_Virgin_Islands	['1900', '1950']
Cayman Islands	/wiki/Cayman_Islands	['1900', '1950']
Montserrat	/wiki/Montserrat	['1900', '1950']
Turks and Caicos Islands	/wiki/Turks_and_Caicos_Islands	['1900', '1950']
Puerto Rico	/wiki/Puerto_Rico	['1900', '1950']
United States Virgin Islands	/wiki/United_States_Virgin_Islands	['1900', '1950']
Template:United Kingdom constituents and affiliations	/wiki/Template:United_Kingdom_constituents_and_affiliations	['1900', '1950']
Template talk:United Kingdom constituents and affiliations	/wiki/Template_talk:United_Kingdom_constituents_and_affiliations	['1900', '1950']
England	/wiki/England	['1900', '1950']
Northern Ireland	/wiki/Northern_Ireland	['1900', '1950']
Scotland	/wiki/Scotland	['1900', '1950']
Wales	/wiki/Wales	['1900', '1950']
Akrotiri and Dhekelia	/wiki/Akrotiri_and_Dhekelia	['1900', '1950']
Anguilla	/wiki/Anguilla	['1900', '1950']
British Antarctic Territory	/wiki/British_Antarctic_Territory	['1900', '1950']
British Indian Ocean Territory	/wiki/British_Indian_Ocean_Territory	['1900', '1950']
British Virgin Islands	/wiki/British_Virgin_Islands	['1900', '1950']
Cayman Islands	/wiki/Cayman_Islands	['1900', '1950']
Falkland Islands	/wiki/Falkland_Islands	['1900', '1950']
Gibraltar	/wiki/Gibraltar	['1900', '1950']
Montserrat	/wiki/Montserrat	['1900', '1950']
Pitcairn Islands	/wiki/Pitcairn_Islands	['1900', '1950']
Saint Helena, Ascension and Tristan da Cunha	/wiki/Saint_Helena,_Ascension_and_Tristan_da_Cunha	['1900', '1950']
South Georgia and the South Sandwich Islands	/wiki/South_Georgia_and_the_South_Sandwich_Islands	['1900', '1950']
Turks and Caicos Islands	/wiki/Turks_and_Caicos_Islands	['1900', '1950']
Guernsey	/wiki/Guernsey	['1900', '1950']
Alderney	/wiki/Alderney	['1900', '1950']
Sark	/wiki/Sark	['1900', '1950']
Jersey	/wiki/Jersey	['1900', '1950']
Template:British overseas territories	/wiki/Template:British_overseas_territories	['1900', '1950']
Template talk:British overseas territories	/wiki/Template_talk:British_overseas_territories	['1900', '1950']
Menorca	/wiki/Menorca	['1900', '1950']
Gibraltar	/wiki/Gibraltar	['1900', '1950']
Malta Protectorate	/wiki/Malta_Protectorate	['1900', '1950']
Heligoland	/wiki/Heligoland	['1900', '1950']
British Cyprus	/wiki/British_Cyprus	['1900', '1950']
Irish Free State	/wiki/Irish_Free_State	['1900', '1950']
New Albion	/wiki/New_Albion	['1900', '1950']
British Arctic Territories	/wiki/British_Arctic_Territories	['1900', '1950']
British Saint Lucia	/wiki/British_Saint_Lucia	['1900', '1950']
Plymouth Colony	/wiki/Plymouth_Colony	['1900', '1950']
Saint Kitts	/wiki/Saint_Kitts	['1900', '1950']
Saint Croix, U.S. Virgin Islands	/wiki/Saint_Croix,_U.S._Virgin_Islands	['1900', '1950']
Nevis	/wiki/Nevis	['1900', '1950']
Massachusetts Bay Colony	/wiki/Massachusetts_Bay_Colony	['1900', '1950']
Montserrat	/wiki/Montserrat	['1900', '1950']
Antigua	/wiki/Antigua	['1900', '1950']
Saybrook Colony	/wiki/Saybrook_Colony	['1900', '1950']
Connecticut Colony	/wiki/Connecticut_Colony	['1900', '1950']
New Haven Colony	/wiki/New_Haven_Colony	['1900', '1950']
Bay Islands Department	/wiki/Bay_Islands_Department	['1900', '1950']
Anguilla	/wiki/Anguilla	['1900', '1950']
Mosquito Coast	/wiki/Mosquito_Coast	['1900', '1950']
British Virgin Islands	/wiki/British_Virgin_Islands	['1900', '1950']
Cayman Islands	/wiki/Cayman_Islands	['1900', '1950']
Rupert's Land	/wiki/Rupert%27s_Land	['1900', '1950']
British Leeward Islands	/wiki/British_Leeward_Islands	['1900', '1950']
East Jersey	/wiki/East_Jersey	['1900', '1950']
West Jersey	/wiki/West_Jersey	['1900', '1950']
Delaware Colony	/wiki/Delaware_Colony	['1900', '1950']
Cape Breton Island	/wiki/Cape_Breton_Island	['1900', '1950']
East Florida	/wiki/East_Florida	['1900', '1950']
British West Florida	/wiki/British_West_Florida	['1900', '1950']
Lower Canada	/wiki/Lower_Canada	['1900', '1950']
Upper Canada	/wiki/Upper_Canada	['1900', '1950']
Turks and Caicos Islands	/wiki/Turks_and_Caicos_Islands	['1900', '1950']
Columbia District	/wiki/Columbia_District	['1900', '1950']
British Windward Islands	/wiki/British_Windward_Islands	['1900', '1950']
British Leeward Islands	/wiki/British_Leeward_Islands	['1900', '1950']
Paulet affair	/wiki/Paulet_affair_(1843)	['1900', '1950']
North-Western Territory	/wiki/North-Western_Territory	['1900', '1950']
Stickeen Territories	/wiki/Stickeen_Territories	['1900', '1950']
Post-Confederation Canada	/wiki/Post-Confederation_Canada_(1867%E2%80%931914)	['1900', '1950']
British Honduras	/wiki/British_Honduras	['1900', '1950']
West Indies Federation	/wiki/West_Indies_Federation	['1900', '1950']
West Indies Associated States	/wiki/West_Indies_Associated_States	['1900', '1950']
Condominium	/wiki/Condominium_(international_law)	['1900', '1950']
Dominion	/wiki/Dominion	['1900', '1950']
Responsible government	/wiki/Responsible_government	['1900', '1950']
Providence Island colony	/wiki/Providence_Island_colony	['1900', '1950']
Willoughbyland	/wiki/Willoughbyland	['1900', '1950']
British Guiana	/wiki/British_Guiana	['1900', '1950']
Falkland Islands	/wiki/Falkland_Islands	['1900', '1950']
South Georgia and the South Sandwich Islands	/wiki/South_Georgia_and_the_South_Sandwich_Islands	['1900', '1950']
Falklands War	/wiki/Falklands_War	['1900', '1950']
Saint Helena	/wiki/Saint_Helena	['1900', '1950']
Sierra Leone Colony and Protectorate	/wiki/Sierra_Leone_Colony_and_Protectorate	['1900', '1950']
Cape Colony	/wiki/Cape_Colony	['1900', '1950']
Ascension Island	/wiki/Ascension_Island	['1900', '1950']
Tristan da Cunha	/wiki/Tristan_da_Cunha	['1900', '1950']
Cape Colony	/wiki/Cape_Colony	['1900', '1950']
British Mauritius	/wiki/British_Mauritius	['1900', '1950']
Gambia Colony and Protectorate	/wiki/Gambia_Colony_and_Protectorate	['1900', '1950']
Lagos Colony	/wiki/Lagos_Colony	['1900', '1950']
Basutoland	/wiki/Basutoland	['1900', '1950']
Gold Coast	/wiki/Gold_Coast_(British_colony)	['1900', '1950']
Niger Coast Protectorate	/wiki/Niger_Coast_Protectorate	['1900', '1950']
Bechuanaland Protectorate	/wiki/Bechuanaland_Protectorate	['1900', '1950']
British Somaliland	/wiki/British_Somaliland	['1900', '1950']
Zulu Kingdom	/wiki/Zulu_Kingdom	['1900', '1950']
Uganda Protectorate	/wiki/Uganda_Protectorate	['1900', '1950']
Zanzibar	/wiki/Zanzibar	['1900', '1950']
Nyasaland	/wiki/Nyasaland	['1900', '1950']
British Central Africa Protectorate	/wiki/British_Central_Africa_Protectorate	['1900', '1950']
East Africa Protectorate	/wiki/East_Africa_Protectorate	['1900', '1950']
Anglo-Egyptian Sudan	/wiki/Anglo-Egyptian_Sudan	['1900', '1950']
Northern Nigeria Protectorate	/wiki/Northern_Nigeria_Protectorate	['1900', '1950']
Southern Nigeria Protectorate	/wiki/Southern_Nigeria_Protectorate	['1900', '1950']
Orange River Colony	/wiki/Orange_River_Colony	['1900', '1950']
Transvaal Colony	/wiki/Transvaal_Colony	['1900', '1950']
Colonial Nigeria	/wiki/Colonial_Nigeria	['1900', '1950']
South-West Africa	/wiki/South-West_Africa	['1900', '1950']
British Cameroons	/wiki/British_Cameroons	['1900', '1950']
Kenya Colony	/wiki/Kenya_Colony	['1900', '1950']
Tanganyika	/wiki/Tanganyika_(territory)	['1900', '1950']
Southern Rhodesia	/wiki/Southern_Rhodesia	['1900', '1950']
Northern Rhodesia	/wiki/Northern_Rhodesia	['1900', '1950']
Responsible government	/wiki/Responsible_government	['1900', '1950']
British Bencoolen	/wiki/British_Bencoolen	['1900', '1950']
Côn Sơn Island	/wiki/C%C3%B4n_S%C6%A1n_Island	['1900', '1950']
Bengal Presidency	/wiki/Bengal_Presidency	['1900', '1950']
Padang	/wiki/Padang	['1900', '1950']
British Ceylon	/wiki/British_Ceylon	['1900', '1950']
Java Island	/wiki/Java_Island	['1900', '1950']
Bangka Island	/wiki/Bangka_Island	['1900', '1950']
British Malaya	/wiki/British_Malaya	['1900', '1950']
Straits Settlements	/wiki/Straits_Settlements	['1900', '1950']
First Anglo-Afghan War	/wiki/First_Anglo-Afghan_War	['1900', '1950']
British Hong Kong	/wiki/British_Hong_Kong	['1900', '1950']
British Raj	/wiki/British_Raj	['1900', '1950']
British Borneo	/wiki/British_Borneo	['1900', '1950']
North Borneo	/wiki/North_Borneo	['1900', '1950']
Unfederated Malay States	/wiki/Unfederated_Malay_States	['1900', '1950']
Bruneian Empire	/wiki/Bruneian_Empire	['1900', '1950']
Muscat and Oman	/wiki/Muscat_and_Oman	['1900', '1950']
Trucial States	/wiki/Trucial_States	['1900', '1950']
Federated Malay States	/wiki/Federated_Malay_States	['1900', '1950']
Weihaiwei under British rule	/wiki/Weihaiwei_under_British_rule	['1900', '1950']
British Cyprus	/wiki/British_Cyprus	['1900', '1950']
British Mandate for Mesopotamia	/wiki/British_Mandate_for_Mesopotamia_(legal_instrument)	['1900', '1950']
Mandatory Palestine	/wiki/Mandatory_Palestine	['1900', '1950']
Malayan Union	/wiki/Malayan_Union	['1900', '1950']
Akrotiri and Dhekelia	/wiki/Akrotiri_and_Dhekelia	['1900', '1950']
British Indian Ocean Territory	/wiki/British_Indian_Ocean_Territory	['1900', '1950']
Van Diemen's Land	/wiki/Van_Diemen%27s_Land	['1900', '1950']
Auckland Islands	/wiki/Auckland_Islands	['1900', '1950']
New Hebrides	/wiki/New_Hebrides	['1900', '1950']
Swan River Colony	/wiki/Swan_River_Colony	['1900', '1950']
North Australia	/wiki/North_Australia	['1900', '1950']
British Western Pacific Territories	/wiki/British_Western_Pacific_Territories	['1900', '1950']
Union Islands	/wiki/Union_Islands	['1900', '1950']
Gilbert and Ellice Islands	/wiki/Gilbert_and_Ellice_Islands	['1900', '1950']
British Solomon Islands	/wiki/British_Solomon_Islands	['1900', '1950']
Western Samoa Trust Territory	/wiki/Western_Samoa_Trust_Territory	['1900', '1950']
Kiribati	/wiki/Kiribati	['1900', '1950']
Solomon Islands	/wiki/Solomon_Islands	['1900', '1950']
Papua New Guinea	/wiki/Papua_New_Guinea	['1900', '1950']
Saint Helena	/wiki/Saint_Helena	['1900', '1950']
Ascension Island	/wiki/Ascension_Island	['1900', '1950']
Tristan da Cunha	/wiki/Tristan_da_Cunha	['1900', '1950']
British Antarctic Territory	/wiki/British_Antarctic_Territory	['1900', '1950']
Australian Antarctic Territory	/wiki/Australian_Antarctic_Territory	['1900', '1950']
Ross Dependency	/wiki/Ross_Dependency	['1900', '1950']
Saint Helena, Ascension and Tristan da Cunha	/wiki/Saint_Helena,_Ascension_and_Tristan_da_Cunha	['1900', '1950']
Template:EU dependencies	/wiki/Template:EU_dependencies	['1900', '1950']
