text	link	year
Falkland Islands	/wiki/Falkland_Islands	['1900', '1950']
Template:British peoples	/wiki/Template:British_peoples	['1900', '1950']
Template talk:British peoples	/wiki/Template_talk:British_peoples	['1900', '1950']
Anglosphere	/wiki/Anglosphere	['1900', '1950']
English language	/wiki/English_language	['1900', '1950']
English-speaking world	/wiki/English-speaking_world	['1900', '1950']
British diaspora	/wiki/British_diaspora	['1900', '1950']
Anglo-Irish	/wiki/Anglo-Irish	['1900', '1950']
Ascension Island	/wiki/Ascension_Island	['1900', '1950']
Chagossians	/wiki/Chagossians	['1900', '1950']
Channel Islands	/wiki/Channel_Islands	['1900', '1950']
Cornish people	/wiki/Cornish_people	['1900', '1950']
English people	/wiki/English_people	['1900', '1950']
Gibraltarian people	/wiki/Gibraltarian_people	['1900', '1950']
Manx people	/wiki/Manx_people	['1900', '1950']
Orcadians	/wiki/Orcadians	['1900', '1950']
Scottish people	/wiki/Scottish_people	['1900', '1950']
Scots Gaels	/wiki/Scots_Gaels	['1900', '1950']
Shetland	/wiki/Shetland	['1900', '1950']
Tristan da Cunha	/wiki/Tristan_da_Cunha	['1900', '1950']
Turks and Caicos Islands	/wiki/Turks_and_Caicos_Islands	['1900', '1950']
Ulster Protestants	/wiki/Ulster_Protestants	['1900', '1950']
Ulster Scots people	/wiki/Ulster_Scots_people	['1900', '1950']
Welsh people	/wiki/Welsh_people	['1900', '1950']
Template:South America topic	/wiki/Template:South_America_topic	['1900', '1950']
Template talk:South America topic	/wiki/Template_talk:South_America_topic	['1900', '1950']
