text	link	year
Buddhism	/wiki/Buddhism	['1900', '1950']
Hinduism	/wiki/Hinduism	['1900', '1950']
Sikhism	/wiki/Sikhism	['1900', '1950']
Jehovah's Witnesses	/wiki/Jehovah%27s_Witnesses	['1900', '1950']
Iglesia ni Cristo	/wiki/Iglesia_ni_Cristo	['1900', '1950']
Philippine mythology	/wiki/Philippine_mythology	['1900', '1950']
Pinoy	/wiki/Pinoy	['1900', '1950']
Philippines	/wiki/Philippines	['1900', '1950']
Philippine nationality law	/wiki/Philippine_nationality_law	['1900', '1950']
Philippine music	/wiki/Philippine_music	['1900', '1950']
Philippine cinema	/wiki/Philippine_cinema	['1900', '1950']
Digital object identifier	/wiki/Digital_object_identifier	['1900', '1950']
Darrell Tryon	/wiki/Darrell_Tryon	['1900', '1950']
Digital object identifier	/wiki/Digital_object_identifier	['1900', '1950']
Andrew Pawley	/wiki/Andrew_Pawley	['1900', '1950']
William Henry Scott	/wiki/William_Henry_Scott_(historian)	['1900', '1950']
Digital object identifier	/wiki/Digital_object_identifier	['1900', '1950']
F. Landa Jocano	/wiki/F._Landa_Jocano	['1900', '1950']
Pinoy	/wiki/Pinoy	['1900', '1950']
Bicolano people	/wiki/Bicolano_people	['1900', '1950']
Gaddang people	/wiki/Gaddang_people	['1900', '1950']
Ibanag people	/wiki/Ibanag_people	['1900', '1950']
Ilocano people	/wiki/Ilocano_people	['1900', '1950']
Ilongot	/wiki/Ilongot	['1900', '1950']
Itawes	/wiki/Itawes	['1900', '1950']
Ivatan people	/wiki/Ivatan_people	['1900', '1950']
Kapampangan people	/wiki/Kapampangan_people	['1900', '1950']
Pangasinan people	/wiki/Pangasinan_people	['1900', '1950']
Sambal people	/wiki/Sambal_people	['1900', '1950']
Tagalog people	/wiki/Tagalog_people	['1900', '1950']
Aklanon people	/wiki/Aklanon_people	['1900', '1950']
Boholano people	/wiki/Boholano_people	['1900', '1950']
Butuanon people	/wiki/Butuanon_people	['1900', '1950']
Capiznon people	/wiki/Capiznon_people	['1900', '1950']
Cebuano people	/wiki/Cebuano_people	['1900', '1950']
Eskaya people	/wiki/Eskaya_people	['1900', '1950']
Hiligaynon people	/wiki/Hiligaynon_people	['1900', '1950']
Karay-a people	/wiki/Karay-a_people	['1900', '1950']
Masbateño people	/wiki/Masbate%C3%B1o_people	['1900', '1950']
