text	link	year
International Standard Book Number	/wiki/International_Standard_Book_Number	['1900', '1950']
Cantonese people	/wiki/Cantonese_people	['1900', '1950']
Taishanese people	/wiki/Taishanese_people	['1900', '1950']
Hong Kong people	/wiki/Hong_Kong_people	['1900', '1950']
Macau people	/wiki/Macau_people	['1900', '1950']
Macanese people	/wiki/Macanese_people	['1900', '1950']
Hakka people	/wiki/Hakka_people	['1900', '1950']
Ngái people	/wiki/Ng%C3%A1i_people	['1900', '1950']
Han Taiwanese	/wiki/Han_Taiwanese	['1900', '1950']
Hebei people	/wiki/Hebei_people	['1900', '1950']
Jianghuai people	/wiki/Jianghuai_people	['1900', '1950']
Subei people	/wiki/Subei_people	['1900', '1950']
Fuzhou people	/wiki/Fuzhou_people	['1900', '1950']
Hoklo Taiwanese	/wiki/Hoklo_Taiwanese	['1900', '1950']
Hoklo people	/wiki/Hoklo_people	['1900', '1950']
Putian people	/wiki/Putian_people	['1900', '1950']
Teochew people	/wiki/Teochew_people	['1900', '1950']
Shandong people	/wiki/Shandong_people	['1900', '1950']
Sichuanese people	/wiki/Sichuanese_people	['1900', '1950']
Shanghainese people	/wiki/Shanghainese_people	['1900', '1950']
Ningbonese people	/wiki/Ningbonese_people	['1900', '1950']
Wenzhou people	/wiki/Wenzhou_people	['1900', '1950']
Hainan people	/wiki/Hainan_people	['1900', '1950']
Hui'an maidens	/wiki/Hui%27an_maidens	['1900', '1950']
Chuanqing people	/wiki/Chuanqing_people	['1900', '1950']
Gaoshan Han	/wiki/Gaoshan_Han	['1900', '1950']
Tanka people	/wiki/Tanka_people	['1900', '1950']
Fuzhou Tanka	/wiki/Fuzhou_Tanka	['1900', '1950']
Tunbao	/wiki/Tunbao	['1900', '1950']
Waxiang people	/wiki/Waxiang_people	['1900', '1950']
Template:East Asian topics	/wiki/Template:East_Asian_topics	['1900', '1950']
Template talk:East Asian topics	/wiki/Template_talk:East_Asian_topics	['1900', '1950']
China	/wiki/China	['1900', '1950']
Mainland China	/wiki/Mainland_China	['1900', '1950']
Hong Kong	/wiki/Hong_Kong	['1900', '1950']
Macau	/wiki/Macau	['1900', '1950']
Japan	/wiki/Japan	['1900', '1950']
Ryukyu Islands	/wiki/Ryukyu_Islands	['1900', '1950']
Korea	/wiki/Korea	['1900', '1950']
North Korea	/wiki/North_Korea	['1900', '1950']
South Korea	/wiki/South_Korea	['1900', '1950']
Mongolia	/wiki/Mongolia	['1900', '1950']
Taiwan	/wiki/Taiwan	['1900', '1950']
Ainu people	/wiki/Ainu_people	['1900', '1950']
Hui people	/wiki/Hui_people	['1900', '1950']
Koreans	/wiki/Koreans	['1900', '1950']
Manchu people	/wiki/Manchu_people	['1900', '1950']
Miao people	/wiki/Miao_people	['1900', '1950']
Mongols	/wiki/Mongols	['1900', '1950']
Ryukyuan people	/wiki/Ryukyuan_people	['1900', '1950']
Taiwanese indigenous peoples	/wiki/Taiwanese_indigenous_peoples	['1900', '1950']
Tibetan people	/wiki/Tibetan_people	['1900', '1950']
Tujia people	/wiki/Tujia_people	['1900', '1950']
Uyghurs	/wiki/Uyghurs	['1900', '1950']
Yamato people	/wiki/Yamato_people	['1900', '1950']
Yi people	/wiki/Yi_people	['1900', '1950']
Zhuang people	/wiki/Zhuang_people	['1900', '1950']
East Asian age reckoning	/wiki/East_Asian_age_reckoning	['1900', '1950']
East Asian blepharoplasty	/wiki/East_Asian_blepharoplasty	['1900', '1950']
East Asian Buddhism	/wiki/East_Asian_Buddhism	['1900', '1950']
East Asian calligraphy	/wiki/East_Asian_calligraphy	['1900', '1950']
East Asian cinema	/wiki/East_Asian_cinema	['1900', '1950']
East Asian cultural sphere	/wiki/East_Asian_cultural_sphere	['1900', '1950']
East Asian dragon	/wiki/East_Asian_dragon	['1900', '1950']
Garden design	/wiki/Garden_design#East_Asian_gardens	['1900', '1950']
East Asian gothic typeface	/wiki/East_Asian_gothic_typeface	['1900', '1950']
Han characters	/wiki/Han_characters	['1900', '1950']
East Asian hip-and-gable roof	/wiki/East_Asian_hip-and-gable_roof	['1900', '1950']
East Asian literature	/wiki/East_Asian_literature	['1900', '1950']
East Asian Mādhyamaka	/wiki/East_Asian_M%C4%81dhyamaka	['1900', '1950']
East Asian philosophy	/wiki/East_Asian_philosophy	['1900', '1950']
East Asian religions	/wiki/East_Asian_religions	['1900', '1950']
Seal	/wiki/Seal_(East_Asia)	['1900', '1950']
Sino-Xenic pronunciations	/wiki/Sino-Xenic_pronunciations	['1900', '1950']
East Asian Yogācāra	/wiki/East_Asian_Yog%C4%81c%C4%81ra	['1900', '1950']
East Asian zodiac	/wiki/East_Asian_zodiac	['1900', '1950']
East Asia Climate Partnership	/wiki/East_Asia_Climate_Partnership	['1900', '1950']
East Asian Monsoon	/wiki/East_Asian_Monsoon	['1900', '1950']
East Asian rainy season	/wiki/East_Asian_rainy_season	['1900', '1950']
Eastern Asiatic Region	/wiki/Eastern_Asiatic_Region	['1900', '1950']
China–Japan–South Korea trilateral summit	/wiki/China%E2%80%93Japan%E2%80%93South_Korea_trilateral_summit	['1900', '1950']
Comprehensive Economic Partnership for East Asia	/wiki/Comprehensive_Economic_Partnership_for_East_Asia	['1900', '1950']
East Asia Summit	/wiki/East_Asia_Summit	['1900', '1950']
East Asian Community	/wiki/East_Asian_Community	['1900', '1950']
Four Asian Tigers	/wiki/Four_Asian_Tigers	['1900', '1950']
East Asian Bronze Age	/wiki/East_Asian_Bronze_Age	['1900', '1950']
Iron Age	/wiki/Iron_Age#East_Asia	['1900', '1950']
China–Japan–Korea Friendship Athletic Meeting	/wiki/China%E2%80%93Japan%E2%80%93Korea_Friendship_Athletic_Meeting	['1900', '1950']
East Asian Football Federation	/wiki/East_Asian_Football_Federation	['1900', '1950']
East Asian Games	/wiki/East_Asian_Games	['1900', '1950']
East Asian Judo Championships	/wiki/East_Asian_Judo_Championships	['1900', '1950']
East Asian Youth Games	/wiki/East_Asian_Youth_Games	['1900', '1950']
EAFF East Asian Championship	/wiki/EAFF_East_Asian_Championship	['1900', '1950']
CrossAsia	/wiki/CrossAsia	['1900', '1950']
East Asian Economic Review	/wiki/East_Asian_Economic_Review	['1900', '1950']
East Asia Image Collection	/wiki/East_Asia_Image_Collection	['1900', '1950']
East Asian Institute	/wiki/East_Asian_Institute_(Singapore)	['1900', '1950']
East Asia Law Review	/wiki/East_Asia_Law_Review	['1900', '1950']
East Asian studies	/wiki/East_Asian_studies	['1900', '1950']
East Asia Institute	/wiki/East_Asia_Institute_(Ludwigshafen)	['1900', '1950']
Miyamoto Musashi	/wiki/Miyamoto_Musashi	['1900', '1950']
Sun Tzu	/wiki/Sun_Tzu	['1900', '1950']
Yi Sun-sin	/wiki/Yi_Sun-sin	['1900', '1950']
Needham Research Institute	/wiki/Needham_Research_Institute	['1900', '1950']
Bai people	/wiki/Bai_people	['1900', '1950']
Hui people	/wiki/Hui_people	['1900', '1950']
Achang people	/wiki/Achang_people	['1900', '1950']
Hani people	/wiki/Hani_people	['1900', '1950']
