text	link	year
Daoud Khan	/wiki/Daoud_Khan	['1900', '1950']
Nur Muhammad Taraki	/wiki/Nur_Muhammad_Taraki	['1900', '1950']
Mohammad Najibullah	/wiki/Mohammad_Najibullah	['1900', '1950']
Hamid Karzai	/wiki/Hamid_Karzai	['1900', '1950']
Ashraf Ghani	/wiki/Ashraf_Ghani	['1900', '1950']
Mohammad Siddiq Chakari	/wiki/Mohammad_Siddiq_Chakari	['1900', '1950']
Sayed Hassan Akhlaq	/wiki/Sayed_Hassan_Akhlaq	['1900', '1950']
Hedayat Amin Arsala	/wiki/Hedayat_Amin_Arsala	['1900', '1950']
Mohammad Amin Fatemi	/wiki/Mohammad_Amin_Fatemi	['1900', '1950']
Nake M. Kamrany	/wiki/Nake_M._Kamrany	['1900', '1950']
Habib Mangal	/wiki/Habib_Mangal	['1900', '1950']
Abdul Ahad Mohmand	/wiki/Abdul_Ahad_Mohmand	['1900', '1950']
Abdul Karim Mustaghni	/wiki/Abdul_Karim_Mustaghni	['1900', '1950']
M. Ishaq Nadiri	/wiki/M._Ishaq_Nadiri	['1900', '1950']
Ghulam Faroq Nijrabi	/wiki/Ghulam_Faroq_Nijrabi	['1900', '1950']
Abbas Noyan	/wiki/Abbas_Noyan	['1900', '1950']
Hamidullah Qalandarzai	/wiki/Hamidullah_Qalandarzai	['1900', '1950']
Mohammad Qayoumi	/wiki/Mohammad_Qayoumi	['1900', '1950']
Daud Shah Saba	/wiki/Daud_Shah_Saba	['1900', '1950']
Sima Samar	/wiki/Sima_Samar	['1900', '1950']
Habiba Sarobi	/wiki/Habiba_Sarobi	['1900', '1950']
Nazif Shahrani	/wiki/Nazif_Shahrani	['1900', '1950']
Kabir Stori	/wiki/Kabir_Stori	['1900', '1950']
Zemaryalai Tarzi	/wiki/Zemaryalai_Tarzi	['1900', '1950']
Abdul Qayum Tutakhail	/wiki/Abdul_Qayum_Tutakhail	['1900', '1950']
Ghulam Sediq Wardak	/wiki/Ghulam_Sediq_Wardak	['1900', '1950']
Fatema Akbari	/wiki/Fatema_Akbari	['1900', '1950']
Ehsan Bayat	/wiki/Ehsan_Bayat	['1900', '1950']
Sherkhan Farnood	/wiki/Sherkhan_Farnood	['1900', '1950']
Fauzia Gailani	/wiki/Fauzia_Gailani	['1900', '1950']
Dawood Jabarkhyl	/wiki/Dawood_Jabarkhyl	['1900', '1950']
Mahmud Karzai	/wiki/Mahmud_Karzai	['1900', '1950']
Roya Mahboob	/wiki/Roya_Mahboob	['1900', '1950']
Sher Khan Nashir	/wiki/Sher_Khan_Nashir	['1900', '1950']
Hafiz-i Abru	/wiki/Hafiz-i_Abru	['1900', '1950']
Abu Mansour al-Hosein ibn Muhammad al-Marghani	/wiki/Abu_Mansour_al-Hosein_ibn_Muhammad_al-Marghani	['1900', '1950']
Hamid Naweed	/wiki/Hamid_Naweed	['1900', '1950']
Akram Assem	/wiki/Akram_Assem	['1900', '1950']
Ghulam Mohammad Ghobar	/wiki/Ghulam_Mohammad_Ghobar	['1898', '1978']
Zalmay A. Gulzad	/wiki/Zalmay_A._Gulzad	['1900', '1950']
Abdul Hai Habibi	/wiki/Abdul_Hai_Habibi	['1910', '1984']
Faiz Mohammad Katib Hazara	/wiki/Faiz_Mohammad_Katib_Hazara	['1900', '1950']
Omara Khan Massoudi	/wiki/Omara_Khan_Massoudi	['1900', '1950']
Abdul Shakoor Rashad	/wiki/Abdul_Shakoor_Rashad	['1921', '2004']
Latif Ahmadi	/wiki/Latif_Ahmadi	['1900', '1950']
Humayoon Shams Khan	/wiki/Humayoon_Shams_Khan	['1900', '1950']
Leena Alam	/wiki/Leena_Alam	['1900', '1950']
Siddiq Barmak	/wiki/Siddiq_Barmak	['1962', '2025']
Abdul Ghafoor Breshna	/wiki/Abdul_Ghafoor_Breshna	['1900', '1950']
Sonia Nassery Cole	/wiki/Sonia_Nassery_Cole	['1900', '1950']
Zohre Esmaeli	/wiki/Zohre_Esmaeli	['1985', '2025']
Josh Gad	/wiki/Josh_Gad	['1900', '1950']
Azita Ghanizada	/wiki/Azita_Ghanizada	['1900', '1950']
Marina Golbahari	/wiki/Marina_Golbahari	['1900', '1950']
Nelufar Hedayat	/wiki/Nelufar_Hedayat	['1900', '1950']
Haji Kamran	/wiki/Haji_Kamran	['1900', '1950']
Kader Khan	/wiki/Kader_Khan	['1900', '1950']
Ahmed Latif	/wiki/Ahmed_Latif	['1900', '1950']
Ahmad Khan Mahmidzada	/wiki/Ahmad_Khan_Mahmidzada	['1900', '1950']
Mamnoon Maqsoodi	/wiki/Mamnoon_Maqsoodi	['1966', '2025']
Anisa Wahab	/wiki/Anisa_Wahab	['1900', '1950']
Abdul Wahid Nazari	/wiki/Abdul_Wahid_Nazari	['1953', '2025']
Nelofer Pazira	/wiki/Nelofer_Pazira	['1900', '1950']
