text	link	year
Ilia Xhokaxhi	/wiki/Ilia_Xhokaxhi	['1948', '2007']
Saimir Strati	/wiki/Saimir_Strati	['1966', '2025']
Anri Sala	/wiki/Anri_Sala	['1974', '2025']
Andrea Alessi	/wiki/Andrea_Alessi	['1425', '1505']
Sedefkar Mehmed Agha	/wiki/Sedefkar_Mehmed_Agha	['1540', '1617']
Architect Kasemi	/wiki/Architect_Kasemi	['1570', '1659']
Carl Ritter von Ghega	/wiki/Carl_Ritter_von_Ghega	['1802', '1860']
Qemal Butka	/wiki/Qemal_Butka	['1907', '1997']
Enver Faja	/wiki/Enver_Faja	['1992', '1996']
Valentina Pistoli	/wiki/Valentina_Pistoli	['1928', '1993']
Marco Basaiti	/wiki/Marco_Basaiti	['1470', '1530']
Onufri	/wiki/Onufri	['1900', '1950']
David Selenica	/wiki/David_Selenica	['1900', '1950']
Kostandin Shpataraku	/wiki/Kostandin_Shpataraku	['1736', '1767']
Zografi Brothers	/wiki/Zografi_Brothers	['1900', '1950']
Kolë Idromeno	/wiki/Kol%C3%AB_Idromeno	['1860', '1939']
Sadri Ahmeti	/wiki/Sadri_Ahmeti	['1939', '2010']
Sabri Berkel	/wiki/Sabri_Berkel	['1907', '1993']
Abdurrahim Buza	/wiki/Abdurrahim_Buza	['1905', '1986']
Xhovalin Delia	/wiki/Xhovalin_Delia	['1959', '2025']
Abdullah Gërguri	/wiki/Abdullah_G%C3%ABrguri	['1931', '1994']
Helidon Gjergji	/wiki/Helidon_Gjergji	['1900', '1950']
Fatmir Haxhiu	/wiki/Fatmir_Haxhiu	['1927', '2001']
Omer Kaleshi	/wiki/Omer_Kaleshi	['1932', '2025']
Ibrahim Kodra	/wiki/Ibrahim_Kodra	['1918', '2006']
Zef Kolombi	/wiki/Zef_Kolombi	['1907', '1949']
Nexhmedin Zajmi	/wiki/Nexhmedin_Zajmi	['1916', '1991']
Andrea Kushi	/wiki/Andrea_Kushi	['1884', '1959']
Gazmend Leka	/wiki/Gazmend_Leka	['1953', '2025']
Ndoc Martini	/wiki/Ndoc_Martini	['1880', '1916']
Vangjush Mio	/wiki/Vangjush_Mio	['1891', '1957']
George Pali	/wiki/George_Pali	['1957', '2025']
Chatin Sarachi	/wiki/Chatin_Sarachi	['1899', '1974']
Zef Shoshi	/wiki/Zef_Shoshi	['1939', '2025']
Arthur Tashko	/wiki/Arthur_Tashko	['1901', '1994']
Esat Valla	/wiki/Esat_Valla	['1944', '2025']
Eltjon Valle	/wiki/Eltjon_Valle	['1984', '2025']
Agim Zajmi	/wiki/Agim_Zajmi	['1936', '2013']
Ali Dino	/wiki/Ali_Dino	['1889', '1938']
Shyqri Nimani	/wiki/Shyqri_Nimani	['1941', '2025']
Agim Sulaj	/wiki/Agim_Sulaj	['1960', '2025']
Dhimitër Çani	/wiki/Dhimit%C3%ABr_%C3%87ani	['1904', '1990']
Agim Çavdarbasha	/wiki/Agim_%C3%87avdarbasha	['1944', '1999']
Sadik Kaceli	/wiki/Sadik_Kaceli	['1914', '2000']
Kristina Koljaka	/wiki/Kristina_Koljaka	['1916', '2005']
Genc Mulliqi	/wiki/Genc_Mulliqi	['1966', '2025']
Vasiliev Nini	/wiki/Vasiliev_Nini	['1954', '2025']
Janaq Paço	/wiki/Janaq_Pa%C3%A7o	['1914', '1991']
Odhise Paskali	/wiki/Odhise_Paskali	['1903', '1985']
Ardian Pepa	/wiki/Ardian_Pepa	['1977', '2025']
Agim Rada	/wiki/Agim_Rada	['1953', '2025']
Kristaq Rama	/wiki/Kristaq_Rama	['1932', '1998']
Murad Toptani	/wiki/Murad_Toptani	['1867', '1918']
Sislej Xhafa	/wiki/Sislej_Xhafa	['1970', '2025']
Helidon Xhixha	/wiki/Helidon_Xhixha	['1970', '2025']
Fadil Berisha	/wiki/Fadil_Berisha	['1973', '2025']
