text	link	year
Ferhat Abbas	/wiki/Ferhat_Abbas	['1899', '1985']
Abdelkader Alloula	/wiki/Abdelkader_Alloula	['1939', '2025']
Al-Akhdari	/wiki/Al-Akhdari	['1512', '1575']
Malek Alloula	/wiki/Malek_Alloula	['1937', '2025']
Djamal Amrani	/wiki/Djamal_Amrani	['1935', '2005']
Jean Amrouche	/wiki/Jean_Amrouche	['1906', '1962']
Taos Amrouche	/wiki/Taos_Amrouche	['1913', '1976']
Apuleius	/wiki/Apuleius	['1900', '1950']
Mohammed Arkoun	/wiki/Mohammed_Arkoun	['1928', '2025']
Leila Djabali	/wiki/Leila_Djabali	['1933', '2025']
Zighen Aym	/wiki/Zighen_Aym	['1957', '2025']
Farida Belghoul	/wiki/Farida_Belghoul	['1958', '2025']
Omar Belhouchet	/wiki/Omar_Belhouchet	['1954', '2025']
Mohammed Benchicou	/wiki/Mohammed_Benchicou	['1952', '2025']
Salah Benlabed	/wiki/Salah_Benlabed	['1950', '2025']
Latifa Ben Mansour	/wiki/Latifa_Ben_Mansour	['1950', '2025']
Malek Bennabi	/wiki/Malek_Bennabi	['1905', '2025']
Rachid Boudjedra	/wiki/Rachid_Boudjedra	['1941', '2025']
Hélène Cixous	/wiki/H%C3%A9l%C3%A8ne_Cixous	['1900', '1950']
Mohammed Dib	/wiki/Mohammed_Dib	['1920', '2003']
Tahar Djaout	/wiki/Tahar_Djaout	['1954', '1993']
Assia Djebar	/wiki/Assia_Djebar	['1936', '2025']
Mouloud Feraoun	/wiki/Mouloud_Feraoun	['1913', '1962']
Miloud Hmida	/wiki/Miloud_Hmida	['1961', '2025']
Yasmina Khadra	/wiki/Yasmina_Khadra	['1955', '2025']
Aïssa Khelladi	/wiki/A%C3%AFssa_Khelladi	['1900', '1950']
Rachid Mimouni	/wiki/Rachid_Mimouni	['1945', '1995']
Ahlam Mostaghanemi	/wiki/Ahlam_Mostaghanemi	['1900', '1950']
Kateb Yacine	/wiki/Kateb_Yacine	['1929', '1989']
Moufdi Zakaria	/wiki/Moufdi_Zakaria	['1908', '1977']
