text	link	year
Roser Bastida Areny	/wiki/Roser_Bastida_Areny	['1900', '1950']
Jaume Bartumeu	/wiki/Jaume_Bartumeu	['1900', '1950']
Joan Benlloch i Vivó	/wiki/Joan_Benlloch_i_Viv%C3%B3	['1864', '1926']
Carles Blasi Vidal	/wiki/Carles_Blasi_Vidal	['1900', '1950']
Josep Maria Farré Naudi	/wiki/Josep_Maria_Farr%C3%A9_Naudi	['1900', '1950']
Bernadeta Gaspà Bringueret	/wiki/Bernadeta_Gasp%C3%A0_Bringueret	['1900', '1950']
Guillem d'Areny-Plandolit	/wiki/Guillem_d%27Areny-Plandolit	['1822', '1876']
Ricard de Haro Jiménez	/wiki/Ricard_de_Haro_Jim%C3%A9nez	['1900', '1950']
Julian Vila Coma	/wiki/Julian_Vila_Coma	['1900', '1950']
Maria Pilar Riba Font	/wiki/Maria_Pilar_Riba_Font	['1900', '1950']
Antoni Martí	/wiki/Antoni_Mart%C3%AD	['1900', '1950']
Marc Forné Molné	/wiki/Marc_Forn%C3%A9_Moln%C3%A9	['1900', '1950']
Albert Pintat	/wiki/Albert_Pintat	['1900', '1950']
Julià Reig Ribó	/wiki/Juli%C3%A0_Reig_Rib%C3%B3	['1911', '1996']
Jordi Jordana Rossell	/wiki/Jordi_Jordana_Rossell	['1900', '1950']
Joan Albert Farré Santuré	/wiki/Joan_Albert_Farr%C3%A9_Santur%C3%A9	['1900', '1950']
Boris de Skossyreff	/wiki/Boris_de_Skossyreff	['1896', '1989']
Juli Minoves Triquell	/wiki/Juli_Minoves_Triquell	['1900', '1950']
Esther Rabasa Grau	/wiki/Esther_Rabasa_Grau	['1900', '1950']
Ana Arce	/wiki/Ana_Arce	['1900', '1950']
Anonymous	/wiki/Anonymous_(band)	['1900', '1950']
Lluís Claret	/wiki/Llu%C3%ADs_Claret	['1900', '1950']
Persefone	/wiki/Persefone	['1900', '1950']
Marta Roure	/wiki/Marta_Roure	['1900', '1950']
Alex Antor	/wiki/Alex_Antor	['1900', '1950']
Ana Arce	/wiki/Ana_Arce	['1900', '1950']
Marc Bernaus	/wiki/Marc_Bernaus	['1900', '1950']
Juli Fernández	/wiki/Juli_Fern%C3%A1ndez	['1900', '1950']
Melissandre Fuentes	/wiki/Melissandre_Fuentes	['1900', '1950']
Hocine Haciane	/wiki/Hocine_Haciane	['1900', '1950']
Stéphanie Jiménez	/wiki/St%C3%A9phanie_Jim%C3%A9nez	['1900', '1950']
Koldo	/wiki/Koldo	['1900', '1950']
Ildefons Lima	/wiki/Ildefons_Lima	['1900', '1950']
Oscar Sonejee	/wiki/Oscar_Sonejee	['1900', '1950']
Laure Soulie	/wiki/Laure_Soulie	['1900', '1950']
Josep Carles Laínez	/wiki/Josep_Carles_La%C3%ADnez	['1900', '1950']
Juli Minoves Triquell	/wiki/Juli_Minoves_Triquell	['1900', '1950']
Template:Andorra topics	/wiki/Template:Andorra_topics	['1900', '1950']
Template talk:Andorra topics	/wiki/Template_talk:Andorra_topics	['1900', '1950']
Marca Hispanica	/wiki/Marca_Hispanica	['1900', '1950']
Andorra and the euro	/wiki/Andorra_and_the_euro	['1900', '1950']
Book:Andorra	/wiki/Book:Andorra	['1900', '1950']
Template:Andorra-stub	/wiki/Template:Andorra-stub	['1900', '1950']
Template talk:Andorra-stub	/wiki/Template_talk:Andorra-stub	['1900', '1950']
