text	link	year
Oscar Lino Lopes Fernandes Braga	/wiki/Oscar_Lino_Lopes_Fernandes_Braga	['1931', '2025']
Manuel Franklin da Costa	/wiki/Manuel_Franklin_da_Costa	['1921', '2003']
Damião António Franklin	/wiki/Dami%C3%A3o_Ant%C3%B3nio_Franklin	['1950', '2025']
Alexandre do Nascimento	/wiki/Alexandre_do_Nascimento	['1925', '2025']
João de Matos	/wiki/Jo%C3%A3o_de_Matos	['1900', '1950']
Nzingha	/wiki/Nzingha	['1900', '1950']
Aline Frazão	/wiki/Aline_Fraz%C3%A3o	['1988', '2025']
Anselmo Ralph	/wiki/Anselmo_Ralph	['1981', '2025']
Bonga	/wiki/Bonga_(musician)	['1943', '2025']
Paulo Flores	/wiki/Paulo_Flores	['1972', '2025']
Nito Alves	/wiki/Nito_Alves	['1900', '1950']
Mário Pinto de Andrade	/wiki/M%C3%A1rio_Pinto_de_Andrade	['1928', '1990']
Américo Boavida	/wiki/Am%C3%A9rico_Boavida	['1923', '1968']
Maria Mambo Café	/wiki/Maria_Mambo_Caf%C3%A9	['1945', '2025']
Boaventura Cardoso	/wiki/Boaventura_Cardoso	['1944', '2025']
Abel Apalanga Chivukuvuku	/wiki/Abel_Apalanga_Chivukuvuku	['1900', '1950']
Carlos Contreiras	/wiki/Carlos_Contreiras	['1900', '1950']
Viriato da Cruz	/wiki/Viriato_da_Cruz	['1928', '1973']
António Dembo	/wiki/Ant%C3%B3nio_Dembo	['1944', '2002']
José Eduardo dos Santos	/wiki/Jos%C3%A9_Eduardo_dos_Santos	['1942', '2025']
Efigênia dos Santos Lima Clemente	/wiki/Efig%C3%AAnia_dos_Santos_Lima_Clemente	['1900', '1950']
Aguinaldo Jaime	/wiki/Aguinaldo_Jaime	['1900', '1950']
Almerindo Jaka Jamba	/wiki/Almerindo_Jaka_Jamba	['1949', '2025']
Lúcio Lara	/wiki/L%C3%BAcio_Lara	['1900', '1950']
João Manuel Gonçalves Lourenço	/wiki/Jo%C3%A3o_Manuel_Gon%C3%A7alves_Louren%C3%A7o	['1954', '2025']
Ana Dias Lourenço	/wiki/Ana_Dias_Louren%C3%A7o	['1900', '1950']
Paulo Lukamba	/wiki/Paulo_Lukamba	['1954', '2025']
Marcolino Moco	/wiki/Marcolino_Moco	['1953', '2025']
José Pedro de Morais	/wiki/Jos%C3%A9_Pedro_de_Morais	['1955', '2025']
Venâncio da Silva Moura	/wiki/Ven%C3%A2ncio_da_Silva_Moura	['1934', '1999']
Lopo do Nascimento	/wiki/Lopo_do_Nascimento	['1942', '2025']
Agostino Neto	/wiki/Agostino_Neto	['1922', '1979']
Pitra Neto	/wiki/Pitra_Neto	['1958', '2025']
Domingos Manuel Njinga	/wiki/Domingos_Manuel_Njinga	['1900', '1950']
José Patrício	/wiki/Jos%C3%A9_Patr%C3%ADcio	['1900', '1950']
Anália de Victória Pereira	/wiki/An%C3%A1lia_de_Vict%C3%B3ria_Pereira	['1941', '2008']
Holden Roberto	/wiki/Holden_Roberto	['1923', '2007']
Isaías Samakuva	/wiki/Isa%C3%ADas_Samakuva	['1946', '2025']
Jonas Savimbi	/wiki/Jonas_Savimbi	['1934', '2002']
Paulo Teixeira Jorge	/wiki/Paulo_Teixeira_Jorge	['1934', '2025']
