text	link	year
DJ Red Alert	/wiki/DJ_Red_Alert	['1900', '1950']
Joel Anthony	/wiki/Joel_Anthony	['1900', '1950']
"Craig ""Speedy"" Claxton"	/wiki/Craig_%22Speedy%22_Claxton	['1900', '1950']
Melvin Claxton	/wiki/Melvin_Claxton	['1900', '1950']
Maurice Hope	/wiki/Maurice_Hope	['1900', '1950']
Anna Marie Horsford	/wiki/Anna_Marie_Horsford	['1900', '1950']
Jazzie B	/wiki/Jazzie_B	['1900', '1950']
Marianne Jean-Baptiste	/wiki/Marianne_Jean-Baptiste	['1900', '1950']
Marie-Elena John	/wiki/Marie-Elena_John	['1900', '1950']
Special Delivery Jones	/wiki/Special_Delivery_Jones	['1900', '1950']
Jamaica Kincaid	/wiki/Jamaica_Kincaid	['1900', '1950']
Howard Lindsay	/wiki/Howard_Lindsay_(athlete)	['1900', '1950']
Viv Richards	/wiki/Viv_Richards	['1900', '1950']
Nellie Robinson	/wiki/Nellie_Robinson	['1880', '1972']
Allen Stanford	/wiki/Allen_Stanford	['1900', '1950']
H. B. D. Woodcock	/wiki/H._B._D._Woodcock	['1867', '1957']
Sir William Young, 1st Baronet	/wiki/Sir_William_Young,_1st_Baronet	['1900', '1950']
Antiguan British	/wiki/Antiguan_British	['1900', '1950']
Oprah Winfrey	/wiki/Oprah_Winfrey	['1900', '1950']
Eric Clapton	/wiki/Eric_Clapton	['1900', '1950']
Giorgio Armani	/wiki/Giorgio_Armani	['1900', '1950']
Calvin Ayre	/wiki/Calvin_Ayre	['1900', '1950']
Allen Stanford	/wiki/Allen_Stanford	['1900', '1950']
Robin Leach	/wiki/Robin_Leach	['1900', '1950']
Larry Flynt	/wiki/Larry_Flynt	['1900', '1950']
Marianne Jean-Baptiste	/wiki/Marianne_Jean-Baptiste	['1900', '1950']
Andriy Shevchenko	/wiki/Andriy_Shevchenko	['1900', '1950']
Silvio Berlusconi	/wiki/Silvio_Berlusconi	['1900', '1950']
Timothy Dalton	/wiki/Timothy_Dalton	['1900', '1950']
Richard Branson	/wiki/Richard_Branson	['1900', '1950']
Ken Follett	/wiki/Ken_Follett	['1900', '1950']
