text	link	year
Roberto Aizenberg	/wiki/Roberto_Aizenberg	['1900', '1950']
Oscar Alemán	/wiki/Oscar_Alem%C3%A1n	['1900', '1950']
Antonio Alice	/wiki/Antonio_Alice	['1900', '1950']
Marcelo Álvarez	/wiki/Marcelo_%C3%81lvarez	['1900', '1950']
Martha Argerich	/wiki/Martha_Argerich	['1900', '1950']
Daniel Barenboim	/wiki/Daniel_Barenboim	['1900', '1950']
Ricardo Basta	/wiki/Ricardo_Basta	['1900', '1950']
Adolfo Bellocq	/wiki/Adolfo_Bellocq	['1900', '1950']
Antonio Berni	/wiki/Antonio_Berni	['1900', '1950']
Norma Bessouet	/wiki/Norma_Bessouet	['1900', '1950']
Erminio Blotta	/wiki/Erminio_Blotta	['1900', '1950']
Julio Bocca	/wiki/Julio_Bocca	['1900', '1950']
Gino Boccasile	/wiki/Gino_Boccasile	['1900', '1950']
Fabiana Bravo	/wiki/Fabiana_Bravo	['1900', '1950']
Alberto Breccia	/wiki/Alberto_Breccia	['1900', '1950']
Emilio Caraffa	/wiki/Emilio_Caraffa	['1900', '1950']
Ricardo Carpani	/wiki/Ricardo_Carpani	['1900', '1950']
Carybé	/wiki/Caryb%C3%A9	['1900', '1950']
Eleonora Cassano	/wiki/Eleonora_Cassano	['1900', '1950']
Juan Carlos Castagnino	/wiki/Juan_Carlos_Castagnino	['1900', '1950']
Eduardo Catalano	/wiki/Eduardo_Catalano	['1900', '1950']
Alejandro Christophersen	/wiki/Alejandro_Christophersen	['1900', '1950']
Ciruelo Cabral	/wiki/Ciruelo_Cabral	['1900', '1950']
Gustavo Cochet	/wiki/Gustavo_Cochet	['1900', '1950']
Pío Collivadino	/wiki/P%C3%ADo_Collivadino	['1900', '1950']
Oscar Conti	/wiki/Oscar_Conti_(Oski)	['1900', '1950']
Copi	/wiki/Copi	['1900', '1950']
Alicia Creus	/wiki/Alicia_Creus	['1900', '1950']
José Cura	/wiki/Jos%C3%A9_Cura	['1900', '1950']
Pablo Curatella Manes	/wiki/Pablo_Curatella_Manes	['1900', '1950']
Ernesto de la Cárcova	/wiki/Ernesto_de_la_C%C3%A1rcova	['1900', '1950']
Jorge de la Vega	/wiki/Jorge_de_la_Vega	['1900', '1950']
Cesáreo Bernaldo de Quirós	/wiki/Ces%C3%A1reo_Bernaldo_de_Quir%C3%B3s	['1900', '1950']
Ángel María de Rosa	/wiki/%C3%81ngel_Mar%C3%ADa_de_Rosa	['1900', '1950']
Helmut Ditsch	/wiki/Helmut_Ditsch	['1900', '1950']
Jorge Donn	/wiki/Jorge_Donn	['1900', '1950']
Julio Ducuron	/wiki/Julio_Ducuron	['1900', '1950']
Elizabeth Eichhorn	/wiki/Elizabeth_Eichhorn	['1900', '1950']
Fernando Fader	/wiki/Fernando_Fader	['1900', '1950']
León Ferrari	/wiki/Le%C3%B3n_Ferrari	['1900', '1950']
Leonor Fini	/wiki/Leonor_Fini	['1900', '1950']
Bernarda Fink	/wiki/Bernarda_Fink	['1900', '1950']
Ingrid Fliter	/wiki/Ingrid_Fliter	['1900', '1950']
Lucio Fontana	/wiki/Lucio_Fontana	['1900', '1950']
Roberto Fontanarrosa	/wiki/Roberto_Fontanarrosa	['1900', '1950']
Norma Fontenla	/wiki/Norma_Fontenla	['1900', '1950']
Raquel Forner	/wiki/Raquel_Forner	['1900', '1950']
Sol Gabetta	/wiki/Sol_Gabetta	['1900', '1950']
Manuel García Ferré	/wiki/Manuel_Garc%C3%ADa_Ferr%C3%A9	['1900', '1950']
Nicolás García Uriburu	/wiki/Nicol%C3%A1s_Garc%C3%ADa_Uriburu	['1900', '1950']
José Walter Gavito	/wiki/Jos%C3%A9_Walter_Gavito	['1900', '1950']
Guillermo Gianninazzi	/wiki/Guillermo_Gianninazzi	['1900', '1950']
Reynaldo Giudici	/wiki/Reynaldo_Giudici	['1900', '1950']
Paloma Herrera	/wiki/Paloma_Herrera	['1900', '1950']
Martín Irigoyen	/wiki/Mart%C3%ADn_Irigoyen	['1900', '1950']
María Cristina Kiehr	/wiki/Mar%C3%ADa_Cristina_Kiehr	['1900', '1950']
Gyula Kosice	/wiki/Gyula_Kosice	['1900', '1950']
Sebastian Krys	/wiki/Sebastian_Krys	['1900', '1950']
Horacio Lavandera	/wiki/Horacio_Lavandera	['1900', '1950']
Julio Le Parc	/wiki/Julio_Le_Parc	['1900', '1950']
Cándido López	/wiki/C%C3%A1ndido_L%C3%B3pez	['1900', '1950']
Alberto Lysy	/wiki/Alberto_Lysy	['1900', '1950']
Rómulo Macció	/wiki/R%C3%B3mulo_Macci%C3%B3	['1900', '1950']
Eduardo Mac Entyre	/wiki/Eduardo_Mac_Entyre	['1900', '1950']
Mia Maestro	/wiki/Mia_Maestro	['1900', '1950']
