text	link	year
Grigor Hovhannissian	/wiki/Grigor_Hovhannissian	['1900', '1950']
George Duran	/wiki/George_Duran	['1900', '1950']
Geoffrey Zakarian	/wiki/Geoffrey_Zakarian	['1900', '1950']
Ed Alberian	/wiki/Ed_Alberian	['1920', '1997']
Charla Baklayan Faddoul	/wiki/Charla_Baklayan_Faddoul	['1900', '1950']
Cher	/wiki/Cher	['1946', '2025']
Pierre Chammassian	/wiki/Pierre_Chammassian	['1900', '1950']
George Duran	/wiki/George_Duran	['1975', '2025']
Leslie Erganian	/wiki/Leslie_Erganian	['1900', '1950']
Tina Kandelaki	/wiki/Tina_Kandelaki	['1900', '1950']
Khloé Kardashian	/wiki/Khlo%C3%A9_Kardashian	['1984', '2025']
Kim Kardashian	/wiki/Kim_Kardashian	['1980', '2025']
Kourtney Kardashian	/wiki/Kourtney_Kardashian	['1979', '2025']
Robert Kardashian	/wiki/Robert_Kardashian	['1944', '2003']
Bob Kevoian	/wiki/Bob_Kevoian	['1950', '2025']
Vilen Kolouta	/wiki/Vilen_Kolouta	['1930', '1999']
Tigran Khzmalyan	/wiki/Tigran_Khzmalyan	['1963', '2025']
Henrik Malyan	/wiki/Henrik_Malyan	['1925', '2025']
Rouben Mamoulian	/wiki/Rouben_Mamoulian	['1897', '1987']
Andre Manoukian	/wiki/Andre_Manoukian	['1957', '2025']
Garik Martirosyan	/wiki/Garik_Martirosyan	['1974', '2025']
Patrick Masbourian	/wiki/Patrick_Masbourian	['1970', '2025']
Michael Omartian	/wiki/Michael_Omartian	['1945', '2025']
Kev Orkian	/wiki/Kev_Orkian	['1974', '2025']
Richard Ouzounian	/wiki/Richard_Ouzounian	['1950', '2025']
Alice Panikian	/wiki/Alice_Panikian	['1985', '2025']
Sergei Parajanov	/wiki/Sergei_Parajanov	['1924', '1990']
Yevgeny Petrosyan	/wiki/Yevgeny_Petrosyan	['1945', '2025']
Karen Shakhnazarov	/wiki/Karen_Shakhnazarov	['1952', '2025']
Jano Toussounian	/wiki/Jano_Toussounian	['1900', '1950']
Mikhail Vartanov	/wiki/Mikhail_Vartanov	['1937', '2009']
Henri Verneuil	/wiki/Henri_Verneuil	['1920', '2002']
Steven Zaillian	/wiki/Steven_Zaillian	['1953', '2025']
Calouste Gulbenkian	/wiki/Calouste_Gulbenkian	['1869', '1955']
Anahid Ajemian	/wiki/Anahid_Ajemian	['1924', '2025']
Maro Ajemian	/wiki/Maro_Ajemian	['1921', '1978']
Lucine Amara	/wiki/Lucine_Amara	['1927', '2025']
Levon Ambartsumian	/wiki/Levon_Ambartsumian	['1955', '2025']
Armen Anassian	/wiki/Armen_Anassian	['1900', '1950']
André	/wiki/Andr%C3%A9_(singer)	['1979', '2025']
Anoushka	/wiki/Anoushka_(Egyptian_singer)	['1960', '2025']
Nareh Arghamanyan	/wiki/Nareh_Arghamanyan	['1989', '2025']
Rosy Armen	/wiki/Rosy_Armen	['1900', '1950']
Inga and Anush Arshakyans	/wiki/Inga_and_Anush_Arshakyans	['1900', '1950']
Marc Aryan	/wiki/Marc_Aryan	['1926', '1985']
Şahan Arzruni	/wiki/%C5%9Eahan_Arzruni	['1943', '2025']
Aram Asatryan	/wiki/Aram_Asatryan	['1953', '2006']
George Avakian	/wiki/George_Avakian	['1919', '2025']
Charles Aznavour	/wiki/Charles_Aznavour	['1924', '2018']
Ross Bagdasarian, Sr.	/wiki/Ross_Bagdasarian,_Sr.	['1919', '1972']
Ross Bagdasarian, Jr.	/wiki/Ross_Bagdasarian,_Jr.	['1949', '2025']
Clint Bajakian	/wiki/Clint_Bajakian	['1900', '1950']
Ani Batikian	/wiki/Ani_Batikian	['1982', '2025']
Isabel Bayrakdarian	/wiki/Isabel_Bayrakdarian	['1974', '2025']
Ara Berberian	/wiki/Ara_Berberian	['1930', '2005']
Cathy Berberian	/wiki/Cathy_Berberian	['1925', '1983']
John Dolmayan	/wiki/John_Dolmayan	['1973', '2025']
Stéphan Elmas	/wiki/St%C3%A9phan_Elmas	['1862', '1937']
Ivan Galamian	/wiki/Ivan_Galamian	['1903', '1981']
Sergio Galoyan	/wiki/Sergio_Galoyan	['1981', '2025']
Djivan Gasparyan	/wiki/Djivan_Gasparyan	['1928', '2025']
Gohar Gasparyan	/wiki/Gohar_Gasparyan	['1924', '2007']
Slava Grigoryan	/wiki/Slava_Grigoryan	['1976', '2025']
J. Michael Hagopian	/wiki/J._Michael_Hagopian	['1900', '1950']
Richard Hagopian	/wiki/Richard_Hagopian	['1937', '2025']
Ruben Hakhverdyan	/wiki/Ruben_Hakhverdyan	['1900', '1950']
Silva Hakobyan	/wiki/Silva_Hakobyan	['1900', '1950']
Tigran Hamasyan	/wiki/Tigran_Hamasyan	['1987', '2025']
Sirusho Harutyunyan	/wiki/Sirusho_Harutyunyan	['1987', '2025']
Hayko	/wiki/Hayko	['1900', '1950']
Vatche Hovsepian	/wiki/Vatche_Hovsepian	['1900', '1950']
Levon Ichkhanian	/wiki/Levon_Ichkhanian	['1964', '2025']
Jamala	/wiki/Jamala	['1983', '2025']
Anna Kasyan	/wiki/Anna_Kasyan	['1900', '1950']
Udi Hrant Kenkulian	/wiki/Udi_Hrant_Kenkulian	['1901', '1978']
Sergey Khachatryan	/wiki/Sergey_Khachatryan	['1985', '2025']
Philipp Kirkorov	/wiki/Philipp_Kirkorov	['1967', '2025']
Hampartsoum Limondjian	/wiki/Hampartsoum_Limondjian	['1768', '1839']
Pavel Lisitsian	/wiki/Pavel_Lisitsian	['1911', '2004']
Andranik Madadian	/wiki/Andranik_Madadian	['1956', '2025']
Daron Malakian	/wiki/Daron_Malakian	['1975', '2025']
Norayr Mnatsakanyan	/wiki/Norayr_Mnatsakanyan	['1923', '1986']
Armen Movsessian	/wiki/Armen_Movsessian	['1900', '1950']
Kacey Musgraves	/wiki/Kacey_Musgraves	['1900', '1950']
Armen Nalbandian	/wiki/Armen_Nalbandian	['1978', '2025']
Maria Nalbandian	/wiki/Maria_Nalbandian	['1983', '2025']
Bruce Nazarian	/wiki/Bruce_Nazarian	['1949', '2025']
Sayat Nova	/wiki/Sayat_Nova	['1712', '1795']
Shavo Odadjian	/wiki/Shavo_Odadjian	['1974', '2025']
Bulat Okudzhava	/wiki/Bulat_Okudzhava	['1924', '1997']
Kev Orkian	/wiki/Kev_Orkian	['1974', '2025']
Harout Pamboukjian	/wiki/Harout_Pamboukjian	['1950', '2025']
Hasmik Papian	/wiki/Hasmik_Papian	['1961', '2025']
Karina Pasian	/wiki/Karina_Pasian	['1991', '2025']
Krzysztof Penderecki	/wiki/Krzysztof_Penderecki	['1933', '2025']
Lilit Pipoyan	/wiki/Lilit_Pipoyan	['1955', '2025']
Raffi	/wiki/Raffi_(musician)	['1900', '1950']
Eva Rivas	/wiki/Eva_Rivas	['1987', '2025']
Gevorg Sargsyan	/wiki/Gevorg_Sargsyan	['1981', '2025']
