text	link	year
Moscopole	/wiki/Moscopole	['1900', '1950']
Myzeqe	/wiki/Myzeqe	['1900', '1950']
Metsovo	/wiki/Metsovo	['1900', '1950']
Pindus	/wiki/Pindus	['1900', '1950']
Kruševo	/wiki/Kru%C5%A1evo	['1900', '1950']
Gramos	/wiki/Gramos	['1900', '1950']
Grabovë e Sipërme	/wiki/Grabov%C3%AB_e_Sip%C3%ABrme	['1900', '1950']
Farsala	/wiki/Farsala	['1900', '1950']
Eastern Orthodox Church	/wiki/Eastern_Orthodox_Church	['1900', '1950']
Romanization	/wiki/Romanization_(cultural)	['1900', '1950']
Great Vlachia	/wiki/Great_Vlachia	['1900', '1950']
Romanians	/wiki/Romanians	['1900', '1950']
Moldovans	/wiki/Moldovans	['1900', '1950']
Megleno-Romanians	/wiki/Megleno-Romanians	['1900', '1950']
Istro-Romanians	/wiki/Istro-Romanians	['1900', '1950']
Constantin Belimace	/wiki/Constantin_Belimace	['1848', '1932']
Jovan Četirević Grabovan	/wiki/Jovan_%C4%8Cetirevi%C4%87_Grabovan	['1720', '1790']
Konstantin Čomu	/wiki/Konstantin_%C4%8Comu	['1865', '1952']
Stere Gulea	/wiki/Stere_Gulea	['1943', '2025']
Yanaki and Milton Manaki	/wiki/Yanaki_and_Milton_Manaki	['1900', '1950']
Branislav Nušić	/wiki/Branislav_Nu%C5%A1i%C4%87	['1864', '1938']
Jovan Sterija Popović	/wiki/Jovan_Sterija_Popovi%C4%87	['1900', '1950']
Constantin Noica	/wiki/Constantin_Noica	['1909', '1987']
Nuși Tulliu	/wiki/Nu%C8%99i_Tulliu	['1872', '1941']
Camil Ressu	/wiki/Camil_Ressu	['1880', '1962']
Florica Prevenda	/wiki/Florica_Prevenda	['1900', '1950']
Alexandru Arsinel	/wiki/Alexandru_Arsinel	['1900', '1950']
Toma Caragiu	/wiki/Toma_Caragiu	['1925', '2025']
Taško Načić	/wiki/Ta%C5%A1ko_Na%C4%8Di%C4%87	['1934', '1993']
Dan Piţa	/wiki/Dan_Pi%C5%A3a	['1900', '1950']
Sandër Prosi	/wiki/Sand%C3%ABr_Prosi	['1920', '1985']
Sergiu Nicolaescu	/wiki/Sergiu_Nicolaescu	['1930', '2013']
Ion Luca Caragiale	/wiki/Ion_Luca_Caragiale	['1900', '1950']
Elena Gheorghe	/wiki/Elena_Gheorghe	['1900', '1950']
Toše Proeski	/wiki/To%C5%A1e_Proeski	['1900', '1950']
George Averoff	/wiki/George_Averoff	['1818', '1899']
Georgios Sinas	/wiki/Georgios_Sinas	['1783', '1856']
Emanoil Gojdu	/wiki/Emanoil_Gojdu	['1802', '1870']
Mocioni family	/wiki/Mocioni_family	['1900', '1950']
Petar Ičko	/wiki/Petar_I%C4%8Dko	['1755', '1808']
Sterjo Nakov	/wiki/Sterjo_Nakov	['1948', '2025']
Theodore Kavalliotis	/wiki/Theodore_Kavalliotis	['1718', '1789']
Andrei Șaguna	/wiki/Andrei_%C8%98aguna	['1900', '1950']
Evangelos Averoff	/wiki/Evangelos_Averoff	['1900', '1950']
Nicolae Constantin Batzaria	/wiki/Nicolae_Constantin_Batzaria	['1874', '1952']
Costică Canacheu	/wiki/Costic%C4%83_Canacheu	['1900', '1950']
Ion Caramitru	/wiki/Ion_Caramitru	['1900', '1950']
Alcibiades Diamandi	/wiki/Alcibiades_Diamandi	['1900', '1950']
Michael Dukakis	/wiki/Michael_Dukakis	['1900', '1950']
Taki Fiti	/wiki/Taki_Fiti	['1950', '2025']
Dan Stoenescu	/wiki/Dan_Stoenescu	['1900', '1950']
Ştefan Octavian Iosif	/wiki/%C5%9Etefan_Octavian_Iosif	['1900', '1950']
Ioannis Kolettis	/wiki/Ioannis_Kolettis	['1900', '1950']
Apostol Mărgărit	/wiki/Apostol_M%C4%83rg%C4%83rit	['1900', '1950']
Nicolaos Matussis	/wiki/Nicolaos_Matussis	['43', '1941']
Elie Carafoli	/wiki/Elie_Carafoli	['1900', '1950']
Jovan Karamata	/wiki/Jovan_Karamata	['1902', '1967']
Mina Minovici	/wiki/Mina_Minovici	['1900', '1950']
Sterie Diamandi	/wiki/Sterie_Diamandi	['1900', '1950']
Neagu Djuvara	/wiki/Neagu_Djuvara	['1900', '1950']
George Murnu	/wiki/George_Murnu	['1900', '1950']
Daniel Moscopolites	/wiki/Daniel_Moscopolites	['1900', '1950']
Gigi Becali	/wiki/Gigi_Becali	['1900', '1950']
Cristian Gaţu	/wiki/Cristian_Ga%C5%A3u	['1900', '1950']
Gheorghe Hagi	/wiki/Gheorghe_Hagi	['1900', '1950']
Simona Halep	/wiki/Simona_Halep	['1900', '1950']
Dominique Moceanu	/wiki/Dominique_Moceanu	['1900', '1950']
Konda Bimbaša	/wiki/Konda_Bimba%C5%A1a	['1900', '1950']
Pitu Guli	/wiki/Pitu_Guli	['1865', '1903']
Mitre the Vlach	/wiki/Mitre_the_Vlach	['1900', '1950']
