text	link	year
Dutch language	/wiki/Dutch_language	['1900', '1950']
Papiamento	/wiki/Papiamento	['1900', '1950']
ISO 3166-2:AW	/wiki/ISO_3166-2:AW	['1900', '1950']
ISO 3166-2:NL	/wiki/ISO_3166-2:NL	['1900', '1950']
Island Carib language	/wiki/Island_Carib_language	['1900', '1950']
Noord	/wiki/Noord	['1900', '1950']
Oranjestad, Aruba	/wiki/Oranjestad,_Aruba	['1900', '1950']
Paradera	/wiki/Paradera	['1900', '1950']
San Nicolaas	/wiki/San_Nicolaas	['1900', '1950']
Santa Cruz, Aruba	/wiki/Santa_Cruz,_Aruba	['1900', '1950']
Savaneta	/wiki/Savaneta	['1900', '1950']
Alto Vista Chapel	/wiki/Alto_Vista_Chapel	['1900', '1950']
Arikok National Park	/wiki/Arikok_National_Park	['1900', '1950']
Ayo Rock Formations	/wiki/Ayo_Rock_Formations	['1900', '1950']
Bushiribana and Balashi	/wiki/Bushiribana_and_Balashi	['1900', '1950']
California Lighthouse	/wiki/California_Lighthouse	['1900', '1950']
Frenchman's Pass	/wiki/Frenchman%27s_Pass	['1900', '1950']
Hooiberg	/wiki/Hooiberg	['1900', '1950']
Mount Jamanota	/wiki/Mount_Jamanota	['1900', '1950']
Natural Pool	/wiki/Natural_Pool	['1900', '1950']
Quadiriki Caves	/wiki/Quadiriki_Caves	['1900', '1950']
Sint Nicolaas, Aruba	/wiki/Sint_Nicolaas,_Aruba	['1900', '1950']
Tierra Del Sol Golf Course	/wiki/Tierra_Del_Sol_Golf_Course	['1900', '1950']
Arashi, Aruba	/wiki/Arashi,_Aruba	['1900', '1950']
Baby Beach, Aruba	/wiki/Baby_Beach,_Aruba	['1900', '1950']
Eagle Beach	/wiki/Eagle_Beach	['1900', '1950']
Palm Beach, Aruba	/wiki/Palm_Beach,_Aruba	['1900', '1950']
Palm Island, Aruba	/wiki/Palm_Island,_Aruba	['1900', '1950']
Rodgers Beach, Aruba	/wiki/Rodgers_Beach,_Aruba	['1900', '1950']
Dave Benton	/wiki/Dave_Benton	['1900', '1950']
Alfonso Boekhoudt	/wiki/Alfonso_Boekhoudt	['1900', '1950']
Xander Bogaerts	/wiki/Xander_Bogaerts	['1900', '1950']
Betico Croes	/wiki/Betico_Croes	['1900', '1950']
Henny Eman	/wiki/Henny_Eman	['1900', '1950']
Mike Eman	/wiki/Mike_Eman	['1900', '1950']
Bobby Farrell	/wiki/Bobby_Farrell	['1900', '1950']
Frans Figaroa	/wiki/Frans_Figaroa	['1900', '1950']
Henry Habibe	/wiki/Henry_Habibe	['1900', '1950']
Andrew Holleran	/wiki/Andrew_Holleran	['1900', '1950']
Olindo Koolman	/wiki/Olindo_Koolman	['1900', '1950']
Jossy Mansur	/wiki/Jossy_Mansur	['1900', '1950']
Nelson Oduber	/wiki/Nelson_Oduber	['1900', '1950']
Sidney Ponson	/wiki/Sidney_Ponson	['1900', '1950']
Fredis Refunjol	/wiki/Fredis_Refunjol	['1900', '1950']
Julia Renfro	/wiki/Julia_Renfro	['1900', '1950']
Jeannette Richardson-Baars	/wiki/Jeannette_Richardson-Baars	['1900', '1950']
Felipe Tromp	/wiki/Felipe_Tromp	['1900', '1950']
Evelyn Wever-Croes	/wiki/Evelyn_Wever-Croes	['1900', '1950']
Diederick Charles Mathew	/wiki/Diederick_Charles_Mathew	['1900', '1950']
SS Pedernales	/wiki/SS_Pedernales	['1900', '1950']
Template:Aruba topics	/wiki/Template:Aruba_topics	['1900', '1950']
Template talk:Aruba topics	/wiki/Template_talk:Aruba_topics	['1900', '1950']
Oranjestad, Aruba	/wiki/Oranjestad,_Aruba	['1900', '1950']
Dutch Caribbean Coast Guard	/wiki/Dutch_Caribbean_Coast_Guard	['1900', '1950']
Aruba Police Force	/wiki/Aruba_Police_Force	['1900', '1950']
Aruba at the Olympics	/wiki/Aruba_at_the_Olympics	['1900', '1950']
Aruba at the Pan American Games	/wiki/Aruba_at_the_Pan_American_Games	['1900', '1950']
Netherlands Antilles	/wiki/Netherlands_Antilles	['1900', '1950']
Aruba	/wiki/Aruba	['1900', '1950']
Bonaire	/wiki/Bonaire	['1900', '1950']
Curaçao	/wiki/Cura%C3%A7ao	['1900', '1950']
Saba	/wiki/Saba	['1900', '1950']
Sint Eustatius	/wiki/Sint_Eustatius	['1900', '1950']
Sint Maarten	/wiki/Sint_Maarten	['1900', '1950']
Antigua and Barbuda	/wiki/Antigua_and_Barbuda	['1900', '1950']
The Bahamas	/wiki/The_Bahamas	['1900', '1950']
Barbados	/wiki/Barbados	['1900', '1950']
Belize	/wiki/Belize	['1900', '1950']
Canada	/wiki/Canada	['1900', '1950']
Costa Rica	/wiki/Costa_Rica	['1900', '1950']
Cuba	/wiki/Cuba	['1900', '1950']
Dominica	/wiki/Dominica	['1900', '1950']
Dominican Republic	/wiki/Dominican_Republic	['1900', '1950']
El Salvador	/wiki/El_Salvador	['1900', '1950']
Grenada	/wiki/Grenada	['1900', '1950']
Guatemala	/wiki/Guatemala	['1900', '1950']
Haiti	/wiki/Haiti	['1900', '1950']
Honduras	/wiki/Honduras	['1900', '1950']
Jamaica	/wiki/Jamaica	['1900', '1950']
Mexico	/wiki/Mexico	['1900', '1950']
Nicaragua	/wiki/Nicaragua	['1900', '1950']
Panama	/wiki/Panama	['1900', '1950']
Saint Kitts and Nevis	/wiki/Saint_Kitts_and_Nevis	['1900', '1950']
Saint Lucia	/wiki/Saint_Lucia	['1900', '1950']
Saint Vincent and the Grenadines	/wiki/Saint_Vincent_and_the_Grenadines	['1900', '1950']
Trinidad and Tobago	/wiki/Trinidad_and_Tobago	['1900', '1950']
United States	/wiki/United_States	['1900', '1950']
Colombia	/wiki/Colombia	['1900', '1950']
France	/wiki/France	['1900', '1950']
Guadeloupe	/wiki/Guadeloupe	['1900', '1950']
Martinique	/wiki/Martinique	['1900', '1950']
Caribbean Netherlands	/wiki/Caribbean_Netherlands	['1900', '1950']
Bonaire	/wiki/Bonaire	['1900', '1950']
Saba	/wiki/Saba	['1900', '1950']
Sint Eustatius	/wiki/Sint_Eustatius	['1900', '1950']
Venezuela	/wiki/Venezuela	['1900', '1950']
Nueva Esparta	/wiki/Nueva_Esparta	['1900', '1950']
Greenland	/wiki/Greenland	['1900', '1950']
