text	link	year
Azerbaijan	/wiki/Azerbaijan	['1900', '1950']
Yarsanism	/wiki/Yarsanism	['1900', '1950']
March Days	/wiki/March_Days	['1900', '1950']
Black January	/wiki/Black_January	['1900', '1950']
Khojaly Massacre	/wiki/Khojaly_Massacre	['1900', '1950']
Tofig Ismayilov	/wiki/Tofig_Ismayilov_(politician)	['1933', '1991']
Kerim Kerimov	/wiki/Kerim_Kerimov	['1917', '2003']
Musa Manarov	/wiki/Musa_Manarov	['1951', '2025']
Lutfali Abdullayev	/wiki/Lutfali_Abdullayev	['1914', '1973']
Telman Adigozalov	/wiki/Telman_Adigozalov	['1953', '2010']
Aliagha Aghayev	/wiki/Aliagha_Aghayev	['1913', '1983']
Alasgar Alakbarov	/wiki/Alasgar_Alakbarov	['1910', '1963']
Mirzaagha Aliyev	/wiki/Mirzaagha_Aliyev	['1883', '1954']
Huseyn Arablinski	/wiki/Huseyn_Arablinski	['1881', '1919']
Sayavush Aslan	/wiki/Sayavush_Aslan	['1935', '2013']
Mirza Babayev	/wiki/Mirza_Babayev	['1903', '2003']
Shamsi Badalbeyli	/wiki/Shamsi_Badalbeyli	['1911', '1986']
Leyla Badirbeyli	/wiki/Leyla_Badirbeyli	['1920', '1999']
Hajibaba Baghirov	/wiki/Hajibaba_Baghirov	['1932', '2006']
Bahram Bagirzade	/wiki/Bahram_Bagirzade	['1972', '2025']
Rasim Balayev	/wiki/Rasim_Balayev	['1948', '2025']
Afag Bashirgyzy	/wiki/Afag_Bashirgyzy	['1955', '2025']
Aghasadyg Garaybeyli	/wiki/Aghasadyg_Garaybeyli	['1897', '1988']
Hokuma Gurbanova	/wiki/Hokuma_Gurbanova	['1913', '1988']
Nesrin Javadzadeh	/wiki/Nesrin_Javadzadeh	['1982', '2025']
Munavvar Kalantarli	/wiki/Munavvar_Kalantarli	['1912', '1962']
Aygün Kazımova	/wiki/Ayg%C3%BCn_Kaz%C4%B1mova	['1971', '2025']
Fakhraddin Manafov	/wiki/Fakhraddin_Manafov	['1955', '2025']
Jeyhun Mirzayev	/wiki/Jeyhun_Mirzayev	['1946', '1993']
Yashar Nuri	/wiki/Yashar_Nuri	['1951', '2012']
Hamida Omarova	/wiki/Hamida_Omarova	['1957', '2025']
Hagigat Rzayeva	/wiki/Hagigat_Rzayeva	['1907', '1969']
Latif Safarov	/wiki/Latif_Safarov	['1920', '1963']
Barat Shakinskaya	/wiki/Barat_Shakinskaya	['1914', '1999']
Abbas Mirza Sharifzadeh	/wiki/Abbas_Mirza_Sharifzadeh	['1893', '1938']
Rza Tahmasib	/wiki/Rza_Tahmasib	['1894', '1980']
Hasanagha Turabov	/wiki/Hasanagha_Turabov	['1938', '2003']
Eldaniz Zeynalov	/wiki/Eldaniz_Zeynalov	['1937', '2001']
Nasiba Zeynalova	/wiki/Nasiba_Zeynalova	['1916', '2004']
Jeyhun Hajibeyli	/wiki/Jeyhun_Hajibeyli	['1891', '1962']
Mammadali Huseynov	/wiki/Mammadali_Huseynov	['1922', '1994']
Ishag Jafarzadeh	/wiki/Ishag_Jafarzadeh	['1895', '1982']
