text	link	year
John Charles Brudenell-Bruce	/wiki/John_Charles_Brudenell-Bruce	['1900', '1950']
Alvin Christopher	/wiki/Alvin_Christopher	['1900', '1950']
Ivan Dawson	/wiki/Ivan_Dawson	['1900', '1950']
Isaac Glanville Fonseca	/wiki/Isaac_Glanville_Fonseca	['1900', '1950']
Andrew Fahie	/wiki/Andrew_Fahie	['1900', '1950']
Julian Fraser	/wiki/Julian_Fraser	['1900', '1950']
Omar Hodge	/wiki/Omar_Hodge	['1900', '1950']
Terrance B. Lettsome	/wiki/Terrance_B._Lettsome	['1900', '1950']
Conrad Maduro	/wiki/Conrad_Maduro	['1900', '1950']
Ralph T. O'Neal	/wiki/Ralph_T._O%27Neal	['1900', '1950']
Qwominer William Osborne	/wiki/Qwominer_William_Osborne	['1900', '1950']
Eileen Parsons	/wiki/Eileen_Parsons	['1900', '1950']
Dancia Penn	/wiki/Dancia_Penn	['1900', '1950']
Howard Reynold Penn	/wiki/Howard_Reynold_Penn	['1900', '1950']
Cyril Romney	/wiki/Cyril_Romney	['1900', '1950']
Ethlyn Smith	/wiki/Ethlyn_Smith	['1900', '1950']
Orlando Smith	/wiki/Orlando_Smith	['1900', '1950']
Hamilton Lavity Stoutt	/wiki/Hamilton_Lavity_Stoutt	['1900', '1950']
Willard Wheatley	/wiki/Willard_Wheatley	['1900', '1950']
Dion Crabbe	/wiki/Dion_Crabbe	['1900', '1950']
Tahesia Harrigan	/wiki/Tahesia_Harrigan	['1900', '1950']
Kyron McMaster	/wiki/Kyron_McMaster	['1900', '1950']
Samuel Hodge	/wiki/Samuel_Hodge	['1900', '1950']
Tony Snell	/wiki/Tony_Snell_(RAF_officer)	['1900', '1950']
Melanie Amaro	/wiki/Melanie_Amaro	['1900', '1950']
Inez Archibald	/wiki/Inez_Archibald	['1900', '1950']
Joseph Archibald	/wiki/Joseph_Archibald	['1900', '1950']
Iyaz	/wiki/Iyaz	['1900', '1950']
Dancia Penn	/wiki/Dancia_Penn	['1900', '1950']
Michael Riegels	/wiki/Michael_Riegels	['1900', '1950']
Richard Branson	/wiki/Richard_Branson	['1900', '1950']
Morgan Freeman	/wiki/Morgan_Freeman	['1900', '1950']
Henry Jarecki	/wiki/Henry_Jarecki	['1900', '1950']
Peter Jennings	/wiki/Peter_Jennings	['1900', '1950']
Larry Page	/wiki/Larry_Page	['1900', '1950']
Daniel Wildenstein	/wiki/Daniel_Wildenstein	['1900', '1950']
Samuel Bellamy	/wiki/Samuel_Bellamy	['1900', '1950']
Joost van Dyk	/wiki/Joost_van_Dyk	['1900', '1950']
Arthur William Hodge	/wiki/Arthur_William_Hodge	['1900', '1950']
John C. Lettsome	/wiki/John_C._Lettsome	['1900', '1950']
Samuel Nottingham	/wiki/Samuel_Nottingham	['1900', '1950']
William Thornton	/wiki/William_Thornton	['1900', '1950']
