text	link	year
Pauline Allen-Dean	/wiki/Pauline_Allen-Dean	['1900', '1950']
Garet 'Tiger' Finlayson	/wiki/Garet_%27Tiger%27_Finlayson	['1900', '1950']
Baha Men	/wiki/Baha_Men	['1900', '1950']
Etta Cameron	/wiki/Etta_Cameron	['1900', '1950']
Wendy Coakley-Thompson	/wiki/Wendy_Coakley-Thompson	['1900', '1950']
Eric Gibson	/wiki/Eric_Gibson	['1900', '1950']
Lenny Kravitz	/wiki/Lenny_Kravitz	['1900', '1950']
Shakara Ledard	/wiki/Shakara_Ledard	['1900', '1950']
Myles Munroe	/wiki/Myles_Munroe	['1900', '1950']
Tia Mowry	/wiki/Tia_Mowry	['1900', '1950']
Tamera Mowry	/wiki/Tamera_Mowry	['1900', '1950']
Sidney Poitier	/wiki/Sidney_Poitier	['1900', '1950']
Roxie Roker	/wiki/Roxie_Roker	['1900', '1950']
Angelique Sabrina	/wiki/Angelique_Sabrina	['1900', '1950']
Persia White	/wiki/Persia_White	['1900', '1950']
Mary Moseley	/wiki/Mary_Moseley	['1900', '1950']
Perry Christie	/wiki/Perry_Christie	['1900', '1950']
Frederick Gottlieb	/wiki/Frederick_Gottlieb	['1900', '1950']
Hubert Ingraham	/wiki/Hubert_Ingraham	['1900', '1950']
Lynden Pindling	/wiki/Lynden_Pindling	['1900', '1950']
Allan Glaisyer Minns	/wiki/Allan_Glaisyer_Minns	['1900', '1950']
Deandre Ayton	/wiki/Deandre_Ayton	['1900', '1950']
Shaunae Miller	/wiki/Shaunae_Miller	['1900', '1950']
Edner Cherry	/wiki/Edner_Cherry	['1900', '1950']
André Deveaux	/wiki/Andr%C3%A9_Deveaux	['1900', '1950']
Yves Edwards	/wiki/Yves_Edwards	['1900', '1950']
Debbie Ferguson-McKenzie	/wiki/Debbie_Ferguson-McKenzie	['1900', '1950']
Rick Fox	/wiki/Rick_Fox	['1900', '1950']
Eric Gordon	/wiki/Eric_Gordon	['1900', '1950']
Steven Gardiner	/wiki/Steven_Gardiner	['1900', '1950']
Buddy Hield	/wiki/Buddy_Hield	['1900', '1950']
Tureano Johnson	/wiki/Tureano_Johnson	['1900', '1950']
Mark Knowles	/wiki/Mark_Knowles	['1900', '1950']
Antoan Richardson	/wiki/Antoan_Richardson	['1900', '1950']
Myron Rolle	/wiki/Myron_Rolle	['1900', '1950']
Kimbo Slice	/wiki/Kimbo_Slice	['1900', '1950']
Klay Thompson	/wiki/Klay_Thompson	['1900', '1950']
Mychal Thompson	/wiki/Mychal_Thompson	['1900', '1950']
Tonique Williams-Darling	/wiki/Tonique_Williams-Darling	['1900', '1950']
Nicolas Cage	/wiki/Nicolas_Cage	['1900', '1950']
Mariah Carey	/wiki/Mariah_Carey	['1900', '1950']
"Sean ""Diddy"" Combs"	/wiki/Sean_%22Diddy%22_Combs	['1900', '1950']
Sean Connery	/wiki/Sean_Connery	['1900', '1950']
David Copperfield	/wiki/David_Copperfield_(illusionist)	['1900', '1950']
Johnny Depp	/wiki/Johnny_Depp	['1900', '1950']
Rick Fox	/wiki/Rick_Fox	['1900', '1950']
Bill Gates	/wiki/Bill_Gates	['1900', '1950']
Michael Jordan	/wiki/Michael_Jordan	['1900', '1950']
Lenny Kravitz	/wiki/Lenny_Kravitz	['1900', '1950']
Joe Lewis	/wiki/Joe_Lewis_(British_businessman)	['1900', '1950']
Terry Manning	/wiki/Terry_Manning	['1900', '1950']
Tim McGraw	/wiki/Tim_McGraw	['1900', '1950']
Shakira Mebarak	/wiki/Shakira_Mebarak	['1900', '1950']
Eddie Murphy	/wiki/Eddie_Murphy	['1900', '1950']
Daniel Nestor	/wiki/Daniel_Nestor	['1900', '1950']
Peter Nygard	/wiki/Peter_Nygard	['1900', '1950']
Stephen O'Brien	/wiki/Stephen_O%27Brien	['1900', '1950']
Mike Oldfield	/wiki/Mike_Oldfield	['1900', '1950']
Sidney Poitier	/wiki/Sidney_Poitier	['1900', '1950']
Anna Nicole Smith	/wiki/Anna_Nicole_Smith	['1900', '1950']
John Travolta	/wiki/John_Travolta	['1900', '1950']
Tiger Woods	/wiki/Tiger_Woods	['1900', '1950']
Afro-Caribbean	/wiki/Afro-Caribbean	['1900', '1950']
Template:The Bahamas topics	/wiki/Template:The_Bahamas_topics	['1900', '1950']
Template talk:The Bahamas topics	/wiki/Template_talk:The_Bahamas_topics	['1900', '1950']
Eleutheran Adventurers	/wiki/Eleutheran_Adventurers	['1900', '1950']
Raid on Charles Town	/wiki/Raid_on_Charles_Town	['1900', '1950']
Raid on Nassau	/wiki/Raid_on_Nassau	['1900', '1950']
Raid on Nassau	/wiki/Raid_on_Nassau_(1720)	['1900', '1950']
Bahamas and the American Civil War	/wiki/Bahamas_and_the_American_Civil_War	['1900', '1950']
Nassau, Bahamas	/wiki/Nassau,_Bahamas	['1900', '1950']
Freeport, Bahamas	/wiki/Freeport,_Bahamas	['1900', '1950']
New Providence	/wiki/New_Providence	['1900', '1950']
Grand Bahama	/wiki/Grand_Bahama	['1900', '1950']
Royal Bahamas Defence Force	/wiki/Royal_Bahamas_Defence_Force	['1900', '1950']
Royal Bahamas Police Force	/wiki/Royal_Bahamas_Police_Force	['1900', '1950']
Special Branch	/wiki/Special_Branch#Bahamas	['1900', '1950']
Bahamas Securities Exchange	/wiki/Bahamas_Securities_Exchange	['1900', '1950']
March On, Bahamaland	/wiki/March_On,_Bahamaland	['1900', '1950']
God Bless our Sunny Clime	/wiki/God_Bless_our_Sunny_Clime	['1900', '1950']
Book:The Bahamas	/wiki/Book:The_Bahamas	['1900', '1950']
