text	link	year
Ali Al-Ahmed	/wiki/Ali_Al-Ahmed	['1900', '1950']
Nadhmi Al-Nasr	/wiki/Nadhmi_Al-Nasr	['1900', '1950']
Kamal Al-Yahya	/wiki/Kamal_Al-Yahya	['1900', '1950']
Abdulhadi Khalaf	/wiki/Abdulhadi_Khalaf	['1900', '1950']
Ali Al-Sebaa	/wiki/Ali_Al-Sebaa	['1900', '1950']
Ali Abdulemam	/wiki/Ali_Abdulemam	['1900', '1950']
Mahmood Al-Yousif	/wiki/Mahmood_Al-Yousif	['1900', '1950']
Mahdi Al Tajir	/wiki/Mahdi_Al_Tajir	['1900', '1950']
Mansoor Al-Jamri	/wiki/Mansoor_Al-Jamri	['1900', '1950']
Mohammed Haddad	/wiki/Mohammed_Haddad	['1900', '1950']
Majeed Marhoon	/wiki/Majeed_Marhoon	['1900', '1950']
Majid Jordan	/wiki/Majid_Jordan	['1900', '1950']
Ebrahim Al-Arrayedh	/wiki/Ebrahim_Al-Arrayedh	['1900', '1950']
Thuraya AlArrayed	/wiki/Thuraya_AlArrayed	['1900', '1950']
Ali Al Jallawi	/wiki/Ali_Al_Jallawi	['1900', '1950']
Ayat Al-Qurmezi	/wiki/Ayat_Al-Qurmezi	['1900', '1950']
Mohammed Hasan Kamaluddin	/wiki/Mohammed_Hasan_Kamaluddin	['1900', '1950']
Abdulwahid AlAbduljabbar	/wiki/Abdulwahid_AlAbduljabbar	['1900', '1950']
Majeed Al Alawi	/wiki/Majeed_Al_Alawi	['1900', '1950']
Jawad Al-Arrayedh	/wiki/Jawad_Al-Arrayedh	['1900', '1950']
Nazar Al Baharna	/wiki/Nazar_Al_Baharna	['1900', '1950']
Abdul Amir al-Jamri	/wiki/Abdul_Amir_al-Jamri	['1900', '1950']
Abdulhadi Al Khawaja	/wiki/Abdulhadi_Al_Khawaja	['1900', '1950']
Massouma al-Mubarak	/wiki/Massouma_al-Mubarak	['1900', '1950']
Nimr al-Nimr	/wiki/Nimr_al-Nimr	['1900', '1950']
Nada Haffadh	/wiki/Nada_Haffadh	['1900', '1950']
Hasan Mushaima	/wiki/Hasan_Mushaima	['1900', '1950']
Isa Qassim	/wiki/Isa_Qassim	['1900', '1950']
Nabeel Rajab	/wiki/Nabeel_Rajab	['1900', '1950']
Ali Salman	/wiki/Ali_Salman	['1900', '1950']
Hussain Al Baharna	/wiki/Hussain_Al_Baharna	['1900', '1950']
Abu al-Bahlul al-Awwam	/wiki/Abu_al-Bahlul_al-Awwam	['1900', '1950']
Sayyid	/wiki/Sayyid	['1900', '1950']
Shaykh Ahmad	/wiki/Shaykh_Ahmad	['1900', '1950']
Allaedin Ghoraifi	/wiki/Allaedin_Ghoraifi	['1900', '1950']
Salih Al-Karzakani	/wiki/Salih_Al-Karzakani	['1900', '1950']
Abbas Almohri	/wiki/Abbas_Almohri	['1900', '1950']
Abdullah al Samahiji	/wiki/Abdullah_al_Samahiji	['1900', '1950']
Ismael Abdullatif	/wiki/Ismael_Abdullatif	['1900', '1950']
Sayed Mohamed Adnan	/wiki/Sayed_Mohamed_Adnan	['1900', '1950']
Hamad Al Fardan	/wiki/Hamad_Al_Fardan	['1900', '1950']
Tareq Al-Farsani	/wiki/Tareq_Al-Farsani	['1900', '1950']
Husain Ali	/wiki/Husain_Ali	['1900', '1950']
Hussein Taher Al-Sabee	/wiki/Hussein_Taher_Al-Sabee	['1900', '1950']
Hussein Al-Sadiq	/wiki/Hussein_Al-Sadiq	['1900', '1950']
Jamal Al-Saffar	/wiki/Jamal_Al-Saffar	['1900', '1950']
Abbas Ayyad	/wiki/Abbas_Ayyad	['1900', '1950']
A'ala Hubail	/wiki/A%27ala_Hubail	['1900', '1950']
Mohamed Hubail	/wiki/Mohamed_Hubail	['1900', '1950']
Sayed Mohammed Jaffer	/wiki/Sayed_Mohammed_Jaffer	['1900', '1950']
Abbas Ahmed Khamis	/wiki/Abbas_Ahmed_Khamis	['1900', '1950']
Hussain Salman	/wiki/Hussain_Salman	['1900', '1950']
Template:Bahrain topics	/wiki/Template:Bahrain_topics	['1900', '1950']
Template talk:Bahrain topics	/wiki/Template_talk:Bahrain_topics	['1900', '1950']
Dilmun	/wiki/Dilmun	['1900', '1950']
Al-Ala'a Al-Hadrami	/wiki/Al-Ala%27a_Al-Hadrami	['1900', '1950']
António Correia	/wiki/Ant%C3%B3nio_Correia_(admiral)	['1900', '1950']
First Oil Well, Bahrain	/wiki/First_Oil_Well,_Bahrain	['1900', '1950']
National Union Committee	/wiki/National_Union_Committee	['1900', '1950']
March Intifada	/wiki/March_Intifada	['1900', '1950']
Bahraini opposition	/wiki/Bahraini_opposition	['1900', '1950']
Bahraini Dinar	/wiki/Bahraini_Dinar	['1900', '1950']
Bahrain Bourse	/wiki/Bahrain_Bourse	['1900', '1950']
Bahraini art	/wiki/Bahraini_art	['1900', '1950']
Bahrainona	/wiki/Bahrainona	['1900', '1950']
Book:Bahrain	/wiki/Book:Bahrain	['1900', '1950']
