text	link	year
Alfred Aschenkampff	/wiki/Alfred_Aschenkampff	['1858', '1914']
Bernhard Bielenstein	/wiki/Bernhard_Bielenstein	['1877', '1959']
Wilhelm Bockslaff	/wiki/Wilhelm_Bockslaff	['1858', '1945']
Johann Felsko	/wiki/Johann_Felsko	['1813', '1902']
Karl Felsko	/wiki/Karl_Felsko	['1844', '1918']
Christoph Haberland	/wiki/Christoph_Haberland	['1750', '1803']
Otto Pius Hippius	/wiki/Otto_Pius_Hippius	['1826', '1883']
Erich Jacoby	/wiki/Erich_Jacoby	['1885', '1941']
Paul Mandelstamm	/wiki/Paul_Mandelstamm	['1872', '1941']
Robert Natus	/wiki/Robert_Natus	['1890', '1950']
Robert Pflug	/wiki/Robert_Pflug	['1832', '1885']
August Reinberg	/wiki/August_Reinberg	['1860', '1908']
Jacques Rosenbaum	/wiki/Jacques_Rosenbaum	['1878', '1944']
Alfred Rosenberg	/wiki/Alfred_Rosenberg	['1893', '1946']
Max Scherwinsky	/wiki/Max_Scherwinsky	['1859', '1909']
Edmund von Trompowsky	/wiki/Edmund_von_Trompowsky	['1851', '1919']
Christian Ackermann	/wiki/Christian_Ackermann	['1900', '1950']
Johann Heinrich Baumann	/wiki/Johann_Heinrich_Baumann	['1753', '1832']
Gregor von Bochmann	/wiki/Gregor_von_Bochmann	['1850', '1930']
Bernhard Borchert	/wiki/Bernhard_Borchert	['1863', '1945']
Mikhail Clodt	/wiki/Mikhail_Clodt	['1832', '1902']
Peter Clodt von Jürgensburg	/wiki/Peter_Clodt_von_J%C3%BCrgensburg	['1805', '1867']
Franz Burchard Dörbeck	/wiki/Franz_Burchard_D%C3%B6rbeck	['1799', '1835']
Jacob Heinrich Elbfas	/wiki/Jacob_Heinrich_Elbfas	['1600', '1664']
Eduard von Gebhardt	/wiki/Eduard_von_Gebhardt	['1838', '1925']
Wilhelm August Golicke	/wiki/Wilhelm_August_Golicke	['1802', '1848']
Eduard Hau	/wiki/Eduard_Hau	['1807', '1888']
Woldemar Hau	/wiki/Woldemar_Hau	['1816', '1896']
August Matthias Hagen	/wiki/August_Matthias_Hagen	['1794', '1878']
Julie Wilhelmine Hagen-Schwarz	/wiki/Julie_Wilhelmine_Hagen-Schwarz	['1824', '1902']
Vasily Helmersen	/wiki/Vasily_Helmersen	['1873', '1893']
Carl von Hoffman	/wiki/Carl_von_Hoffman	['1889', '1982']
Franz Hoppenstätt	/wiki/Franz_Hoppenst%C3%A4tt	['1900', '1950']
George Hoyningen-Huene	/wiki/George_Hoyningen-Huene	['1900', '1968']
Alexander Julius Klünder	/wiki/Alexander_Julius_Kl%C3%BCnder	['1802', '1875']
Alexander Kotzebue	/wiki/Alexander_Kotzebue	['1815', '1889']
Gerhard von Kügelgen	/wiki/Gerhard_von_K%C3%BCgelgen	['1772', '1820']
Karl von Kügelgen	/wiki/Karl_von_K%C3%BCgelgen	['1772', '1832']
Konstantin von Kügelgen	/wiki/Konstantin_von_K%C3%BCgelgen	['1810', '1880']
Otto Friedrich Theodor von Möller	/wiki/Otto_Friedrich_Theodor_von_M%C3%B6ller	['1812', '1874']
Carl Timoleon von Neff	/wiki/Carl_Timoleon_von_Neff	['1804', '1877']
August Georg Wilhelm Pezold	/wiki/August_Georg_Wilhelm_Pezold	['1794', '1859']
Nicholas Roerich	/wiki/Nicholas_Roerich	['1874', '1947']
Otto Magnus von Stackelberg	/wiki/Otto_Magnus_von_Stackelberg_(archaeologist)	['1786', '1937']
Egon von Vietinghoff	/wiki/Egon_von_Vietinghoff	['1903', '1994']
Gottlieb Welté	/wiki/Gottlieb_Welt%C3%A9	['1900', '1950']
Friedrich Amelung	/wiki/Friedrich_Amelung	['1842', '1909']
Werner Bergengruen	/wiki/Werner_Bergengruen	['1892', '1964']
Lovisa von Burghausen	/wiki/Lovisa_von_Burghausen	['1698', '1733']
Anton Delvig	/wiki/Anton_Delvig	['1798', '1831']
Helene von Engelhardt	/wiki/Helene_von_Engelhardt	['1850', '1910']
Nikolai Erdman	/wiki/Nikolai_Erdman	['1900', '1970']
Julie Hausmann	/wiki/Julie_Hausmann	['1826', '1901']
Hermann Hesse	/wiki/Hermann_Hesse	['1877', '1962']
Eduard von Keyserling	/wiki/Eduard_von_Keyserling	['1855', '1918']
August von Kotzebue	/wiki/August_von_Kotzebue	['1761', '1819']
Wilhelm Küchelbecker	/wiki/Wilhelm_K%C3%BCchelbecker	['1797', '1846']
Anatol Lieven	/wiki/Anatol_Lieven	['1960', '2025']
Garlieb Merkel	/wiki/Garlieb_Merkel	['1769', '1850']
Elisa von der Recke	/wiki/Elisa_von_der_Recke	['1754', '1833']
Gleb Struve	/wiki/Gleb_Struve	['1898', '1985']
Frank Thiess	/wiki/Frank_Thiess	['1890', '1977']
Jakob von Uexkull	/wiki/Jakob_von_Uexkull	['1944', '2025']
Peter Ernst Wilde	/wiki/Peter_Ernst_Wilde	['1732', '1785']
Gero von Wilpert	/wiki/Gero_von_Wilpert	['1933', '2009']
Heinz Erhardt	/wiki/Heinz_Erhardt	['1909', '1979']
Irene von Meyendorff	/wiki/Irene_von_Meyendorff	['1916', '2001']
Marie Seebach	/wiki/Marie_Seebach	['1830', '1897']
John Christian Bechler	/wiki/John_Christian_Bechler	['1784', '1857']
Eduard Erdmann	/wiki/Eduard_Erdmann	['1896', '1958']
Heinz Erhardt	/wiki/Heinz_Erhardt	['1909', '1979']
Eduard Mertke	/wiki/Eduard_Mertke	['1833', '1895']
Lena Meyer-Landrut	/wiki/Lena_Meyer-Landrut	['1991', '2025']
Carl David Stegmann	/wiki/Carl_David_Stegmann	['1751', '1826']
Raimund von zur-Mühlen	/wiki/Raimund_von_zur-M%C3%BChlen	['1854', '1931']
James Martin Eder	/wiki/James_Martin_Eder	['1838', '1921']
Karl Otto Georg von Meck	/wiki/Karl_Otto_Georg_von_Meck	['1821', '1876']
Nils Taube	/wiki/Nils_Taube	['1928', '2008']
Reinhold von Anrep-Elmpt	/wiki/Reinhold_von_Anrep-Elmpt	['1834', '1888']
Karl Ernst von Baer	/wiki/Karl_Ernst_von_Baer	['1792', '1876']
Fabian Gottlieb von Bellingshausen	/wiki/Fabian_Gottlieb_von_Bellingshausen	['1778', '1852']
Alexander Bunge	/wiki/Alexander_Bunge	['1803', '1890']
Karl von Ditmar	/wiki/Karl_von_Ditmar	['1822', '1892']
Karl Eichwald	/wiki/Karl_Eichwald	['1795', '1876']
Johann Friedrich von Eschscholtz	/wiki/Johann_Friedrich_von_Eschscholtz	['1793', '1831']
Johann Anton Güldenstädt	/wiki/Johann_Anton_G%C3%BCldenst%C3%A4dt	['1745', '1781']
Ludwig von Hagemeister	/wiki/Ludwig_von_Hagemeister	['1780', '1833']
Carl von Hoffman	/wiki/Carl_von_Hoffman	['1889', '1982']
Alexander von Kaulbars	/wiki/Alexander_von_Kaulbars	['1844', '1925']
Otto von Kotzebue	/wiki/Otto_von_Kotzebue	['1787', '1846']
