text	link	year
Mikhail Baryshnikov	/wiki/Mikhail_Baryshnikov	['1900', '1950']
Ludmilla Chiriaeff	/wiki/Ludmilla_Chiriaeff	['1900', '1950']
Mikhail Eisenstein	/wiki/Mikhail_Eisenstein	['1900', '1950']
Sergei Eisenstein	/wiki/Sergei_Eisenstein	['1900', '1950']
Alexandr Kaleri	/wiki/Alexandr_Kaleri	['1900', '1950']
Valeri Karpin	/wiki/Valeri_Karpin	['1900', '1950']
Alexander Kovalevsky	/wiki/Alexander_Kovalevsky	['1900', '1950']
Alexei Kudrin	/wiki/Alexei_Kudrin	['1900', '1950']
Evgenii Miller	/wiki/Evgenii_Miller	['1900', '1950']
Marie N	/wiki/Marie_N	['1900', '1950']
Nikolai Novosjolov	/wiki/Nikolai_Novosjolov	['1900', '1950']
Nikita Ivanovich Panin	/wiki/Nikita_Ivanovich_Panin	['1900', '1950']
Vladimirs Petrovs	/wiki/Vladimirs_Petrovs	['1900', '1950']
Roman Romanov	/wiki/Roman_Romanov	['1900', '1950']
Vladimir Romanov	/wiki/Vladimir_Romanov	['1900', '1950']
Uljana Semjonova	/wiki/Uljana_Semjonova	['1900', '1950']
Alexei Shirov	/wiki/Alexei_Shirov	['1900', '1950']
Konstantin Sokolsky	/wiki/Konstantin_Sokolsky	['1900', '1950']
Anatoly Solovyev	/wiki/Anatoly_Solovyev	['1900', '1950']
Aleksandrs Starkovs	/wiki/Aleksandrs_Starkovs	['1900', '1950']
Yury Tynyanov	/wiki/Yury_Tynyanov	['1900', '1950']
Nils Ušakovs	/wiki/Nils_U%C5%A1akovs	['1900', '1950']
Viktor Uspaskich	/wiki/Viktor_Uspaskich	['1900', '1950']
Mikhail Nikolayevich Zadornov	/wiki/Mikhail_Nikolayevich_Zadornov	['1900', '1950']
Tatjana Ždanoka	/wiki/Tatjana_%C5%BDdanoka	['1900', '1950']
Sergejs Žoltoks	/wiki/Sergejs_%C5%BDoltoks	['1900', '1950']
Albazinians	/wiki/Albazinians	['1900', '1950']
Lipovans	/wiki/Lipovans	['1900', '1950']
