text	link	year
Bengali alphabet	/wiki/Bengali_alphabet	['1900', '1950']
Bengali dialects	/wiki/Bengali_dialects	['1900', '1950']
Bengali vocabulary	/wiki/Bengali_vocabulary	['1900', '1950']
Bengali grammar	/wiki/Bengali_grammar	['1900', '1950']
Bengali language movement	/wiki/Bengali_language_movement	['1900', '1950']
Bengali mythology	/wiki/Bengali_mythology	['1900', '1950']
Behula	/wiki/Behula	['1900', '1950']
Bonbibi	/wiki/Bonbibi	['1900', '1950']
Oladevi	/wiki/Oladevi	['1900', '1950']
Satya Pir	/wiki/Satya_Pir	['1900', '1950']
Manasa	/wiki/Manasa	['1900', '1950']
Thakurmar Jhuli	/wiki/Thakurmar_Jhuli	['1900', '1950']
Bengali folk literature	/wiki/Bengali_folk_literature	['1900', '1950']
Charyapada	/wiki/Charyapada	['1900', '1950']
Mangalkavya	/wiki/Mangalkavya	['1900', '1950']
Vaishnava Padavali	/wiki/Vaishnava_Padavali	['1900', '1950']
Bengal studies	/wiki/Bengal_studies	['1900', '1950']
Bengali poetry	/wiki/Bengali_poetry	['1900', '1950']
Bengali Novels	/wiki/Bengali_Novels	['1900', '1950']
Bengali science fiction	/wiki/Bengali_science_fiction	['1900', '1950']
Bangla Academy	/wiki/Bangla_Academy	['1900', '1950']
Bangla Academy Literary Award	/wiki/Bangla_Academy_Literary_Award	['1900', '1950']
Ekushey Padak	/wiki/Ekushey_Padak	['1900', '1950']
Manipuri dance	/wiki/Manipuri_dance	['1900', '1950']
Alkap	/wiki/Alkap	['1900', '1950']
Jatra	/wiki/Jatra_(Bengal)	['1900', '1950']
Abdullah al Mamun	/wiki/Abdullah_al_Mamun	['1900', '1950']
Syed Shamsul Haque	/wiki/Syed_Shamsul_Haque	['1900', '1950']
Nawab Salimullah	/wiki/Nawab_Salimullah	['1900', '1950']
Deshbandhu Chittaranjan Das	/wiki/Deshbandhu_Chittaranjan_Das	['1900', '1950']
Abdul Halim Ghaznavi	/wiki/Abdul_Halim_Ghaznavi	['1900', '1950']
Khabeeruddin Ahmed	/wiki/Khabeeruddin_Ahmed	['1900', '1950']
Purna Das	/wiki/Purna_Das	['1900', '1950']
Mohammad Ali Bogra	/wiki/Mohammad_Ali_Bogra	['1953', '1955']
Nawaab Syed Shamsul Huda	/wiki/Nawaab_Syed_Shamsul_Huda	['1900', '1950']
A. K. Fazlul Huq	/wiki/A._K._Fazlul_Huq	['1937', '1943']
Nawab Abdul Latif	/wiki/Nawab_Abdul_Latif	['1900', '1950']
Khwaja Salimullah	/wiki/Khwaja_Salimullah	['1900', '1950']
Surya Sen	/wiki/Surya_Sen	['1900', '1950']
Haji Shariatullah	/wiki/Haji_Shariatullah	['1900', '1950']
Huseyn Shaheed Suhrawardy	/wiki/Huseyn_Shaheed_Suhrawardy	['1946', '1947']
Pritilata Waddedar	/wiki/Pritilata_Waddedar	['1900', '1950']
Rafiq Uddin Ahmed	/wiki/Rafiq_Uddin_Ahmed	['1900', '1950']
Abul Barkat	/wiki/Abul_Barkat	['1900', '1950']
Abdul Jabbar	/wiki/Abdul_Jabbar_(activist)	['1900', '1950']
