text	link	year
Anna Maria Horsford	/wiki/Anna_Maria_Horsford	['1900', '1950']
Gregory Abbott	/wiki/Gregory_Abbott	['1900', '1950']
Jazzie B	/wiki/Jazzie_B	['1900', '1950']
Shermain Jeremy	/wiki/Shermain_Jeremy	['1900', '1950']
Curtly Ambrose	/wiki/Curtly_Ambrose	['1900', '1950']
Speedy Claxton	/wiki/Speedy_Claxton	['1900', '1950']
Carl Herrera	/wiki/Carl_Herrera	['1900', '1950']
Emile Heskey	/wiki/Emile_Heskey	['1900', '1950']
Maurice Hope	/wiki/Maurice_Hope	['1900', '1950']
Colin Kazim-Richards	/wiki/Colin_Kazim-Richards	['1900', '1950']
Ledley King	/wiki/Ledley_King	['1900', '1950']
Vivian Richards	/wiki/Vivian_Richards	['1900', '1950']
Richie Richardson	/wiki/Richie_Richardson	['1900', '1950']
Andy Roberts	/wiki/Andy_Roberts_(cricketer)	['1900', '1950']
Lester Bird	/wiki/Lester_Bird	['1900', '1950']
Vere Cornwall Bird	/wiki/Vere_Cornwall_Bird	['1900', '1950']
James Carlisle	/wiki/James_Carlisle	['1900', '1950']
Tim Hector	/wiki/Tim_Hector	['1900', '1950']
Wilfred Jacobs	/wiki/Wilfred_Jacobs	['1900', '1950']
Baldwin Spencer	/wiki/Baldwin_Spencer	['1900', '1950']
Sydney Walling	/wiki/Sydney_Walling	['1900', '1950']
George Walter	/wiki/George_Walter	['1900', '1950']
Leonard Tim Hector	/wiki/Leonard_Tim_Hector	['1900', '1950']
Marie-Elena John	/wiki/Marie-Elena_John	['1900', '1950']
Jamaica Kincaid	/wiki/Jamaica_Kincaid	['1900', '1950']
Stacey Dash	/wiki/Stacey_Dash	['1900', '1950']
Melyssa Ford	/wiki/Melyssa_Ford	['1900', '1950']
Doug E. Fresh	/wiki/Doug_E._Fresh	['1900', '1950']
Jada Pinkett Smith	/wiki/Jada_Pinkett_Smith	['1900', '1950']
Meagan Good	/wiki/Meagan_Good	['1900', '1950']
Cuba Gooding Jr.	/wiki/Cuba_Gooding_Jr.	['1900', '1950']
Omar Gooding	/wiki/Omar_Gooding	['1900', '1950']
David Harewood	/wiki/David_Harewood	['1900', '1950']
LL Cool J	/wiki/LL_Cool_J	['1900', '1950']
Mari Morrow	/wiki/Mari_Morrow	['1900', '1950']
Gwyneth Paltrow	/wiki/Gwyneth_Paltrow	['1900', '1950']
Redd Pepper	/wiki/Redd_Pepper	['1900', '1950']
Robert Christopher Riley	/wiki/Robert_Christopher_Riley	['1900', '1950']
Lamman Rucker	/wiki/Lamman_Rucker	['1900', '1950']
