text	link	year
Anabel Alonso	/wiki/Anabel_Alonso	['1900', '1950']
Álex Angulo	/wiki/%C3%81lex_Angulo	['1900', '1950']
Joe Ansolabehere	/wiki/Joe_Ansolabehere	['1900', '1950']
Tomas Arana	/wiki/Tomas_Arana	['1900', '1950']
Montxo Armendáriz	/wiki/Montxo_Armend%C3%A1riz	['1900', '1950']
Aurelio Arteta	/wiki/Aurelio_Arteta	['1900', '1950']
Juanma Bajo Ulloa	/wiki/Juanma_Bajo_Ulloa	['1900', '1950']
Cristóbal Balenciaga	/wiki/Crist%C3%B3bal_Balenciaga	['1900', '1950']
Ricardo Baroja	/wiki/Ricardo_Baroja	['1900', '1950']
Earl W. Bascom	/wiki/Earl_W._Bascom	['1900', '1950']
Nestor Basterretxea	/wiki/Nestor_Basterretxea	['1900', '1950']
Camren Bicondova	/wiki/Camren_Bicondova	['1900', '1950']
Bernard Blancan	/wiki/Bernard_Blancan	['1900', '1950']
Eduardo Chillida	/wiki/Eduardo_Chillida	['1900', '1950']
Juan de Echevarría	/wiki/Juan_de_Echevarr%C3%ADa	['1900', '1950']
Baltasar de Echave	/wiki/Baltasar_de_Echave	['1900', '1950']
Hector Elizondo	/wiki/Hector_Elizondo	['1900', '1950']
Victor Erice	/wiki/Victor_Erice	['1900', '1950']
Karra Elejalde	/wiki/Karra_Elejalde	['1900', '1950']
Marta Etura	/wiki/Marta_Etura	['1900', '1950']
Jose Etxenagusia	/wiki/Jose_Etxenagusia	['1900', '1950']
Galen Gering	/wiki/Galen_Gering	['1900', '1950']
Ibn Gharsiya	/wiki/Ibn_Gharsiya	['1900', '1950']
Adolfo Guiard	/wiki/Adolfo_Guiard	['1900', '1950']
Barbara Goenaga	/wiki/Barbara_Goenaga	['1900', '1950']
Alejandro González Iñárritu	/wiki/Alejandro_Gonz%C3%A1lez_I%C3%B1%C3%A1rritu	['1900', '1950']
Miren Ibarguren	/wiki/Miren_Ibarguren	['1900', '1950']
Agustín Ibarrola	/wiki/Agust%C3%ADn_Ibarrola	['1900', '1950']
Álex de la Iglesia	/wiki/%C3%81lex_de_la_Iglesia	['1900', '1950']
Adam Irigoyen	/wiki/Adam_Irigoyen	['1900', '1950']
Francisco Iturrino	/wiki/Francisco_Iturrino	['1900', '1950']
Alfredo Landa	/wiki/Alfredo_Landa	['1900', '1950']
Carmen Larrabeiti	/wiki/Carmen_Larrabeiti	['1900', '1950']
Catalina Larranaga	/wiki/Catalina_Larranaga	['1900', '1950']
Guillermo Larrazábal	/wiki/Guillermo_Larraz%C3%A1bal	['1900', '1950']
Jesús Mari Lazkano	/wiki/Jes%C3%BAs_Mari_Lazkano	['1900', '1950']
John Leguizamo	/wiki/John_Leguizamo	['1900', '1950']
Rebeca Linares	/wiki/Rebeca_Linares	['1900', '1950']
Paul Mayeda Berges	/wiki/Paul_Mayeda_Berges	['1900', '1950']
Julio Médem	/wiki/Julio_M%C3%A9dem	['1900', '1950']
Antonio Mercero	/wiki/Antonio_Mercero	['1900', '1950']
Rafael Moneo	/wiki/Rafael_Moneo	['1900', '1950']
Najwa Nimri	/wiki/Najwa_Nimri	['1900', '1950']
Jorge Oteiza	/wiki/Jorge_Oteiza	['1900', '1950']
Hayley Orrantia	/wiki/Hayley_Orrantia	['1900', '1950']
Paco Rabanne	/wiki/Paco_Rabanne	['1900', '1950']
Pierre Richard-Willm	/wiki/Pierre_Richard-Willm	['1900', '1950']
Dolores del Río	/wiki/Dolores_del_R%C3%ADo	['1900', '1950']
Henry Roussel	/wiki/Henry_Roussel	['1900', '1950']
Blanquita Suárez	/wiki/Blanquita_Su%C3%A1rez	['1900', '1950']
Natalia Tena	/wiki/Natalia_Tena	['1900', '1950']
Unax Ugalde	/wiki/Unax_Ugalde	['1900', '1950']
Eduardo Úrculo	/wiki/Eduardo_%C3%9Arculo	['1900', '1950']
Benny Urquidez	/wiki/Benny_Urquidez	['1900', '1950']
Jenaro de Urrutia Olaran	/wiki/Jenaro_de_Urrutia_Olaran	['1900', '1950']
Achille Zo	/wiki/Achille_Zo	['1900', '1950']
Ignacio Zuloaga	/wiki/Ignacio_Zuloaga	['1900', '1950']
Iván Zulueta	/wiki/Iv%C3%A1n_Zulueta	['1900', '1950']
Daphne Zuniga	/wiki/Daphne_Zuniga	['1900', '1950']
Léopold Eyharts	/wiki/L%C3%A9opold_Eyharts	['1900', '1950']
Dominique Amestoy	/wiki/Dominique_Amestoy	['1900', '1950']
José María Arizmendiarrieta	/wiki/Jos%C3%A9_Mar%C3%ADa_Arizmendiarrieta	['1900', '1950']
