text	link	year
Paleszuk	/wiki/Paleszuk	['1900', '1950']
Russians	/wiki/Russians	['1900', '1950']
Ukrainians	/wiki/Ukrainians	['1900', '1950']
Rusyns	/wiki/Rusyns	['1900', '1950']
Eastern Orthodox Church	/wiki/Eastern_Orthodox_Church	['1900', '1950']
Russian language	/wiki/Russian_language	['1900', '1950']
Trasianka	/wiki/Trasianka	['1900', '1950']
Litvin	/wiki/Litvin	['1900', '1950']
Louis B. Mayer	/wiki/Louis_B._Mayer	['1900', '1950']
Solomon Mikhoels	/wiki/Solomon_Mikhoels	['1900', '1950']
Hanna Rovina	/wiki/Hanna_Rovina	['1893', '1980']
J. Michael Straczynski	/wiki/J._Michael_Straczynski	['1900', '1950']
Irving Berlin	/wiki/Irving_Berlin	['1900', '1950']
Vladimir Dukelsky	/wiki/Vladimir_Dukelsky	['1900', '1950']
Napoleon Orda	/wiki/Napoleon_Orda	['1900', '1950']
Marc Chagall	/wiki/Marc_Chagall	['1900', '1950']
Kirk Douglas	/wiki/Kirk_Douglas	['1900', '1950']
Petr Elfimov	/wiki/Petr_Elfimov	['1900', '1950']
Harrison Ford	/wiki/Harrison_Ford	['1900', '1950']
Naum Gabo	/wiki/Naum_Gabo	['1900', '1950']
Scarlett Johansson	/wiki/Scarlett_Johansson	['1900', '1950']
Michel Kikoine	/wiki/Michel_Kikoine	['1900', '1950']
Dmitry Koldun	/wiki/Dmitry_Koldun	['1900', '1950']
Pinchus Kremegne	/wiki/Pinchus_Kremegne	['1900', '1950']
Yehudi Menuhin	/wiki/Yehudi_Menuhin	['1900', '1950']
Mikhail Savitsky	/wiki/Mikhail_Savitsky	['1900', '1950']
Chaim Soutine	/wiki/Chaim_Soutine	['1900', '1950']
Sergey Voychenko	/wiki/Sergey_Voychenko	['1900', '1950']
Ossip Zadkine	/wiki/Ossip_Zadkine	['1900', '1950']
Ales Adamovich	/wiki/Ales_Adamovich	['1900', '1950']
Svetlana Alexievich	/wiki/Svetlana_Alexievich	['1900', '1950']
Guillaume Apollinaire	/wiki/Guillaume_Apollinaire	['1900', '1950']
Isaac Asimov	/wiki/Isaac_Asimov	['1900', '1950']
Maksim Bahdanovich	/wiki/Maksim_Bahdanovich	['1900', '1950']
Francishak Bahushevich	/wiki/Francishak_Bahushevich	['1900', '1950']
Janka Bryl	/wiki/Janka_Bryl	['1900', '1950']
Vasil Bykau	/wiki/Vasil_Bykau	['1900', '1950']
Vintsent Dunin-Martsinkyevich	/wiki/Vintsent_Dunin-Martsinkyevich	['1900', '1950']
Avraham Even-Shoshan	/wiki/Avraham_Even-Shoshan	['84', '1906']
Nil Hilevich	/wiki/Nil_Hilevich	['1900', '1950']
Nicolai Hussoviani	/wiki/Nicolai_Hussoviani	['1900', '1950']
Uladzimir Karatkevich	/wiki/Uladzimir_Karatkevich	['1900', '1950']
Hienadz Kliauko	/wiki/Hienadz_Kliauko	['1900', '1950']
Yakub Kolas	/wiki/Yakub_Kolas	['1900', '1950']
Janka Kupala	/wiki/Janka_Kupala	['1900', '1950']
John Lettou	/wiki/John_Lettou	['1900', '1950']
Vera Maslovskaya	/wiki/Vera_Maslovskaya	['1900', '1950']
Janka Maur	/wiki/Janka_Maur	['1900', '1950']
Ivan Melezh	/wiki/Ivan_Melezh	['1900', '1950']
Alexander S. Potupa	/wiki/Alexander_S._Potupa	['1900', '1950']
Ryhor Reles	/wiki/Ryhor_Reles	['1900', '1950']
Mendele Mocher Sforim	/wiki/Mendele_Mocher_Sforim	['1900', '1950']
