text	link	year
Belgium	/wiki/Belgium	['1900', '1950']
Nicolas Ancion	/wiki/Nicolas_Ancion	['1971', '2025']
Gentil Theodoor Antheunis	/wiki/Gentil_Theodoor_Antheunis	['1840', '1907']
Pieter Aspe	/wiki/Pieter_Aspe	['1953', '2025']
Henry Bauchau	/wiki/Henry_Bauchau	['1913', '2012']
Jean-Marie Berckmans	/wiki/Jean-Marie_Berckmans	['1900', '1950']
Anton Bergmann	/wiki/Anton_Bergmann	['1835', '1874']
Hendrik Beyaert	/wiki/Hendrik_Beyaert	['1823', '1894']
Philipp Blommaert	/wiki/Philipp_Blommaert	['1809', '1871']
Louis Paul Boon	/wiki/Louis_Paul_Boon	['1912', '1979']
Cris Brodahl	/wiki/Cris_Brodahl	['1963', '2025']
Elisa Brune	/wiki/Elisa_Brune	['1966', '2025']
Herman Brusselmans	/wiki/Herman_Brusselmans	['1957', '2025']
Cyriel Buysse	/wiki/Cyriel_Buysse	['1859', '1932']
Emile Cammaerts	/wiki/Emile_Cammaerts	['1878', '1953']
Sophie Cauvin	/wiki/Sophie_Cauvin	['1968', '2025']
Ernest Claes	/wiki/Ernest_Claes	['1885', '1968']
Hugo Claus	/wiki/Hugo_Claus	['1929', '2008']
Hendrik Conscience	/wiki/Hendrik_Conscience	['1812', '1883']
Julio Cortázar	/wiki/Julio_Cort%C3%A1zar	['1900', '1950']
Joanna Courtmans	/wiki/Joanna_Courtmans	['1811', '1890']
Fernand Crommelynck	/wiki/Fernand_Crommelynck	['1900', '1950']
Johan Daisne	/wiki/Johan_Daisne	['1900', '1950']
Jacques Danois	/wiki/Jacques_Danois	['1927', '2008']
Johan Michiel Dautzenberg	/wiki/Johan_Michiel_Dautzenberg	['1808', '1869']
Herman de Coninck	/wiki/Herman_de_Coninck	['1944', '1997']
Charles De Coster	/wiki/Charles_De_Coster	['1827', '1879']
Julius de Geyter	/wiki/Julius_de_Geyter	['1830', '1905']
Xaveer De Geyter	/wiki/Xaveer_De_Geyter	['1957', '2025']
Michel De Ghelderode	/wiki/Michel_De_Ghelderode	['1898', '1962']
Michel de Kemmeter	/wiki/Michel_de_Kemmeter	['1964', '2025']
Lodewijk de Koninck	/wiki/Lodewijk_de_Koninck	['1838', '1924']
Gilbert Delahaye	/wiki/Gilbert_Delahaye	['1900', '1950']
Patricia de Martelaere	/wiki/Patricia_de_Martelaere	['1900', '1950']
Charles Polydore de Mont	/wiki/Charles_Polydore_de_Mont	['1857', '1931']
Filip De Pillecyn	/wiki/Filip_De_Pillecyn	['1891', '1962']
Paul De Wispelaere	/wiki/Paul_De_Wispelaere	['1900', '1950']
Christine D'Haen	/wiki/Christine_D%27Haen	['1900', '1950']
