text	link	year
Vanga Kingdom	/wiki/Vanga_Kingdom	['1900', '1950']
Gangaridai	/wiki/Gangaridai	['1900', '1950']
Gauda Kingdom	/wiki/Gauda_Kingdom	['1900', '1950']
Pala Empire	/wiki/Pala_Empire	['1900', '1950']
Bengal Sultanate	/wiki/Bengal_Sultanate	['1900', '1950']
Bengal Subah	/wiki/Bengal_Subah	['1900', '1950']
Bengal Presidency	/wiki/Bengal_Presidency	['1900', '1950']
Eastern Bengal and Assam	/wiki/Eastern_Bengal_and_Assam	['1900', '1950']
East Bengal	/wiki/East_Bengal	['1900', '1950']
East Pakistan	/wiki/East_Pakistan	['1900', '1950']
Bengal	/wiki/Bengal	['1900', '1950']
Bangladesh	/wiki/Bangladesh	['1900', '1950']
West Bengal	/wiki/West_Bengal	['1900', '1950']
Tripura	/wiki/Tripura	['1900', '1950']
Barak Valley	/wiki/Barak_Valley	['1900', '1950']
Assam	/wiki/Assam	['1900', '1950']
Bangal	/wiki/Bangal	['1900', '1950']
Bangal	/wiki/Bangal	['1900', '1950']
Ghotis	/wiki/Ghotis	['1900', '1950']
Bangladeshi diaspora	/wiki/Bangladeshi_diaspora	['1900', '1950']
Bong	/wiki/Bong_(term)	['1900', '1950']
Bong	/wiki/Bong_(term)	['1900', '1950']
Bongal	/wiki/Bongal	['1900', '1950']
Pangal	/wiki/Pangal	['1900', '1950']
Dkhar	/wiki/Dkhar	['1900', '1950']
Malaun	/wiki/Malaun	['1900', '1950']
Bangladeshi folk literature	/wiki/Bangladeshi_folk_literature	['1900', '1950']
Bangladeshi art	/wiki/Bangladeshi_art	['1900', '1950']
Pahela Baishakh	/wiki/Pahela_Baishakh	['1900', '1950']
Pahela Baishakh	/wiki/Pahela_Baishakh	['1900', '1950']
Pahela Falgun	/wiki/Pahela_Falgun	['1900', '1950']
Barsha Utsab	/wiki/Barsha_Utsab	['1900', '1950']
Nabanna	/wiki/Nabanna	['1900', '1950']
Bangamata	/wiki/Bangamata	['1900', '1950']
Joy Bangla	/wiki/Joy_Bangla	['1900', '1950']
Bengal tiger	/wiki/Bengal_tiger	['1900', '1950']
Bengal cat	/wiki/Bengal_cat	['1900', '1950']
Bungalow	/wiki/Bungalow	['1900', '1950']
Bengal fire	/wiki/Bengal_fire	['1900', '1950']
Amar Sonar Bangla	/wiki/Amar_Sonar_Bangla	['1900', '1950']
Ilish	/wiki/Ilish	['1900', '1950']
Ilish	/wiki/Ilish	['1900', '1950']
Chingri malai curry	/wiki/Chingri_malai_curry	['1900', '1950']
Rasgulla	/wiki/Rasgulla	['1900', '1950']
Chomchom	/wiki/Chomchom	['1900', '1950']
Jamdani	/wiki/Jamdani	['1900', '1950']
Ganges	/wiki/Ganges	['1900', '1950']
Suvarnabhumi	/wiki/Suvarnabhumi	['1900', '1950']
United Bengal	/wiki/United_Bengal	['1900', '1950']
Bangabhumi	/wiki/Bangabhumi	['1900', '1950']
Greater Bangladesh	/wiki/Greater_Bangladesh	['1900', '1950']
Gopala I	/wiki/Gopala_I	['1900', '1950']
Dharmapala	/wiki/Dharmapala_(emperor)	['1900', '1950']
Devapala	/wiki/Devapala_(Pala_dynasty)	['1900', '1950']
Mahendrapala	/wiki/Mahendrapala	['1900', '1950']
Shurapala I	/wiki/Shurapala_I	['1900', '1950']
Vigrahapala I	/wiki/Vigrahapala_I	['1900', '1950']
Narayanapala	/wiki/Narayanapala	['1900', '1950']
Gopala II	/wiki/Gopala_II	['1900', '1950']
Vigrahapala II	/wiki/Vigrahapala_II	['1900', '1950']
Mahipala I	/wiki/Mahipala_I	['1900', '1950']
Nayapala	/wiki/Nayapala	['1900', '1950']
Vigrahapala III	/wiki/Vigrahapala_III	['1900', '1950']
Mahipala II	/wiki/Mahipala_II	['1900', '1950']
Shurapala II	/wiki/Shurapala_II	['1900', '1950']
Ramapala	/wiki/Ramapala	['1900', '1950']
Kumarapala	/wiki/Kumarapala_(Pala_king)	['1900', '1950']
Gopala III	/wiki/Gopala_III	['1900', '1950']
Madanapala	/wiki/Madanapala_(Pala_dynasty)	['1900', '1950']
Govindapala	/wiki/Govindapala	['1900', '1950']
Hemanta Sen	/wiki/Hemanta_Sen	['1900', '1950']
Vijaya Sena	/wiki/Vijaya_Sena	['1900', '1950']
Ballala Sena	/wiki/Ballala_Sena	['1900', '1950']
Lakshmana Sena	/wiki/Lakshmana_Sena	['1900', '1950']
Traillokyachandra	/wiki/Traillokyachandra	['900', '930']
Srichandra	/wiki/Srichandra	['930', '975']
Kalyanachandra	/wiki/Kalyanachandra	['975', '1000']
Ladahachandra	/wiki/Ladahachandra	['1000', '1020']
Govindachandra	/wiki/Govindachandra_(Chandra_dynasty)	['1020', '1050']
Dasharathadeva	/wiki/Dasharathadeva	['1900', '1950']
Pratapaditya	/wiki/Pratapaditya	['1561', '1611']
Rabindranath Tagore	/wiki/Rabindranath_Tagore	['1900', '1950']
Amartya Sen	/wiki/Amartya_Sen	['1900', '1950']
Muhammad Yunus	/wiki/Muhammad_Yunus	['1900', '1950']
Abhijit Banerjee	/wiki/Abhijit_Banerjee	['1900', '1950']
Nafees Bin Zafar	/wiki/Nafees_Bin_Zafar	['1900', '1950']
Satyajit Ray	/wiki/Satyajit_Ray	['1900', '1950']
Salman Khan	/wiki/Salman_Khan_(educator)	['1900', '1950']
Nazia Khanum	/wiki/Nazia_Khanum	['1900', '1950']
Prasanta Chandra Mahalanobis	/wiki/Prasanta_Chandra_Mahalanobis	['1900', '1950']
Vina Mazumdar	/wiki/Vina_Mazumdar	['1900', '1950']
Rajendralal Mitra	/wiki/Rajendralal_Mitra	['1900', '1950']
Nurul Momen	/wiki/Nurul_Momen	['1900', '1950']
Satish Chandra Mukherjee	/wiki/Satish_Chandra_Mukherjee	['1900', '1950']
Ashis Nandy	/wiki/Ashis_Nandy	['1900', '1950']
Sir Jadunath Sarkar	/wiki/Sir_Jadunath_Sarkar	['1900', '1950']
Pranab K. Sen	/wiki/Pranab_K._Sen	['1900', '1950']
Sumit Sarkar	/wiki/Sumit_Sarkar	['1900', '1950']
Sukumar Sen	/wiki/Sukumar_Sen_(linguist)	['1900', '1950']
Muhammad Shahidullah	/wiki/Muhammad_Shahidullah	['1900', '1950']
Chandramukhi Basu	/wiki/Chandramukhi_Basu	['1900', '1950']
Sugata Bose	/wiki/Sugata_Bose	['1900', '1950']
Dipesh Chakrabarty	/wiki/Dipesh_Chakrabarty	['1900', '1950']
Swapan Kumar Chakravorty	/wiki/Swapan_Kumar_Chakravorty	['1900', '1950']
Partha Chatterjee	/wiki/Partha_Chatterjee_(scholar)	['1900', '1950']
Suniti Kumar Chatterjee	/wiki/Suniti_Kumar_Chatterjee	['1900', '1950']
Sukanta Chaudhuri	/wiki/Sukanta_Chaudhuri	['1900', '1950']
Supriya Chaudhuri	/wiki/Supriya_Chaudhuri	['1900', '1950']
Khudiram Das	/wiki/Khudiram_Das	['1900', '1950']
Satish Ranjan Das	/wiki/Satish_Ranjan_Das	['1900', '1950']
Shomie Das	/wiki/Shomie_Das	['1900', '1950']
Anil Kumar Gain	/wiki/Anil_Kumar_Gain	['1900', '1950']
Kaberi Gain	/wiki/Kaberi_Gain	['1900', '1950']
Swapan K. Gayen	/wiki/Swapan_K._Gayen	['1900', '1950']
Saroj Ghose	/wiki/Saroj_Ghose	['1900', '1950']
Joseph Ghosh	/wiki/Joseph_Ghosh	['1900', '1950']
Abhishek Chatterjee	/wiki/Abhishek_Chatterjee	['1900', '1950']
Ajitesh Bandopadhyay	/wiki/Ajitesh_Bandopadhyay	['1900', '1950']
