text	link	year
International Phonetic Alphabet	/wiki/International_Phonetic_Alphabet	['1900', '1950']
Benin	/wiki/Benin	['1900', '1950']
Endonym	/wiki/Endonym	['1900', '1950']
Etymology	/wiki/Etymology	['1900', '1950']
ISO country codes	/wiki/ISO_country_codes	['1900', '1950']
ISO region codes	/wiki/ISO_region_codes	['1900', '1950']
Internet	/wiki/Internet	['1900', '1950']
Nation state	/wiki/Nation_state	['1900', '1950']
Northern Hemisphere	/wiki/Northern_Hemisphere	['1900', '1950']
Northern Hemisphere	/wiki/Northern_Hemisphere	['1900', '1950']
Africa	/wiki/Africa	['1900', '1950']
West Africa	/wiki/West_Africa	['1900', '1950']
Time zone	/wiki/Time_zone	['1900', '1950']
Mont Sokbaro	/wiki/Mont_Sokbaro	['1900', '1950']
Mont Sokbaro	/wiki/Mont_Sokbaro	['1900', '1950']
Lake Ahémé	/wiki/Lake_Ah%C3%A9m%C3%A9	['1900', '1950']
Lake Ahémé	/wiki/Lake_Ah%C3%A9m%C3%A9	['1900', '1950']
Lake Nokoué	/wiki/Lake_Nokou%C3%A9	['1900', '1950']
Couffo River	/wiki/Couffo_River	['1900', '1950']
Mono River	/wiki/Mono_River	['1900', '1950']
Niger River	/wiki/Niger_River	['1900', '1950']
Alibori River	/wiki/Alibori_River	['1900', '1950']
Mékrou River	/wiki/M%C3%A9krou_River	['1900', '1950']
Oti River	/wiki/Oti_River	['1900', '1950']
Sota River	/wiki/Sota_River	['1900', '1950']
Ouémé River	/wiki/Ou%C3%A9m%C3%A9_River	['1900', '1950']
Alibori Department	/wiki/Alibori_Department	['1900', '1950']
Atakora Department	/wiki/Atakora_Department	['1900', '1950']
Atlantique Department	/wiki/Atlantique_Department	['1900', '1950']
Borgou Department	/wiki/Borgou_Department	['1900', '1950']
Collines Department	/wiki/Collines_Department	['1900', '1950']
Donga Department	/wiki/Donga_Department	['1900', '1950']
Kouffo Department	/wiki/Kouffo_Department	['1900', '1950']
Littoral Department	/wiki/Littoral_Department	['1900', '1950']
Mono Department	/wiki/Mono_Department	['1900', '1950']
Ouémé Department	/wiki/Ou%C3%A9m%C3%A9_Department	['1900', '1950']
Plateau Department	/wiki/Plateau_Department	['1900', '1950']
Zou Department	/wiki/Zou_Department	['1900', '1950']
Capital	/wiki/Capital_(political)	['1900', '1950']
Abomey	/wiki/Abomey	['1900', '1950']
Abomey-Calavi	/wiki/Abomey-Calavi	['1900', '1950']
Allada	/wiki/Allada	['1900', '1950']
Aplahoué	/wiki/Aplahou%C3%A9	['1900', '1950']
Athiémé	/wiki/Athi%C3%A9m%C3%A9	['1900', '1950']
Banikoara	/wiki/Banikoara	['1900', '1950']
Bassila	/wiki/Bassila	['1900', '1950']
Bembèrèkè	/wiki/Bemb%C3%A8r%C3%A8k%C3%A8	['1900', '1950']
Bohicon	/wiki/Bohicon	['1900', '1950']
Bori, Benin	/wiki/Bori,_Benin	['1900', '1950']
Boukoumbé	/wiki/Boukoumb%C3%A9	['1900', '1950']
Bétérou	/wiki/B%C3%A9t%C3%A9rou	['1900', '1950']
Comé	/wiki/Com%C3%A9	['1900', '1950']
Cotonou	/wiki/Cotonou	['1900', '1950']
Cové	/wiki/Cov%C3%A9	['1900', '1950']
Dassa-Zoumé	/wiki/Dassa-Zoum%C3%A9	['1900', '1950']
Djougou	/wiki/Djougou	['1900', '1950']
Dogbo-Tota	/wiki/Dogbo-Tota	['1900', '1950']
Ganvie	/wiki/Ganvie	['1900', '1950']
Gogounou	/wiki/Gogounou	['1900', '1950']
Grand Popo	/wiki/Grand_Popo	['1900', '1950']
Kandi, Benin	/wiki/Kandi,_Benin	['1900', '1950']
Karimama, Benin	/wiki/Karimama,_Benin	['1900', '1950']
Kouandé	/wiki/Kouand%C3%A9	['1900', '1950']
Kérou	/wiki/K%C3%A9rou	['1900', '1950']
Kétou	/wiki/K%C3%A9tou	['1900', '1950']
Lokossa	/wiki/Lokossa	['1900', '1950']
Malanville	/wiki/Malanville	['1900', '1950']
Natitingou	/wiki/Natitingou	['1900', '1950']
Ndali	/wiki/Ndali_(Benin)	['1900', '1950']
Nikki, Benin	/wiki/Nikki,_Benin	['1900', '1950']
Ouidah	/wiki/Ouidah	['1900', '1950']
Parakou	/wiki/Parakou	['1900', '1950']
Pobé	/wiki/Pob%C3%A9	['1900', '1950']
Porga	/wiki/Porga	['1900', '1950']
Porto-Novo	/wiki/Porto-Novo	['1900', '1950']
Péhonko	/wiki/P%C3%A9honko	['1900', '1950']
Sakété	/wiki/Sak%C3%A9t%C3%A9	['1900', '1950']
Savalou	/wiki/Savalou	['1900', '1950']
Savé	/wiki/Sav%C3%A9	['1900', '1950']
Segboroué	/wiki/Segborou%C3%A9	['1900', '1950']
Ségbana	/wiki/S%C3%A9gbana	['1900', '1950']
Tanguietta	/wiki/Tanguietta	['1900', '1950']
Tanguiéta	/wiki/Tangui%C3%A9ta	['1900', '1950']
Tchaourou	/wiki/Tchaourou	['1900', '1950']
Capital	/wiki/Capital_(political)	['1900', '1950']
Action Front for Renewal and Development	/wiki/Action_Front_for_Renewal_and_Development	['1900', '1950']
African Movement for Development and Progress	/wiki/African_Movement_for_Development_and_Progress	['1900', '1950']
Alliance for Social Democracy	/wiki/Alliance_for_Social_Democracy	['1900', '1950']
Benin Rebirth Party	/wiki/Benin_Rebirth_Party	['1900', '1950']
Democratic Renewal Party	/wiki/Democratic_Renewal_Party_(Benin)	['1900', '1950']
Hope Force	/wiki/Hope_Force	['1900', '1950']
Impulse to Progress and Democracy	/wiki/Impulse_to_Progress_and_Democracy	['1900', '1950']
Key Force	/wiki/Key_Force	['1900', '1950']
Liberal Democrats' Rally for National Reconstruction-Vivoten	/wiki/Liberal_Democrats%27_Rally_for_National_Reconstruction-Vivoten	['1900', '1950']
Movement for Citizens' Commitment and Awakening	/wiki/Movement_for_Citizens%27_Commitment_and_Awakening	['1900', '1950']
Movement for Development and Solidarity	/wiki/Movement_for_Development_and_Solidarity	['1900', '1950']
Movement for Development by Culture	/wiki/Movement_for_Development_by_Culture	['1900', '1950']
Movement for the People's Alternative	/wiki/Movement_for_the_People%27s_Alternative	['1900', '1950']
"National Party ""Together"""	/wiki/National_Party_%22Together%22	['1900', '1950']
National Rally for Democracy	/wiki/National_Rally_for_Democracy_(Benin)	['1900', '1950']
New Alliance	/wiki/New_Alliance_(Benin)	['1900', '1950']
People's Republican Union	/wiki/People%27s_Republican_Union	['1900', '1950']
Rally for Democracy and Progress	/wiki/Rally_for_Democracy_and_Progress_(Benin)	['1900', '1950']
Social Democratic Party	/wiki/Social_Democratic_Party_(Benin)	['1900', '1950']
Star Alliance	/wiki/Star_Alliance_(Benin)	['1900', '1950']
The Greens	/wiki/The_Greens_(Benin)	['1900', '1950']
Union for Democracy and National Solidarity	/wiki/Union_for_Democracy_and_National_Solidarity	['1900', '1950']
Union for Future Benin	/wiki/Union_for_Future_Benin	['1900', '1950']
Union for Homeland and Labour	/wiki/Union_for_Homeland_and_Labour	['1900', '1950']
Union for the Nation	/wiki/Union_for_the_Nation	['1900', '1950']
United States-Benin relations	/wiki/United_States-Benin_relations	['1900', '1950']
African Development Bank Group	/wiki/African_Development_Bank_Group	['1900', '1950']
African Union	/wiki/African_Union	['1900', '1950']
Conference des Ministres des Finances des Pays de la Zone Franc	/wiki/Conference_des_Ministres_des_Finances_des_Pays_de_la_Zone_Franc	['1900', '1950']
Food and Agriculture Organization	/wiki/Food_and_Agriculture_Organization	['1900', '1950']
International Atomic Energy Agency	/wiki/International_Atomic_Energy_Agency	['1900', '1950']
International Bank for Reconstruction and Development	/wiki/International_Bank_for_Reconstruction_and_Development	['1900', '1950']
