text	link	year
Osorkon the Elder	/wiki/Osorkon_the_Elder	['1900', '1950']
Shoshenq I	/wiki/Shoshenq_I	['1900', '1950']
Masinissa	/wiki/Masinissa	['1900', '1950']
Jugurtha	/wiki/Jugurtha	['1900', '1950']
Syphax	/wiki/Syphax	['1900', '1950']
Baga	/wiki/Baga_(king)	['1900', '1950']
Bocchus I	/wiki/Bocchus_I	['1900', '1950']
Bocchus II	/wiki/Bocchus_II	['1900', '1950']
Juba II	/wiki/Juba_II	['1900', '1950']
Macrinus	/wiki/Macrinus	['1900', '1950']
Aemilianus	/wiki/Aemilianus	['1900', '1950']
Lusius Quietus	/wiki/Lusius_Quietus	['1900', '1950']
Quintus Lollius Urbicus	/wiki/Quintus_Lollius_Urbicus	['1900', '1950']
Gildo	/wiki/Gildo	['1900', '1950']
Dihya	/wiki/Dihya	['1900', '1950']
Kusaila	/wiki/Kusaila	['1900', '1950']
Muhammad ibn Wasul	/wiki/Muhammad_ibn_Wasul	['1900', '1950']
Safiyy al-Dawla	/wiki/Safiyy_al-Dawla	['1900', '1950']
Thu'ban ibn Muhammad	/wiki/Thu%27ban_ibn_Muhammad	['1900', '1950']
Ziri ibn Manad	/wiki/Ziri_ibn_Manad	['1900', '1950']
Yusuf ibn Tashfin	/wiki/Yusuf_ibn_Tashfin	['1900', '1950']
Zaynab an-Nafzawiyyah	/wiki/Zaynab_an-Nafzawiyyah	['1900', '1950']
Fannu	/wiki/Fannu	['1900', '1950']
'Abdallah ibn Ghaniya	/wiki/%27Abdallah_ibn_Ghaniya	['1900', '1950']
Abd al-Mu'min	/wiki/Abd_al-Mu%27min	['1094', '1163']
Abu Yaqub Yusuf	/wiki/Abu_Yaqub_Yusuf	['1900', '1950']
Yusuf II, Almohad caliph	/wiki/Yusuf_II,_Almohad_caliph	['1900', '1950']
Abu Said Uthman III	/wiki/Abu_Said_Uthman_III	['1900', '1950']
Tacfarinas	/wiki/Tacfarinas	['1900', '1950']
Firmus	/wiki/Firmus_(4th_century_usurper)	['1900', '1950']
Cutzinas	/wiki/Cutzinas	['1900', '1950']
Antalas	/wiki/Antalas	['1900', '1950']
Ierna	/wiki/Ierna	['1900', '1950']
Tariq ibn Ziyad	/wiki/Tariq_ibn_Ziyad	['670', '720']
Ja'far ibn Fallah	/wiki/Ja%27far_ibn_Fallah	['1900', '1950']
Mazdali ibn Tilankan	/wiki/Mazdali_ibn_Tilankan	['1900', '1950']
Syr ibn Abi Bakr	/wiki/Syr_ibn_Abi_Bakr	['1900', '1950']
Ibn Masal	/wiki/Ibn_Masal	['1900', '1950']
Hammu ibn Abd al-Haqq	/wiki/Hammu_ibn_Abd_al-Haqq	['1900', '1950']
Uthman ibn Abi al-Ula	/wiki/Uthman_ibn_Abi_al-Ula	['1900', '1950']
Abd el-Krim	/wiki/Abd_el-Krim	['1900', '1950']
Larbi Ben M'Hidi	/wiki/Larbi_Ben_M%27Hidi	['1900', '1950']
Abdelhafid Boussouf	/wiki/Abdelhafid_Boussouf	['1900', '1950']
Mustapha Benboulaïd	/wiki/Mustapha_Benboula%C3%AFd	['1900', '1950']
Abane Ramdane	/wiki/Abane_Ramdane	['1900', '1950']
Krim Belkacem	/wiki/Krim_Belkacem	['1900', '1950']
Colonel Amirouche	/wiki/Colonel_Amirouche	['1900', '1950']
Fatma n Soumer	/wiki/Fatma_n_Soumer	['1900', '1950']
Belkacem Radjef	/wiki/Belkacem_Radjef	['1900', '1950']
Terence	/wiki/Terence	['1900', '1950']
Apuleius	/wiki/Apuleius	['125', '170']
Ibn Darraj al-Qastalli	/wiki/Ibn_Darraj_al-Qastalli	['958', '1030']
