text	link	year
Afrikaners	/wiki/Afrikaners	['1900', '1950']
Basters	/wiki/Basters	['1900', '1950']
Cape Coloureds	/wiki/Cape_Coloureds	['1900', '1950']
Cape Dutch	/wiki/Cape_Dutch	['1900', '1950']
Griquas	/wiki/Griquas	['1900', '1950']
Freedom Front Plus	/wiki/Freedom_Front_Plus	['1900', '1950']
Front National	/wiki/Front_National_(South_Africa)	['1900', '1950']
Herstigte Nasionale Party	/wiki/Herstigte_Nasionale_Party	['1900', '1950']
Sarel Cilliers	/wiki/Sarel_Cilliers	['1900', '1950']
Andries Hendrik Potgieter	/wiki/Andries_Hendrik_Potgieter	['1900', '1950']
Andries Pretorius	/wiki/Andries_Pretorius	['1900', '1950']
Piet Retief	/wiki/Piet_Retief	['1900', '1950']
Racheltjie de Beer	/wiki/Racheltjie_de_Beer	['1900', '1950']
Dirkie Uys	/wiki/Dirkie_Uys	['1900', '1950']
Marthinus Jacobus Oosthuizen	/wiki/Marthinus_Jacobus_Oosthuizen	['1900', '1950']
Koos de la Rey	/wiki/Koos_de_la_Rey	['1900', '1950']
Danie Theron	/wiki/Danie_Theron	['1900', '1950']
Christiaan Rudolf de Wet	/wiki/Christiaan_Rudolf_de_Wet	['1900', '1950']
Siener van Rensburg	/wiki/Siener_van_Rensburg	['1900', '1950']
Louis Botha	/wiki/Louis_Botha	['1910', '1919']
Petrus Jacobus Joubert	/wiki/Petrus_Jacobus_Joubert	['1900', '1950']
Paul Kruger	/wiki/Paul_Kruger	['1900', '1950']
Martinus Theunis Steyn	/wiki/Martinus_Theunis_Steyn	['1900', '1950']
Eugene Terre'Blanche	/wiki/Eugene_Terre%27Blanche	['1900', '1950']
Robey Leibbrandt	/wiki/Robey_Leibbrandt	['1900', '1950']
Fritz Joubert Duquesne	/wiki/Fritz_Joubert_Duquesne	['1900', '1950']
Great Trek	/wiki/Great_Trek	['1900', '1950']
Natalia Republic	/wiki/Natalia_Republic	['1900', '1950']
Orange Free State	/wiki/Orange_Free_State	['1900', '1950']
South African farm attacks	/wiki/South_African_farm_attacks	['1900', '1950']
South African Republic	/wiki/South_African_Republic	['1900', '1950']
Transvaal Colony	/wiki/Transvaal_Colony	['1900', '1950']
Volkstaat	/wiki/Volkstaat	['1900', '1950']
Voortrekker	/wiki/Voortrekker	['1900', '1950']
Transvaal civil war	/wiki/Transvaal_civil_war	['1900', '1950']
Bhaca people	/wiki/Bhaca_people	['1900', '1950']
Bhele	/wiki/Bhele	['1900', '1950']
Fengu people	/wiki/Fengu_people	['1900', '1950']
Hlubi people	/wiki/Hlubi_people	['1900', '1950']
South Ndebele people	/wiki/South_Ndebele_people	['1900', '1950']
Pondo people	/wiki/Pondo_people	['1900', '1950']
Ngcoya clan	/wiki/Ngcoya_clan	['1900', '1950']
Swazi people	/wiki/Swazi_people	['1900', '1950']
Ndwandwe	/wiki/Ndwandwe	['1900', '1950']
Thembu people	/wiki/Thembu_people	['1900', '1950']
Xhosa people	/wiki/Xhosa_people	['1900', '1950']
Gcaleka	/wiki/Gcaleka	['1900', '1950']
Gqunukhwebe	/wiki/Gqunukhwebe	['1900', '1950']
Gaika people	/wiki/Gaika_people	['1900', '1950']
Xesibe	/wiki/Xesibe	['1900', '1950']
Zulu people	/wiki/Zulu_people	['1900', '1950']
Fingo people	/wiki/Fingo_people	['1900', '1950']
Khumalo clan	/wiki/Khumalo_clan	['1900', '1950']
Sotho people	/wiki/Sotho_people	['1900', '1950']
Koena tribe	/wiki/Koena_tribe	['1900', '1950']
Taung tribe	/wiki/Taung_tribe	['1900', '1950']
Tlokwa tribe	/wiki/Tlokwa_tribe	['1900', '1950']
Pedi people	/wiki/Pedi_people	['1900', '1950']
Lobedu people	/wiki/Lobedu_people	['1900', '1950']
Mabelane tribe	/wiki/Mabelane_tribe	['1900', '1950']
Tswana people	/wiki/Tswana_people	['1900', '1950']
Balete people	/wiki/Balete_people	['1900', '1950']
Lemba people	/wiki/Lemba_people	['1900', '1950']
San people	/wiki/San_people	['1900', '1950']
ǃKung people	/wiki/%C7%83Kung_people	['1900', '1950']
Khoikhoi	/wiki/Khoikhoi	['1900', '1950']
Nama people	/wiki/Nama_people	['1900', '1950']
Strandloper peoples	/wiki/Strandloper_peoples	['1900', '1950']
Afrikaners	/wiki/Afrikaners	['1900', '1950']
Cape Dutch	/wiki/Cape_Dutch	['1900', '1950']
Irish diaspora	/wiki/Irish_diaspora#South_Africa	['1900', '1950']
Italian South Africans	/wiki/Italian_South_Africans	['1900', '1950']
Afrikaner-Jews	/wiki/Afrikaner-Jews	['1900', '1950']
Portuguese South African	/wiki/Portuguese_South_African	['1900', '1950']
Cape Coloureds	/wiki/Cape_Coloureds	['1900', '1950']
Cape Malay	/wiki/Cape_Malay	['1900', '1950']
Griqua people	/wiki/Griqua_people	['1900', '1950']
Oorlam people	/wiki/Oorlam_people	['1900', '1950']
Chinese South Africans	/wiki/Chinese_South_Africans	['1900', '1950']
Indian South Africans	/wiki/Indian_South_Africans	['1900', '1950']
Tamil South Africans	/wiki/Tamil_South_Africans	['1900', '1950']
