text	link	year
Mak Dizdar	/wiki/Mak_Dizdar	['1900', '1950']
Hamid Dizdar	/wiki/Hamid_Dizdar	['1900', '1950']
Safvet-beg Bašagić	/wiki/Safvet-beg_Ba%C5%A1agi%C4%87	['1900', '1950']
Osman Nuri Hadžić	/wiki/Osman_Nuri_Had%C5%BEi%C4%87	['1900', '1950']
Edhem Mulabdić	/wiki/Edhem_Mulabdi%C4%87	['1900', '1950']
Mehmed Kapetanović	/wiki/Mehmed_Kapetanovi%C4%87	['1900', '1950']
Musa Ćazim Ćatić	/wiki/Musa_%C4%86azim_%C4%86ati%C4%87	['1900', '1950']
Alija Isaković	/wiki/Alija_Isakovi%C4%87	['1900', '1950']
Nasiha Kapidžić-Hadžić	/wiki/Nasiha_Kapid%C5%BEi%C4%87-Had%C5%BEi%C4%87	['1900', '1950']
Hasan Kikić	/wiki/Hasan_Kiki%C4%87	['1900', '1950']
Zuko Džumhur	/wiki/Zuko_D%C5%BEumhur	['1900', '1950']
Mula Mustafa Bašeskija	/wiki/Mula_Mustafa_Ba%C5%A1eskija	['1900', '1950']
Dževad Karahasan	/wiki/D%C5%BEevad_Karahasan	['1900', '1950']
Bisera Alikadić	/wiki/Bisera_Alikadi%C4%87	['1900', '1950']
Semezdin Mehmedinović	/wiki/Semezdin_Mehmedinovi%C4%87	['1900', '1950']
Skender Kulenović	/wiki/Skender_Kulenovi%C4%87	['1900', '1950']
Abdulah Sidran	/wiki/Abdulah_Sidran	['1900', '1950']
Derviš Sušić	/wiki/Dervi%C5%A1_Su%C5%A1i%C4%87	['1900', '1950']
Nura Bazdulj-Hubijar	/wiki/Nura_Bazdulj-Hubijar	['1900', '1950']
Nedžad Ibrišimović	/wiki/Ned%C5%BEad_Ibri%C5%A1imovi%C4%87	['1900', '1950']
Hamza Humo	/wiki/Hamza_Humo	['1900', '1950']
Enver Čolaković	/wiki/Enver_%C4%8Colakovi%C4%87	['1900', '1950']
Zija Dizdarević	/wiki/Zija_Dizdarevi%C4%87	['1900', '1950']
