text	link	year
Adi Granov	/wiki/Adi_Granov	['1900', '1950']
Braco Dimitrijević	/wiki/Braco_Dimitrijevi%C4%87	['1900', '1950']
Endi E. Poskovic	/wiki/Endi_E._Poskovic	['1900', '1950']
Gabrijel Jurkić	/wiki/Gabrijel_Jurki%C4%87	['1900', '1950']
Safet Zec	/wiki/Safet_Zec	['1900', '1950']
Šejla Kamerić	/wiki/%C5%A0ejla_Kameri%C4%87	['1900', '1950']
Helena Klakocar	/wiki/Helena_Klakocar	['1900', '1950']
Maya Kulenovic	/wiki/Maya_Kulenovic	['1900', '1950']
Mersad Berber	/wiki/Mersad_Berber	['1900', '1950']
Nesim Tahirović	/wiki/Nesim_Tahirovi%C4%87	['1900', '1950']
Irfan Brkovic	/wiki/Irfan_Brkovic	['1900', '1950']
Lazar Drljača	/wiki/Lazar_Drlja%C4%8Da	['1900', '1950']
Slobodan Pejić	/wiki/Slobodan_Peji%C4%87	['1900', '1950']
Todor Švrakić	/wiki/Todor_%C5%A0vraki%C4%87	['1900', '1950']
Zuko Džumhur	/wiki/Zuko_D%C5%BEumhur	['1900', '1950']
Adela Jusic	/wiki/Adela_Jusic	['1900', '1950']
Florijan Mićković	/wiki/Florijan_Mi%C4%87kovi%C4%87	['1900', '1950']
Selma Harrington	/wiki/Selma_Harrington	['1900', '1950']
Vesna Bugarski	/wiki/Vesna_Bugarski	['1900', '1950']
Ivan Štraus	/wiki/Ivan_%C5%A0traus	['1900', '1950']
Zlatko Ugljen	/wiki/Zlatko_Ugljen	['1900', '1950']
Hasan Cemalovic	/wiki/Hasan_Cemalovic	['1900', '1950']
Ivan Ceresnjes	/wiki/Ivan_Ceresnjes	['1900', '1950']
Franciscus Bossinensis	/wiki/Franciscus_Bossinensis	['1900', '1950']
Dino Zonić	/wiki/Dino_Zoni%C4%87	['1900', '1950']
Nihad Hrustanbegovic	/wiki/Nihad_Hrustanbegovic	['1900', '1950']
Elvidin Krilić	/wiki/Elvidin_Krili%C4%87	['1900', '1950']
Miroslav Čangalović	/wiki/Miroslav_%C4%8Cangalovi%C4%87	['1900', '1950']
Lotfi Bouchnak	/wiki/Lotfi_Bouchnak	['1900', '1950']
Flory Jagoda	/wiki/Flory_Jagoda	['1900', '1950']
Merima Ključo	/wiki/Merima_Klju%C4%8Do	['1900', '1950']
Adnan Hasković	/wiki/Adnan_Haskovi%C4%87	['1900', '1950']
Aleksandra Romanić	/wiki/Aleksandra_Romani%C4%87	['1900', '1950']
Branko Đurić	/wiki/Branko_%C4%90uri%C4%87	['1900', '1950']
Davor Dujmović	/wiki/Davor_Dujmovi%C4%87	['1900', '1950']
Enis Bešlagić	/wiki/Enis_Be%C5%A1lagi%C4%87	['1900', '1950']
Haris Pašović	/wiki/Haris_Pa%C5%A1ovi%C4%87	['1900', '1950']
Josip Pejaković	/wiki/Josip_Pejakovi%C4%87	['1900', '1950']
Midhat Ajanović	/wiki/Midhat_Ajanovi%C4%87	['1900', '1950']
Mustafa Nadarević	/wiki/Mustafa_Nadarevi%C4%87	['1900', '1950']
Oskar Danon	/wiki/Oskar_Danon	['1900', '1950']
Vedran Smailović	/wiki/Vedran_Smailovi%C4%87	['1900', '1950']
Vladimir Valjarević	/wiki/Vladimir_Valjarevi%C4%87	['1900', '1950']
Zijah Sokolović	/wiki/Zijah_Sokolovi%C4%87	['1900', '1950']
Zoran Bečić	/wiki/Zoran_Be%C4%8Di%C4%87	['1900', '1950']
Arijana Marić Gigliani	/wiki/Arijana_Mari%C4%87_Gigliani	['1900', '1950']
Zlatko Topčić	/wiki/Zlatko_Top%C4%8Di%C4%87	['1900', '1950']
Ivo Andrić	/wiki/Ivo_Andri%C4%87	['1900', '1950']
