text	link	year
Botswana	/wiki/Botswana	['1900', '1950']
Botswana Railways	/wiki/Botswana_Railways	['1900', '1950']
Botswana diplomatic missions	/wiki/Botswana_diplomatic_missions	['1900', '1950']
Sankuyo	/wiki/Sankuyo	['1900', '1950']
Morupule Power Station	/wiki/Morupule_Power_Station	['1900', '1950']
Sir Seretse Khama International Airport	/wiki/Sir_Seretse_Khama_International_Airport	['1900', '1950']
Tsodilo	/wiki/Tsodilo	['1900', '1950']
Botswana Telecommunications Corporation	/wiki/Botswana_Telecommunications_Corporation	['1900', '1950']
.bw	/wiki/.bw	['1900', '1950']
Mmegi	/wiki/Mmegi	['1900', '1950']
The Voice	/wiki/The_Voice_(Botswana)	['1900', '1950']
The Botswana Gazette	/wiki/The_Botswana_Gazette	['1900', '1950']
Central Kalahari Game Reserve	/wiki/Central_Kalahari_Game_Reserve	['1900', '1950']
Chobe National Park	/wiki/Chobe_National_Park	['1900', '1950']
Kgalagadi Transfrontier Park	/wiki/Kgalagadi_Transfrontier_Park	['1900', '1950']
Khutse Game Reserve	/wiki/Khutse_Game_Reserve	['1900', '1950']
Makgadikgadi Pans National Park	/wiki/Makgadikgadi_Pans_National_Park	['1900', '1950']
Mokolodi Nature Reserve	/wiki/Mokolodi_Nature_Reserve	['1900', '1950']
Moremi Wildlife Reserve	/wiki/Moremi_Wildlife_Reserve	['1900', '1950']
Nxai Pan National Park	/wiki/Nxai_Pan_National_Park	['1900', '1950']
Badimo	/wiki/Badimo	['1900', '1950']
Fatshe leno la rona	/wiki/Fatshe_leno_la_rona	['1900', '1950']
The Gods Must Be Crazy	/wiki/The_Gods_Must_Be_Crazy	['1900', '1950']
Presidents' Day	/wiki/Presidents%27_Day_(Botswana)	['1900', '1950']
Ikalanga language	/wiki/Ikalanga_language	['1900', '1950']
!Xóõ language	/wiki/!X%C3%B3%C3%B5_language	['1900', '1950']
Bemba language	/wiki/Bemba_language	['1900', '1950']
G‖ana language	/wiki/G%E2%80%96ana_language	['1900', '1950']
Herero language	/wiki/Herero_language	['1900', '1950']
Ju languages	/wiki/Ju_languages	['1900', '1950']
Ju/’hoan language	/wiki/Ju/%E2%80%99hoan_language	['1900', '1950']
Lozi language	/wiki/Lozi_language	['1900', '1950']
Nama language	/wiki/Nama_language	['1900', '1950']
Shona language	/wiki/Shona_language	['1900', '1950']
Shua language	/wiki/Shua_language	['1900', '1950']
Sotho languages	/wiki/Sotho_languages	['1900', '1950']
Tsoa language	/wiki/Tsoa_language	['1900', '1950']
Tswana language	/wiki/Tswana_language	['1900', '1950']
Tuu languages	/wiki/Tuu_languages	['1900', '1950']
‖Ani language	/wiki/%E2%80%96Ani_language	['1900', '1950']
‡Hõã language	/wiki/%E2%80%A1H%C3%B5%C3%A3_language	['1900', '1950']
‡Kx’au‖’ein language	/wiki/%E2%80%A1Kx%E2%80%99au%E2%80%96%E2%80%99ein_language	['1900', '1950']
Botswana hip hop	/wiki/Botswana_hip_hop	['1900', '1950']
Tswana music	/wiki/Tswana_music	['1900', '1950']
Rock and Roll	/wiki/Rock_and_Roll	['1900', '1950']
Botswana Unified Revenue Service	/wiki/Botswana_Unified_Revenue_Service	['1900', '1950']
Companies and Intellectual Property Authority	/wiki/Companies_and_Intellectual_Property_Authority	['1900', '1950']
Botswana pula	/wiki/Botswana_pula	['1900', '1950']
Debswana	/wiki/Debswana	['1900', '1950']
Botswana Telecommunications Corporation	/wiki/Botswana_Telecommunications_Corporation	['1900', '1950']
Consumer Watchdog	/wiki/Consumer_Watchdog_(Botswana)	['1900', '1950']
Coalbed methane	/wiki/Coalbed_methane	['1900', '1950']
MASCOM	/wiki/MASCOM	['1900', '1950']
Orange Botswana	/wiki/Orange_Botswana	['1900', '1950']
Damtshaa diamond mine	/wiki/Damtshaa_diamond_mine	['1900', '1950']
Jwaneng diamond mine	/wiki/Jwaneng_diamond_mine	['1900', '1950']
Letlhakane diamond mine	/wiki/Letlhakane_diamond_mine	['1900', '1950']
Morupule Colliery	/wiki/Morupule_Colliery	['1900', '1950']
Orapa diamond mine	/wiki/Orapa_diamond_mine	['1900', '1950']
Air Botswana Employees' Union	/wiki/Air_Botswana_Employees%27_Union	['1900', '1950']
Botswana Agricultural Marketing Board Workers' Union	/wiki/Botswana_Agricultural_Marketing_Board_Workers%27_Union	['1900', '1950']
Botswana Bank Employees' Union	/wiki/Botswana_Bank_Employees%27_Union	['1900', '1950']
Botswana Beverages & Allied Workers' Union	/wiki/Botswana_Beverages_%26_Allied_Workers%27_Union	['1900', '1950']
Botswana Central Bank Staff Union	/wiki/Botswana_Central_Bank_Staff_Union	['1900', '1950']
Botswana Commercial & General Workers' Union	/wiki/Botswana_Commercial_%26_General_Workers%27_Union	['1900', '1950']
Botswana Construction Workers' Union	/wiki/Botswana_Construction_Workers%27_Union	['1900', '1950']
Botswana Diamond Sorters & Valuators' Union	/wiki/Botswana_Diamond_Sorters_%26_Valuators%27_Union	['1900', '1950']
Botswana Hotel Travel & Tourism Workers' Union	/wiki/Botswana_Hotel_Travel_%26_Tourism_Workers%27_Union	['1900', '1950']
Botswana Housing Corporation Staff Union	/wiki/Botswana_Housing_Corporation_Staff_Union	['1900', '1950']
Botswana Manufacturing & Packaging Workers' Union	/wiki/Botswana_Manufacturing_%26_Packaging_Workers%27_Union	['1900', '1950']
