text	link	year
Alice Braga	/wiki/Alice_Braga	['1900', '1950']
Alinne Moraes	/wiki/Alinne_Moraes	['1900', '1950']
Ana Paula Arósio	/wiki/Ana_Paula_Ar%C3%B3sio	['1900', '1950']
Antônio Fagundes	/wiki/Ant%C3%B4nio_Fagundes	['1900', '1950']
Bete Mendes	/wiki/Bete_Mendes	['1900', '1950']
Betty Lago	/wiki/Betty_Lago	['1900', '1950']
Bruno Campos	/wiki/Bruno_Campos	['1900', '1950']
Bruna Lombardi	/wiki/Bruna_Lombardi	['1900', '1950']
Bruna Marquezine	/wiki/Bruna_Marquezine	['1900', '1950']
Carolina Dieckmann	/wiki/Carolina_Dieckmann	['1900', '1950']
Cauã Reymond	/wiki/Cau%C3%A3_Reymond	['1900', '1950']
Daniel Benzali	/wiki/Daniel_Benzali	['1900', '1950']
Daniele Suzuki	/wiki/Daniele_Suzuki	['1900', '1950']
Denise Fraga	/wiki/Denise_Fraga	['1900', '1950']
Dercy Gonçalves	/wiki/Dercy_Gon%C3%A7alves	['1907', '2008']
Eliane Giardini	/wiki/Eliane_Giardini	['1900', '1950']
Fernanda Montenegro	/wiki/Fernanda_Montenegro	['1900', '1950']
Fernanda Torres	/wiki/Fernanda_Torres	['1900', '1950']
Fábio Assunção	/wiki/F%C3%A1bio_Assun%C3%A7%C3%A3o	['1900', '1950']
Fábio Lago	/wiki/F%C3%A1bio_Lago	['1900', '1950']
Francisca Queiroz	/wiki/Francisca_Queiroz	['1900', '1950']
Gianfrancesco Guarnieri	/wiki/Gianfrancesco_Guarnieri	['1934', '2006']
Giovanna Antonelli	/wiki/Giovanna_Antonelli	['1900', '1950']
Glória Menezes	/wiki/Gl%C3%B3ria_Menezes	['1900', '1950']
Grande Otelo	/wiki/Grande_Otelo	['1915', '1993']
Guilherme Berenguer	/wiki/Guilherme_Berenguer	['1900', '1950']
Hebe Camargo	/wiki/Hebe_Camargo	['1929', '2012']
Jéssica Sodré	/wiki/J%C3%A9ssica_Sodr%C3%A9	['1900', '1950']
José Lewgoy	/wiki/Jos%C3%A9_Lewgoy	['1920', '2003']
José Wilker	/wiki/Jos%C3%A9_Wilker	['1945', '2014']
Juliana Didone	/wiki/Juliana_Didone	['1900', '1950']
Juliana Silveira	/wiki/Juliana_Silveira	['1900', '1950']
Lázaro Ramos	/wiki/L%C3%A1zaro_Ramos	['1900', '1950']
Lima Duarte	/wiki/Lima_Duarte	['1900', '1950']
Lucélia Santos	/wiki/Luc%C3%A9lia_Santos	['1900', '1950']
Malu Mader	/wiki/Malu_Mader	['1900', '1950']
Carmen Miranda	/wiki/Carmen_Miranda	['1909', '1955']
Marco Nanini	/wiki/Marco_Nanini	['1900', '1950']
Maria Flor	/wiki/Maria_Flor	['1900', '1950']
Matheus Nachtergaele	/wiki/Matheus_Nachtergaele	['1900', '1950']
Miguel Falabella	/wiki/Miguel_Falabella	['1900', '1950']
Morena Baccarin	/wiki/Morena_Baccarin	['1900', '1950']
Murilo Benício	/wiki/Murilo_Ben%C3%ADcio	['1900', '1950']
Natália Guimarães	/wiki/Nat%C3%A1lia_Guimar%C3%A3es	['1900', '1950']
Oscarito	/wiki/Oscarito	['1900', '1950']
Paola Oliveira	/wiki/Paola_Oliveira	['1900', '1950']
Paulo Autran	/wiki/Paulo_Autran	['1922', '2007']
Paulo Betti	/wiki/Paulo_Betti	['1900', '1950']
Raul Cortez	/wiki/Raul_Cortez	['1932', '2006']
Raw Leiba	/wiki/Raw_Leiba	['1900', '1950']
Regina Duarte	/wiki/Regina_Duarte	['1900', '1950']
Renato Aragão	/wiki/Renato_Arag%C3%A3o	['1900', '1950']
Reynaldo Gianecchini	/wiki/Reynaldo_Gianecchini	['1900', '1950']
Rodrigo Hilbert	/wiki/Rodrigo_Hilbert	['1900', '1950']
Rodrigo Lopes	/wiki/Rodrigo_Lopes	['1900', '1950']
Rodrigo Santoro	/wiki/Rodrigo_Santoro	['1900', '1950']
Ronald Golias	/wiki/Ronald_Golias	['1929', '2005']
Sandy Leah	/wiki/Sandy_Leah	['1900', '1950']
Selton Mello	/wiki/Selton_Mello	['1900', '1950']
Seu Jorge	/wiki/Seu_Jorge	['1900', '1950']
Sônia Braga	/wiki/S%C3%B4nia_Braga	['1900', '1950']
Taís Araújo	/wiki/Ta%C3%ADs_Ara%C3%BAjo	['1900', '1950']
Tarcisio Meira	/wiki/Tarcisio_Meira	['1900', '1950']
Teresa Seiblitz	/wiki/Teresa_Seiblitz	['1900', '1950']
Vera Fischer	/wiki/Vera_Fischer_(actress)	['1900', '1950']
Viétia Zangrandi	/wiki/Vi%C3%A9tia_Zangrandi	['1900', '1950']
Xuxa Meneghel	/wiki/Xuxa_Meneghel	['1900', '1950']
Leonardo Villar	/wiki/Leonardo_Villar	['1900', '1950']
Affonso Eduardo Reidy	/wiki/Affonso_Eduardo_Reidy	['1909', '1964']
Alexandre Chan	/wiki/Alexandre_Chan	['1900', '1950']
João Batista Vilanova Artigas	/wiki/Jo%C3%A3o_Batista_Vilanova_Artigas	['1915', '1985']
Lina Bo Bardi	/wiki/Lina_Bo_Bardi	['1900', '1950']
Lúcio Costa	/wiki/L%C3%BAcio_Costa	['1902', '1998']
Oscar Niemeyer	/wiki/Oscar_Niemeyer	['1907', '2012']
Paulo Mendes da Rocha	/wiki/Paulo_Mendes_da_Rocha	['1900', '1950']
Roberto Burle Marx	/wiki/Roberto_Burle_Marx	['1909', '1994']
Jaime Lerner	/wiki/Jaime_Lerner	['1900', '1950']
Ruy Ohtake	/wiki/Ruy_Ohtake	['1900', '1950']
Marcio Kogan	/wiki/Marcio_Kogan	['1900', '1950']
Igor de Vetyemy	/wiki/Igor_de_Vetyemy	['1900', '1950']
Antonio Francisco Lisboa	/wiki/Antonio_Francisco_Lisboa	['1730', '1814']
Artur Barrio	/wiki/Artur_Barrio	['1900', '1950']
Moysés Baumstein	/wiki/Moys%C3%A9s_Baumstein	['1931', '1991']
Raul Bopp	/wiki/Raul_Bopp	['1900', '1950']
Victor Brecheret	/wiki/Victor_Brecheret	['1894', '1955']
Lygia Clark	/wiki/Lygia_Clark	['1920', '1988']
Mauricio de Sousa	/wiki/Mauricio_de_Sousa	['1900', '1950']
Emiliano Di Cavalcanti	/wiki/Emiliano_Di_Cavalcanti	['1897', '1976']
Tarsila do Amaral	/wiki/Tarsila_do_Amaral	['1886', '1973']
Oswaldo Goeldi	/wiki/Oswaldo_Goeldi	['1895', '1961']
Ricardo Graziano	/wiki/Ricardo_Graziano	['1900', '1950']
Almeida Junior	/wiki/Almeida_Junior	['1850', '1899']
Carlos Latuff	/wiki/Carlos_Latuff	['1900', '1950']
Manabu Mabe	/wiki/Manabu_Mabe	['1924', '1997']
Anita Malfatti	/wiki/Anita_Malfatti	['1900', '1950']
Victor Meirelles	/wiki/Victor_Meirelles	['1832', '1903']
Naza	/wiki/Naza_(artist)	['1900', '1950']
Hélio Oiticica	/wiki/H%C3%A9lio_Oiticica	['1937', '1980']
Ana Maria Pacheco	/wiki/Ana_Maria_Pacheco	['1900', '1950']
José Pancetti	/wiki/Jos%C3%A9_Pancetti	['1900', '1950']
Lygia Pape	/wiki/Lygia_Pape	['1924', '2004']
