text	link	year
Mylène Jampanoï	/wiki/Myl%C3%A8ne_Jampano%C3%AF	['1900', '1950']
Solenn Heussaff	/wiki/Solenn_Heussaff	['1900', '1950']
Alain Barrière	/wiki/Alain_Barri%C3%A8re	['1900', '1950']
Dan Ar Braz	/wiki/Dan_Ar_Braz	['1900', '1950']
Brigitte Fontaine	/wiki/Brigitte_Fontaine	['1900', '1950']
Nolwenn Leroy	/wiki/Nolwenn_Leroy	['1900', '1950']
Denez Prigent	/wiki/Denez_Prigent	['1900', '1950']
Gilles Servat	/wiki/Gilles_Servat	['1900', '1950']
Yann Tiersen	/wiki/Yann_Tiersen	['1900', '1950']
Tri Yann	/wiki/Tri_Yann	['1900', '1950']
William the Conqueror	/wiki/William_the_Conqueror	['1900', '1950']
Jacques Cartier	/wiki/Jacques_Cartier	['1900', '1950']
Lancelot	/wiki/Lancelot	['1900', '1950']
Robert Surcouf	/wiki/Robert_Surcouf	['1900', '1950']
Jeanne de Clisson	/wiki/Jeanne_de_Clisson	['1900', '1950']
Riothamus	/wiki/Riothamus	['1900', '1950']
Alan Rufus	/wiki/Alan_Rufus	['1900', '1950']
Middleham	/wiki/Middleham	['1900', '1950']
Ravensworth	/wiki/Ravensworth	['1900', '1950']
Bowes-Lyon	/wiki/Bowes-Lyon	['1900', '1950']
Ralph the Staller	/wiki/Ralph_the_Staller	['1900', '1950']
Robert fitz Wymarc	/wiki/Robert_fitz_Wymarc	['1900', '1950']
William Malet	/wiki/William_Malet_(companion_of_William_the_Conqueror)	['1900', '1950']
Cardinal de Rohan	/wiki/Cardinal_de_Rohan	['1900', '1950']
René Laennec	/wiki/Ren%C3%A9_Laennec	['1900', '1950']
François-René de Chateaubriand	/wiki/Fran%C3%A7ois-Ren%C3%A9_de_Chateaubriand	['1900', '1950']
Tristan Corbière	/wiki/Tristan_Corbi%C3%A8re	['1900', '1950']
Ernest Renan	/wiki/Ernest_Renan	['1900', '1950']
Jules Verne	/wiki/Jules_Verne	['1900', '1950']
Peter Abelard	/wiki/Peter_Abelard	['1900', '1950']
Jacques Cartier	/wiki/Jacques_Cartier	['1900', '1950']
Olivier de Kersauson	/wiki/Olivier_de_Kersauson	['1900', '1950']
Eric Tabarly	/wiki/Eric_Tabarly	['1900', '1950']
Stéphane Guivarc'h	/wiki/St%C3%A9phane_Guivarc%27h	['1900', '1950']
Yann Kermorgant	/wiki/Yann_Kermorgant	['1900', '1950']
Paul Le Guen	/wiki/Paul_Le_Guen	['1900', '1950']
Armella Nicolas	/wiki/Armella_Nicolas	['1900', '1950']
