text	link	year
Kubrat	/wiki/Kubrat	['1900', '1950']
Batbayan	/wiki/Batbayan	['1900', '1950']
Boris I Michael	/wiki/Boris_I_Michael	['1900', '1950']
Simeon the Great	/wiki/Simeon_the_Great	['1900', '1950']
Peter	/wiki/Peter_(II)_Delyan_of_Bulgaria	['1900', '1950']
Constantin Bodin	/wiki/Constantin_Bodin_(Peter_(III))	['1900', '1950']
Stephen C. Apostolof	/wiki/Stephen_C._Apostolof	['1900', '1950']
Christo Christov	/wiki/Christo_Christov	['1900', '1950']
Slatan Dudow	/wiki/Slatan_Dudow	['1900', '1950']
Georgi Djulgerov	/wiki/Georgi_Djulgerov	['1900', '1950']
Tonislav Hristov	/wiki/Tonislav_Hristov	['1900', '1950']
Lyudmil Kirkov	/wiki/Lyudmil_Kirkov	['1900', '1950']
Nikola Korabov	/wiki/Nikola_Korabov	['1900', '1950']
Nikola Kovachev	/wiki/Nikola_Kovachev	['1900', '1950']
Vulo Radev	/wiki/Vulo_Radev	['1900', '1950']
Petar B. Vasilev	/wiki/Petar_B._Vasilev	['1900', '1950']
Binka Zhelyazkova	/wiki/Binka_Zhelyazkova	['1900', '1950']
Zahari Baharov	/wiki/Zahari_Baharov	['1900', '1950']
George Baker	/wiki/George_Baker_(actor)	['1900', '1950']
Nikolay Binev	/wiki/Nikolay_Binev	['1900', '1950']
Stefan Danailov	/wiki/Stefan_Danailov	['1900', '1950']
Nina Dobrev	/wiki/Nina_Dobrev	['1900', '1950']
Yana Marinova	/wiki/Yana_Marinova	['1900', '1950']
Itzhak Fintzi	/wiki/Itzhak_Fintzi	['1900', '1950']
Georgi Georgiev-Gogo	/wiki/Georgi_Georgiev-Gogo	['1900', '1950']
Georgi Georgiev-Getz	/wiki/Georgi_Georgiev-Getz	['1900', '1950']
Kiril Gospodinov	/wiki/Kiril_Gospodinov	['1900', '1950']
Stanislav Ianevski	/wiki/Stanislav_Ianevski	['1900', '1950']
Gloria Ivanova	/wiki/Gloria_Ivanova	['1900', '1950']
Georgi Kaloyanchev	/wiki/Georgi_Kaloyanchev	['1900', '1950']
Apostol Karamitev	/wiki/Apostol_Karamitev	['1900', '1950']
Nevena Kokanova	/wiki/Nevena_Kokanova	['1900', '1950']
Todor Kolev	/wiki/Todor_Kolev_(actor)	['1900', '1950']
Victoria Koleva	/wiki/Victoria_Koleva	['1900', '1950']
Julian Kostov	/wiki/Julian_Kostov	['1900', '1950']
Marius Kurkinski	/wiki/Marius_Kurkinski	['1900', '1950']
Moni Moshonov	/wiki/Moni_Moshonov	['1951', '2025']
Stoyanka Mutafova	/wiki/Stoyanka_Mutafova	['1900', '1950']
Lyubomir Neikov	/wiki/Lyubomir_Neikov	['1900', '1950']
Georgi Partsalev	/wiki/Georgi_Partsalev	['1900', '1950']
Katya Paskaleva	/wiki/Katya_Paskaleva	['1900', '1950']
Bashar Rahal	/wiki/Bashar_Rahal	['1900', '1950']
Hristo Shopov	/wiki/Hristo_Shopov	['1900', '1950']
Naum Shopov	/wiki/Naum_Shopov	['1900', '1950']
Petar Slabakov	/wiki/Petar_Slabakov	['1900', '1950']
Kosta Tsonev	/wiki/Kosta_Tsonev	['1900', '1950']
Grigor Vachkov	/wiki/Grigor_Vachkov	['1900', '1950']
Nina Dobrev	/wiki/Nina_Dobrev	['1900', '1950']
Yana Marinova	/wiki/Yana_Marinova	['1900', '1950']
Nansi Karaboycheva	/wiki/Nansi_Karaboycheva	['1900', '1950']
Silvia Dimitrova	/wiki/Silvia_Dimitrova	['1900', '1950']
Diliana Popova	/wiki/Diliana_Popova	['1900', '1950']
Asen Gavrilov	/wiki/Asen_Gavrilov	['1900', '1950']
Oggy Boytchev	/wiki/Oggy_Boytchev	['1900', '1950']
Nikolay Kolev - Michmana	/wiki/Nikolay_Kolev_-_Michmana	['1900', '1950']
Elena Yoncheva	/wiki/Elena_Yoncheva	['1900', '1950']
Todor Kolev	/wiki/Todor_Kolev_(actor)	['1900', '1950']
Niki Kunchev	/wiki/Niki_Kunchev	['1900', '1950']
Milen Tsvetkov	/wiki/Milen_Tsvetkov	['1900', '1950']
Aleksandra Sarchadjieva	/wiki/Aleksandra_Sarchadjieva	['1900', '1950']
Slavi Trifonov	/wiki/Slavi_Trifonov	['1900', '1950']
Elisaveta Bagryana	/wiki/Elisaveta_Bagryana	['1900', '1950']
Petar Beron	/wiki/Petar_Beron	['1900', '1950']
Ran Bosilek	/wiki/Ran_Bosilek	['1900', '1950']
Assen Bossev	/wiki/Assen_Bossev	['1900', '1950']
Hristo Botev	/wiki/Hristo_Botev	['1900', '1950']
Elias Canetti	/wiki/Elias_Canetti	['1900', '1950']
Dobri Chintulov	/wiki/Dobri_Chintulov	['1900', '1950']
Chudomir	/wiki/Chudomir	['1900', '1950']
Atanas Dalchev	/wiki/Atanas_Dalchev	['1900', '1950']
Dimcho Debelyanov	/wiki/Dimcho_Debelyanov	['1900', '1950']
Alexenia Dimitrova	/wiki/Alexenia_Dimitrova	['1900', '1950']
Dimitar Dimov	/wiki/Dimitar_Dimov	['1900', '1950']
Vasil Drumev	/wiki/Vasil_Drumev	['1900', '1950']
Petya Dubarova	/wiki/Petya_Dubarova	['1900', '1950']
John Exarch	/wiki/John_Exarch	['1900', '1950']
Dora Gabe	/wiki/Dora_Gabe	['1900', '1950']
Nikolai Haitov	/wiki/Nikolai_Haitov	['1900', '1950']
Paisiy Hilendarski	/wiki/Paisiy_Hilendarski	['1900', '1950']
Chernorizetz Hrabar	/wiki/Chernorizetz_Hrabar	['1900', '1950']
Nikolai Hristozov	/wiki/Nikolai_Hristozov	['1900', '1950']
Angel Karaliychev	/wiki/Angel_Karaliychev	['1900', '1950']
Lyuben Karavelov	/wiki/Lyuben_Karavelov	['1900', '1950']
Stefan Kisyov	/wiki/Stefan_Kisyov	['1900', '1950']
Aleko Konstantinov	/wiki/Aleko_Konstantinov	['1900', '1950']
Miladinov Brothers	/wiki/Miladinov_Brothers	['1900', '1950']
Marco Mincoff	/wiki/Marco_Mincoff	['1900', '1950']
Grigor Parlichev	/wiki/Grigor_Parlichev	['1900', '1950']
Elin Pelin	/wiki/Elin_Pelin	['1900', '1950']
Ivailo Petrov	/wiki/Ivailo_Petrov	['1900', '1950']
Valeri Petrov	/wiki/Valeri_Petrov	['1900', '1950']
Julian Popov	/wiki/Julian_Popov	['1900', '1950']
Maria Popova	/wiki/Maria_Popova	['1900', '1950']
Yordan Radichkov	/wiki/Yordan_Radichkov	['1900', '1950']
Radoy Ralin	/wiki/Radoy_Ralin	['1900', '1950']
Kuzman Shapkarev	/wiki/Kuzman_Shapkarev	['1900', '1950']
Pencho Slaveykov	/wiki/Pencho_Slaveykov	['1900', '1950']
Petko Slaveykov	/wiki/Petko_Slaveykov	['1900', '1950']
Hristo Smirnenski	/wiki/Hristo_Smirnenski	['1900', '1950']
Emiliyan Stanev	/wiki/Emiliyan_Stanev	['1900', '1950']
Zahari Stoyanov	/wiki/Zahari_Stoyanov	['1900', '1950']
Anton Strashimirov	/wiki/Anton_Strashimirov	['1900', '1950']
Stanislav Stratiev	/wiki/Stanislav_Stratiev	['1900', '1950']
Edvin Sugarev	/wiki/Edvin_Sugarev	['1900', '1950']
Dimitar Talev	/wiki/Dimitar_Talev	['1900', '1950']
Tzvetan Todorov	/wiki/Tzvetan_Todorov	['1900', '1950']
Stefan Tzanev	/wiki/Stefan_Tzanev	['1900', '1950']
Nikola Vaptsarov	/wiki/Nikola_Vaptsarov	['1900', '1950']
Ivan Vazov	/wiki/Ivan_Vazov	['1900', '1950']
Pavel Vezhinov	/wiki/Pavel_Vezhinov	['1900', '1950']
Vladislav the Grammarian	/wiki/Vladislav_the_Grammarian	['1900', '1950']
Dobri Voinikov	/wiki/Dobri_Voinikov	['1900', '1950']
Sofronii Vrachanski	/wiki/Sofronii_Vrachanski	['1900', '1950']
Peyo Yavorov	/wiki/Peyo_Yavorov	['1900', '1950']
Nedyalko Yordanov	/wiki/Nedyalko_Yordanov	['1900', '1950']
Yordan Yovkov	/wiki/Yordan_Yovkov	['1900', '1950']
Nikola Atanasov	/wiki/Nikola_Atanasov	['1900', '1950']
Victor Chuchkov	/wiki/Victor_Chuchkov	['1900', '1950']
Alexandra Fol	/wiki/Alexandra_Fol	['1900', '1950']
