text	link	year
Sarah Bouyain	/wiki/Sarah_Bouyain	['1968', '2025']
Gaston Kaboré	/wiki/Gaston_Kabor%C3%A9	['1951', '2025']
Fanta Régina Nacro	/wiki/Fanta_R%C3%A9gina_Nacro	['1962', '2025']
Idrissa Ouedraogo	/wiki/Idrissa_Ouedraogo	['1954', '2025']
Boureima Badini	/wiki/Boureima_Badini	['1900', '1950']
Laurent Bado	/wiki/Laurent_Bado	['1900', '1950']
Ali Barraud	/wiki/Ali_Barraud	['1900', '1950']
Djibril Bassolé	/wiki/Djibril_Bassol%C3%A9	['1957', '2025']
Blaise Bassoleth	/wiki/Blaise_Bassoleth	['1920', '1976']
Juliette Bonkoungou	/wiki/Juliette_Bonkoungou	['1954', '2025']
Blaise Compaoré	/wiki/Blaise_Compaor%C3%A9	['1951', '2025']
Simon Compaoré	/wiki/Simon_Compaor%C3%A9	['1952', '2025']
Joseph Conombo	/wiki/Joseph_Conombo	['1917', '2008']
Daniel Ouezzin Coulibaly	/wiki/Daniel_Ouezzin_Coulibaly	['1909', '1958']
Toubé Clément Dakio	/wiki/Toub%C3%A9_Cl%C3%A9ment_Dakio	['1939', '2025']
Noellie Marie Béatri Damiba	/wiki/Noellie_Marie_B%C3%A9atri_Damiba	['1951', '2025']
Bernadette Sanou Dao	/wiki/Bernadette_Sanou_Dao	['1952', '2025']
Frédéric Guirma	/wiki/Fr%C3%A9d%C3%A9ric_Guirma	['1900', '1950']
Emile Ilboudo	/wiki/Emile_Ilboudo	['1900', '1950']
Nayabtigungu Congo Kaboré	/wiki/Nayabtigungu_Congo_Kabor%C3%A9	['1948', '2025']
Roch Marc Christian Kaboré	/wiki/Roch_Marc_Christian_Kabor%C3%A9	['1957', '2025']
Michel Kafando	/wiki/Michel_Kafando	['1942', '2025']
Joseph Ki-Zerbo	/wiki/Joseph_Ki-Zerbo	['1922', '2006']
Begnon-Damien Kone	/wiki/Begnon-Damien_Kone	['1900', '1950']
Lompolo Koné	/wiki/Lompolo_Kon%C3%A9	['1921', '1974']
Zakalia Koté	/wiki/Zakalia_Kot%C3%A9	['1900', '1950']
Sangoulé Lamizana	/wiki/Sangoul%C3%A9_Lamizana	['1916', '2005']
Ali Lankoandé	/wiki/Ali_Lankoand%C3%A9	['1900', '1950']
Ablassé Ouedraogo	/wiki/Ablass%C3%A9_Ouedraogo	['1900', '1950']
