text	link	year
International Phonetic Alphabet	/wiki/International_Phonetic_Alphabet	['1900', '1950']
Burundi	/wiki/Burundi	['1900', '1950']
Endonym	/wiki/Endonym	['1900', '1950']
ISO country codes	/wiki/ISO_country_codes	['1900', '1950']
ISO region codes	/wiki/ISO_region_codes	['1900', '1950']
Internet	/wiki/Internet	['1900', '1950']
Landlocked country	/wiki/Landlocked_country	['1900', '1950']
Southern Hemisphere	/wiki/Southern_Hemisphere	['1900', '1950']
Southern Hemisphere	/wiki/Southern_Hemisphere	['1900', '1950']
Africa	/wiki/Africa	['1900', '1950']
Central Africa	/wiki/Central_Africa	['1900', '1950']
East Africa	/wiki/East_Africa	['1900', '1950']
Time zone	/wiki/Time_zone	['1900', '1950']
Mount Heha	/wiki/Mount_Heha	['1900', '1950']
Mount Heha	/wiki/Mount_Heha	['1900', '1950']
Lake Tanganyika	/wiki/Lake_Tanganyika	['1900', '1950']
Lake Tanganyika	/wiki/Lake_Tanganyika	['1900', '1950']
Lake Cohoha	/wiki/Lake_Cohoha	['1900', '1950']
Lake Rweru	/wiki/Lake_Rweru	['1900', '1950']
Mitumba Mountains	/wiki/Mitumba_Mountains	['1900', '1950']
Mitumba Mountains	/wiki/Mitumba_Mountains	['1900', '1950']
Kagera River	/wiki/Kagera_River	['1900', '1950']
Ruvyironza River	/wiki/Ruvyironza_River	['1900', '1950']
Rurubu River	/wiki/Rurubu_River	['1900', '1950']
Ruzizi River	/wiki/Ruzizi_River	['1900', '1950']
Bubanza Province	/wiki/Bubanza_Province	['1900', '1950']
Bujumbura Mairie Province	/wiki/Bujumbura_Mairie_Province	['1900', '1950']
Bujumbura Rural Province	/wiki/Bujumbura_Rural_Province	['1900', '1950']
Bururi Province	/wiki/Bururi_Province	['1900', '1950']
Cankuzo Province	/wiki/Cankuzo_Province	['1900', '1950']
Cibitoke Province	/wiki/Cibitoke_Province	['1900', '1950']
Gitega Province	/wiki/Gitega_Province	['1900', '1950']
