text	link	year
Byambyn Rinchen	/wiki/Byambyn_Rinchen	['1905', '1977']
Gombojab Tsybikov	/wiki/Gombojab_Tsybikov	['1873', '1930']
Tsyben Zhamtsarano	/wiki/Tsyben_Zhamtsarano	['1881', '1942']
Sengiin Erdene	/wiki/Sengiin_Erdene	['1929', '2000']
Valéry Inkijinoff	/wiki/Val%C3%A9ry_Inkijinoff	['1895', '1973']
Irina Pantaeva	/wiki/Irina_Pantaeva	['1967', '2025']
Alexander Vampilov	/wiki/Alexander_Vampilov	['1937', '1972']
Yul Brynner	/wiki/Yul_Brynner	['1900', '1950']
Amarkhuu Borkhuu	/wiki/Amarkhuu_Borkhuu	['1987', '2025']
Namgar	/wiki/Namgar	['1900', '1950']
Dashiin Byambasüren	/wiki/Dashiin_Byambas%C3%BCren	['1942', '2025']
Agvan Dorzhiev	/wiki/Agvan_Dorzhiev	['1854', '1938']
Rinchingiin Elbegdorj	/wiki/Rinchingiin_Elbegdorj	['1888', '1938']
Yuriy Yekhanurov	/wiki/Yuriy_Yekhanurov	['1948', '2025']
Bidia Dandaron	/wiki/Bidia_Dandaron	['1914', '1974']
Dashi-Dorzho Itigilov	/wiki/Dashi-Dorzho_Itigilov	['1852', '1927']
Bair Badënov	/wiki/Bair_Bad%C3%ABnov	['1976', '2025']
Aldar Balzhinimaev	/wiki/Aldar_Balzhinimaev	['1993', '2025']
Velikton Barannikov	/wiki/Velikton_Barannikov	['1938', '2007']
Bazar Bazarguruev	/wiki/Bazar_Bazarguruev	['1985', '2025']
Aleksandr Bogomoev	/wiki/Aleksandr_Bogomoev	['1989', '2025']
Boris Budayev	/wiki/Boris_Budayev	['1900', '1950']
Irina Ologonova	/wiki/Irina_Ologonova	['1990', '2025']
Natalia Bolotova	/wiki/Natalia_Bolotova	['1963', '2025']
Miroslava Dagbaeva	/wiki/Miroslava_Dagbaeva	['1987', '2025']
Alexander Dambaev	/wiki/Alexander_Dambaev	['1989', '2025']
Tuyana Dashidorzhieva	/wiki/Tuyana_Dashidorzhieva	['1996', '2025']
Natalia Erdyniyeva	/wiki/Natalia_Erdyniyeva	['1988', '2025']
Inna Stepanova	/wiki/Inna_Stepanova	['1990', '2025']
Bolot Tsybzhitov	/wiki/Bolot_Tsybzhitov	['1994', '2025']
Balzhinima Tsyrempilov	/wiki/Balzhinima_Tsyrempilov	['1975', '2025']
Bato-Munko Vankeev	/wiki/Bato-Munko_Vankeev	['1977', '2025']
Vladimir Yesheyev	/wiki/Vladimir_Yesheyev	['1958', '2025']
Orora Satoshi	/wiki/Orora_Satoshi	['1983', '2025']
ru:Портал:Бурятия/Список бурят	https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%80%D1%82%D0%B0%D0%BB:%D0%91%D1%83%D1%80%D1%8F%D1%82%D0%B8%D1%8F/%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA_%D0%B1%D1%83%D1%80%D1%8F%D1%82	['1900', '1950']
