text	link	year
West Indian Americans	/wiki/West_Indian_Americans	['1900', '1950']
Eritrean Americans	/wiki/Eritrean_Americans	['1900', '1950']
Fijian Indian diaspora	/wiki/Fijian_Indian_diaspora	['1900', '1950']
Bengali Americans	/wiki/Bengali_Americans	['1900', '1950']
Gujarati Americans	/wiki/Gujarati_Americans	['1900', '1950']
Fijian Indian diaspora	/wiki/Fijian_Indian_diaspora	['1900', '1950']
Punjabi Americans	/wiki/Punjabi_Americans	['1900', '1950']
Tamil Americans	/wiki/Tamil_Americans	['1900', '1950']
Telugu Americans	/wiki/Telugu_Americans	['1900', '1950']
Maltese Americans	/wiki/Maltese_Americans	['1900', '1950']
Baloch Americans	/wiki/Baloch_Americans	['1900', '1950']
Pashtun Americans	/wiki/Pashtun_Americans	['1900', '1950']
Punjabi Americans	/wiki/Punjabi_Americans	['1900', '1950']
Sindhi Americans	/wiki/Sindhi_Americans	['1900', '1950']
South Asian Americans	/wiki/South_Asian_Americans	['1900', '1950']
Bangladeshi Americans	/wiki/Bangladeshi_Americans	['1900', '1950']
Bhutanese Americans	/wiki/Bhutanese_Americans	['1900', '1950']
Indian Americans	/wiki/Indian_Americans	['1900', '1950']
Fijian Indian diaspora	/wiki/Fijian_Indian_diaspora	['1900', '1950']
Nepalese Americans	/wiki/Nepalese_Americans	['1900', '1950']
Pakistani Americans	/wiki/Pakistani_Americans	['1900', '1950']
Sri Lankan Americans	/wiki/Sri_Lankan_Americans	['1900', '1950']
Trinidadian and Tobagonian American	/wiki/Trinidadian_and_Tobagonian_American	['1900', '1950']
Template:Americans	/wiki/Template:Americans	['1900', '1950']
Template talk:Americans	/wiki/Template_talk:Americans	['1900', '1950']
Vin Bruce	/wiki/Vin_Bruce	['1900', '1950']
Barry Jean Ancelet	/wiki/Barry_Jean_Ancelet	['1900', '1950']
Lee Benoit	/wiki/Lee_Benoit	['1900', '1950']
Al Berard	/wiki/Al_Berard	['1900', '1950']
Carl A. Brasseaux	/wiki/Carl_A._Brasseaux	['1900', '1950']
Firmin Breaux	/wiki/Firmin_Breaux	['1900', '1950']
Joseph Broussard	/wiki/Joseph_Broussard	['1900', '1950']
James Lee Burke	/wiki/James_Lee_Burke	['1900', '1950']
Mary Katherine Campbell	/wiki/Mary_Katherine_Campbell	['1900', '1950']
Trishelle Cannatella	/wiki/Trishelle_Cannatella	['1900', '1950']
Lacey Chabert	/wiki/Lacey_Chabert	['1900', '1950']
Amie Comeaux	/wiki/Amie_Comeaux	['1900', '1950']
Ellen DeGeneres	/wiki/Ellen_DeGeneres	['1900', '1950']
Val Dufour	/wiki/Val_Dufour	['1927', '2000']
Edwin Duhon	/wiki/Edwin_Duhon	['1900', '1950']
Jesse Duplantis	/wiki/Jesse_Duplantis	['1900', '1950']
Cléoma Falcon	/wiki/Cl%C3%A9oma_Falcon	['1906', '1941']
Joe Falcon	/wiki/Joe_Falcon	['1900', '1965']
John Folse	/wiki/John_Folse	['1900', '1950']
Mary Alice Fontenot	/wiki/Mary_Alice_Fontenot	['1900', '1950']
Mary Gauthier	/wiki/Mary_Gauthier	['1900', '1950']
Bob Hamm	/wiki/Bob_Hamm	['1900', '1950']
Hunter Hayes	/wiki/Hunter_Hayes_(musician)	['1900', '1950']
Leigh Hennessy	/wiki/Leigh_Hennessy	['1900', '1950']
Doug Kershaw	/wiki/Doug_Kershaw	['1900', '1950']
Sammy Kershaw	/wiki/Sammy_Kershaw	['1900', '1950']
Angela Kinsey	/wiki/Angela_Kinsey	['1900', '1950']
Beyoncé Knowles	/wiki/Beyonc%C3%A9_Knowles	['1900', '1950']
Shia LaBeouf	/wiki/Shia_LaBeouf	['1900', '1950']
Ali Landry	/wiki/Ali_Landry	['1900', '1950']
Lisa Landry	/wiki/Lisa_Landry	['1900', '1950']
Lash LaRue	/wiki/Lash_LaRue	['1900', '1950']
Jared Leto	/wiki/Jared_Leto	['1900', '1950']
Shannon Leto	/wiki/Shannon_Leto	['1900', '1950']
Camille Martin	/wiki/Camille_Martin	['1900', '1950']
Huey P. Meaux	/wiki/Huey_P._Meaux	['1900', '1950']
Elemore Morgan, Jr.	/wiki/Elemore_Morgan,_Jr.	['1900', '1950']
Paul Prudhomme	/wiki/Paul_Prudhomme	['1900', '1950']
Matthew Randazzo V	/wiki/Matthew_Randazzo_V	['1900', '1950']
Johnny Rebel	/wiki/Johnny_Rebel_(singer)	['1900', '1950']
Tyran Richard	/wiki/Tyran_Richard	['1900', '1950']
Zachary Richard	/wiki/Zachary_Richard	['1900', '1950']
George Rodrigue	/wiki/George_Rodrigue	['1900', '1950']
Amanda Shaw	/wiki/Amanda_Shaw	['1900', '1950']
Ian Somerhalder	/wiki/Ian_Somerhalder	['1900', '1950']
Floyd Sonnier	/wiki/Floyd_Sonnier	['1900', '1950']
Stephanie Swift	/wiki/Stephanie_Swift	['1900', '1950']
Wayne Toups	/wiki/Wayne_Toups	['1900', '1950']
Shane West	/wiki/Shane_West	['1900', '1950']
Justin Wilson	/wiki/Justin_Wilson_(chef)	['1900', '1950']
Kathleen Blanco	/wiki/Kathleen_Blanco	['1900', '1950']
John Breaux	/wiki/John_Breaux	['1900', '1950']
James Carville	/wiki/James_Carville	['1900', '1950']
Reggie Dupre	/wiki/Reggie_Dupre	['1900', '1950']
Edwin Edwards	/wiki/Edwin_Edwards	['1900', '1950']
F. Edward Hebert	/wiki/F._Edward_Hebert	['1900', '1950']
Charlie Melancon	/wiki/Charlie_Melancon	['1900', '1950']
Billy Tauzin	/wiki/Billy_Tauzin	['1900', '1950']
Robert H. Barrow	/wiki/Robert_H._Barrow	['1900', '1950']
Claire Lee Chennault	/wiki/Claire_Lee_Chennault	['1900', '1950']
Jefferson J. DeBlanc	/wiki/Jefferson_J._DeBlanc	['1921', '2007']
