text	link	year
Am Rong	/wiki/Am_Rong	['1900', '1950']
Ampor Tevi	/wiki/Ampor_Tevi	['1900', '1950']
Arn Chorn-Pond	/wiki/Arn_Chorn-Pond	['1900', '1950']
Beat Richner	/wiki/Beat_Richner	['1900', '1950']
Bérénice Marlohe	/wiki/B%C3%A9r%C3%A9nice_Marlohe	['1900', '1950']
Bour Kry	/wiki/Bour_Kry	['1900', '1950']
Chan Nak	/wiki/Chan_Nak	['1900', '1950']
Chan Sy	/wiki/Chan_Sy	['1900', '1950']
Chanthou Oeur	/wiki/Chanthou_Oeur	['1900', '1950']
Chath Piersath	/wiki/Chath_Piersath	['1900', '1950']
Chea Sim	/wiki/Chea_Sim	['1900', '1950']
Chea Soth	/wiki/Chea_Soth	['1900', '1950']
Chea Vichea	/wiki/Chea_Vichea	['1900', '1950']
Cheam Channy	/wiki/Cheam_Channy	['1900', '1950']
Cheng Heng	/wiki/Cheng_Heng	['1900', '1950']
Chhet Sovanpanha	/wiki/Chhet_Sovanpanha	['1900', '1950']
Chhim Sothy	/wiki/Chhim_Sothy	['1900', '1950']
Chhouk Rin	/wiki/Chhouk_Rin	['1900', '1950']
Chou Bun Eng	/wiki/Chou_Bun_Eng	['1900', '1950']
Chuon Nath	/wiki/Chuon_Nath	['1900', '1950']
Danh Monica	/wiki/Danh_Monica	['1900', '1950']
Dien Del	/wiki/Dien_Del	['1900', '1950']
Dith Pran	/wiki/Dith_Pran	['1900', '1950']
Duong Saree	/wiki/Duong_Saree	['1900', '1950']
Dy Saveth	/wiki/Dy_Saveth	['1900', '1950']
Eh Phuthong	/wiki/Eh_Phuthong	['1900', '1950']
Geraldine Cox	/wiki/Geraldine_Cox	['1900', '1950']
Haing S. Ngor	/wiki/Haing_S._Ngor	['1900', '1950']
Heng Samrin	/wiki/Heng_Samrin	['1900', '1950']
Him Sivorn	/wiki/Him_Sivorn	['1900', '1950']
Hong Lim	/wiki/Hong_Lim	['1900', '1950']
Hun Sen	/wiki/Hun_Sen	['1900', '1950']
Ieng Sary	/wiki/Ieng_Sary	['1900', '1950']
Ieng Thirith	/wiki/Ieng_Thirith	['1900', '1950']
Ieu Koeus	/wiki/Ieu_Koeus	['1900', '1950']
Ieu Pannakar	/wiki/Ieu_Pannakar	['1900', '1950']
In Tam	/wiki/In_Tam	['1900', '1950']
In Vichet	/wiki/In_Vichet	['1900', '1950']
Jayavarman VII	/wiki/Jayavarman_VII	['1900', '1950']
Kem Monovithya	/wiki/Kem_Monovithya	['1900', '1950']
Kem Sokha	/wiki/Kem_Sokha	['1900', '1950']
Keng Vannsak	/wiki/Keng_Vannsak	['1900', '1950']
Keo Pich Pisey	/wiki/Keo_Pich_Pisey	['1900', '1950']
Khieu Ponnary	/wiki/Khieu_Ponnary	['1900', '1950']
Khieu Samphan	/wiki/Khieu_Samphan	['1900', '1950']
Kum Bunnadeth	/wiki/Kum_Bunnadeth	['1900', '1950']
Norodom Sihanouk	/wiki/Norodom_Sihanouk	['1900', '1950']
Kong Som Eun	/wiki/Kong_Som_Eun	['1900', '1950']
Koul Panha	/wiki/Koul_Panha	['1900', '1950']
L'Okhna Suttantaprija ind	/wiki/L%27Okhna_Suttantaprija_ind	['1900', '1950']
Lon Nil	/wiki/Lon_Nil	['1900', '1950']
Lon Nol	/wiki/Lon_Nol	['1900', '1950']
Lon Non	/wiki/Lon_Non	['1900', '1950']
Long Boret	/wiki/Long_Boret	['1900', '1950']
Loung Ung	/wiki/Loung_Ung	['1900', '1950']
Maha Ghosananda	/wiki/Maha_Ghosananda	['1900', '1950']
Mam Nai	/wiki/Mam_Nai	['1900', '1950']
Meas Sophea	/wiki/Meas_Sophea	['1900', '1950']
Meng Keo Pichenda	/wiki/Meng_Keo_Pichenda	['1900', '1950']
Norodom Buppha Devi	/wiki/Norodom_Buppha_Devi	['1900', '1950']
Norodom Ranariddh	/wiki/Norodom_Ranariddh	['1900', '1950']
Norodom Sihamoni	/wiki/Norodom_Sihamoni	['1900', '1950']
Norodom Sihanouk	/wiki/Norodom_Sihanouk	['1900', '1950']
Norodom Suramarit	/wiki/Norodom_Suramarit	['1900', '1950']
Nuon Chea	/wiki/Nuon_Chea	['1900', '1950']
Pan Ron	/wiki/Pan_Ron	['1900', '1950']
Peter L. Pond	/wiki/Peter_L._Pond	['1900', '1950']
Pisith Pilika	/wiki/Pisith_Pilika	['1900', '1950']
Pol Pot	/wiki/Pol_Pot	['1900', '1950']
Preah Botumthera Som	/wiki/Preah_Botumthera_Som	['1900', '1950']
Preap Sovath	/wiki/Preap_Sovath	['1900', '1950']
Rim Kin	/wiki/Rim_Kin	['1900', '1950']
Rithy Panh	/wiki/Rithy_Panh	['1900', '1950']
Ros Serey Sothea	/wiki/Ros_Serey_Sothea	['1900', '1950']
Sam Rainsy	/wiki/Sam_Rainsy	['1900', '1950']
Sam Sary	/wiki/Sam_Sary	['1900', '1950']
Saom Vansodany	/wiki/Saom_Vansodany	['1900', '1950']
Sar Kheng	/wiki/Sar_Kheng	['1900', '1950']
Sinn Sisamouth	/wiki/Sinn_Sisamouth	['1900', '1950']
Sak Sutsakhan	/wiki/Sak_Sutsakhan	['1900', '1950']
Sok Sreymom	/wiki/Sok_Sreymom	['1900', '1950']
Somaly Mam	/wiki/Somaly_Mam	['1900', '1950']
Son Ngoc Minh	/wiki/Son_Ngoc_Minh	['1900', '1950']
Son Ngoc Thanh	/wiki/Son_Ngoc_Thanh	['1900', '1950']
Son Sann	/wiki/Son_Sann	['1900', '1950']
Son Sen	/wiki/Son_Sen	['1900', '1950']
Sosthène Fernandez	/wiki/Sosth%C3%A8ne_Fernandez	['1900', '1950']
Soth Polin	/wiki/Soth_Polin	['1900', '1950']
Ta Mok	/wiki/Ta_Mok	['1900', '1950']
Teng Bunma	/wiki/Teng_Bunma	['1900', '1950']
Tep Rindaro	/wiki/Tep_Rindaro	['1900', '1950']
Tep Vong	/wiki/Tep_Vong	['1900', '1950']
Thongvan Fanmuong	/wiki/Thongvan_Fanmuong	['1900', '1950']
Ung Huot	/wiki/Ung_Huot	['1900', '1950']
Vann Vannak	/wiki/Vann_Vannak	['1900', '1950']
Vandy Kaonn	/wiki/Vandy_Kaonn	['1900', '1950']
Vann Molyvann	/wiki/Vann_Molyvann	['1900', '1950']
Vann Nath	/wiki/Vann_Nath	['1900', '1950']
Veth Rattana	/wiki/Veth_Rattana	['1900', '1950']
Vichara Dany	/wiki/Vichara_Dany	['1900', '1950']
Virak Dara	/wiki/Virak_Dara	['1900', '1950']
Yim Guechse	/wiki/Yim_Guechse	['1900', '1950']
You Bo	/wiki/You_Bo	['1900', '1950']
