text	link	year
Ahmadou Ahidjo	/wiki/Ahmadou_Ahidjo	['1900', '1950']
Paul Biya	/wiki/Paul_Biya	['1900', '1950']
Simon Achidi Achu	/wiki/Simon_Achidi_Achu	['1900', '1950']
Sadou Hayatou	/wiki/Sadou_Hayatou	['1900', '1950']
Ephraim Inoni	/wiki/Ephraim_Inoni	['1900', '1950']
Bello Bouba Maïgari	/wiki/Bello_Bouba_Ma%C3%AFgari	['1900', '1950']
Peter Mafany Musonge	/wiki/Peter_Mafany_Musonge	['1900', '1950']
Philémon Yang	/wiki/Phil%C3%A9mon_Yang	['1900', '1950']
Nzo Ekangaki	/wiki/Nzo_Ekangaki	['1900', '1950']
William Eteki	/wiki/William_Eteki	['1900', '1950']
Bony Dashaco	/wiki/Bony_Dashaco	['1900', '1950']
Rudolf Duala Manga Bell	/wiki/Rudolf_Duala_Manga_Bell	['1900', '1950']
Ibrahim Njoya	/wiki/Ibrahim_Njoya	['1900', '1950']
Seidou Njimoluh Njoya	/wiki/Seidou_Njimoluh_Njoya	['1900', '1950']
Charles Assalé	/wiki/Charles_Assal%C3%A9	['1900', '1950']
Emmanuel Mbela Lifate Endeley	/wiki/Emmanuel_Mbela_Lifate_Endeley	['1900', '1950']
Henry Ndifor Abi Enonchong	/wiki/Henry_Ndifor_Abi_Enonchong	['1900', '1950']
John Ngu Foncha	/wiki/John_Ngu_Foncha	['1900', '1950']
André-Marie Mbida	/wiki/Andr%C3%A9-Marie_Mbida	['1900', '1950']
Salomon Tandeng Muna	/wiki/Salomon_Tandeng_Muna	['1900', '1950']
John Fru Ndi	/wiki/John_Fru_Ndi	['1900', '1950']
Henri Hogbe Nlend	/wiki/Henri_Hogbe_Nlend	['1900', '1950']
Zacharie Perevet	/wiki/Zacharie_Perevet	['1900', '1950']
Osende Afana	/wiki/Osende_Afana	['1900', '1950']
Félix Moumié	/wiki/F%C3%A9lix_Moumi%C3%A9	['1900', '1950']
Marthe Ekemeyong Moumié	/wiki/Marthe_Ekemeyong_Moumi%C3%A9	['1900', '1950']
Ruben Um Nyobé	/wiki/Ruben_Um_Nyob%C3%A9	['1900', '1950']
Ernest Ouandié	/wiki/Ernest_Ouandi%C3%A9	['1900', '1950']
Sahndra Fon Dufe	/wiki/Sahndra_Fon_Dufe	['1900', '1950']
Agbor Gilbert Ebot	/wiki/Agbor_Gilbert_Ebot	['1900', '1950']
Eriq Ebouaney	/wiki/Eriq_Ebouaney	['1900', '1950']
Adela Elad	/wiki/Adela_Elad	['1900', '1950']
Syndy Emade	/wiki/Syndy_Emade	['1900', '1950']
Epule Jeffrey	/wiki/Epule_Jeffrey	['1900', '1950']
Enah Johnscot	/wiki/Enah_Johnscot	['1900', '1950']
Onyama Laura	/wiki/Onyama_Laura	['1900', '1950']
Gladys Ndonyi	/wiki/Gladys_Ndonyi	['1900', '1950']
Nkanya Nkwai	/wiki/Nkanya_Nkwai	['1900', '1950']
Yolande Welimoum	/wiki/Yolande_Welimoum	['1900', '1950']
Andy Allo	/wiki/Andy_Allo	['1900', '1950']
Richard Bona	/wiki/Richard_Bona	['1900', '1950']
Henri Dikongue	/wiki/Henri_Dikongue	['1900', '1950']
Charlotte Dipanda	/wiki/Charlotte_Dipanda	['1900', '1950']
Stanley Enow	/wiki/Stanley_Enow	['1900', '1950']
Prince Eyango	/wiki/Prince_Eyango	['1900', '1950']
Gashi	/wiki/Gashi_(singer)	['1900', '1950']
Jovi	/wiki/Jovi_(musician)	['1900', '1950']
Michael Kiessou	/wiki/Michael_Kiessou	['1900', '1950']
Magasco	/wiki/Magasco	['1900', '1950']
Coco Mbassi	/wiki/Coco_Mbassi	['1900', '1950']
Ibrahim Njoya	/wiki/Ibrahim_Njoya	['1900', '1950']
Kristo Numpuby	/wiki/Kristo_Numpuby	['1900', '1950']
Anne Marie Nzie	/wiki/Anne_Marie_Nzie	['1900', '1950']
Petit Pays	/wiki/Petit_Pays	['1900', '1950']
Reniss	/wiki/Reniss	['1900', '1950']
Yung Swiss	/wiki/Yung_Swiss	['1900', '1950']
Sam Fan Thomas	/wiki/Sam_Fan_Thomas	['1900', '1950']
Barthélémy Toguo	/wiki/Barth%C3%A9l%C3%A9my_Toguo	['1900', '1950']
Golden Sounds	/wiki/Golden_Sounds	['1900', '1950']
BeBe Zahara Benet	/wiki/BeBe_Zahara_Benet	['1900', '1950']
Christian Tumi	/wiki/Christian_Tumi	['1900', '1950']
Paul Mbiybe Verdzekov	/wiki/Paul_Mbiybe_Verdzekov	['1900', '1950']
Benoît Assou-Ekotto	/wiki/Beno%C3%AEt_Assou-Ekotto	['1900', '1950']
Sébastien Bassong	/wiki/S%C3%A9bastien_Bassong	['1900', '1950']
Samuel Eto'o	/wiki/Samuel_Eto%27o	['1900', '1950']
Yvan Eyike	/wiki/Yvan_Eyike	['1900', '1950']
Romuald Andela Midoukna	/wiki/Romuald_Andela_Midoukna	['1900', '1950']
Roger Milla	/wiki/Roger_Milla	['1900', '1950']
Alex Song	/wiki/Alex_Song	['1900', '1950']
Rigobert Song	/wiki/Rigobert_Song	['1900', '1950']
Roman Oben	/wiki/Roman_Oben	['1900', '1950']
Ndamukong Suh	/wiki/Ndamukong_Suh	['1900', '1950']
Alfred Aboya	/wiki/Alfred_Aboya	['1900', '1950']
Lazare Adingono	/wiki/Lazare_Adingono	['1900', '1950']
Joel Embiid	/wiki/Joel_Embiid	['1900', '1950']
Yves Mekongo Mbala	/wiki/Yves_Mekongo_Mbala	['1900', '1950']
Luc Mbah a Moute	/wiki/Luc_Mbah_a_Moute	['1900', '1950']
Pascal Siakam	/wiki/Pascal_Siakam	['1900', '1950']
Victor Anomah Ngu	/wiki/Victor_Anomah_Ngu	['1900', '1950']
Veye Tatah	/wiki/Veye_Tatah	['1900', '1950']
Ben Duala Ekoko	/wiki/Ben_Duala_Ekoko	['1900', '1950']
