text	link	year
First Nations	/wiki/First_Nations	['1900', '1950']
Paleo-Indians	/wiki/Paleo-Indians	['1900', '1950']
Canadian Indian residential school system	/wiki/Canadian_Indian_residential_school_system	['1900', '1950']
Indian hospital	/wiki/Indian_hospital	['1900', '1950']
British Columbia Treaty Process	/wiki/British_Columbia_Treaty_Process	['1900', '1950']
Indian Health Transfer Policy	/wiki/Indian_Health_Transfer_Policy	['1900', '1950']
Idle No More	/wiki/Idle_No_More	['1900', '1950']
Indian Act	/wiki/Indian_Act	['1900', '1950']
Indigenous and Northern Affairs Canada	/wiki/Indigenous_and_Northern_Affairs_Canada	['1900', '1950']
Missing and murdered Indigenous women	/wiki/Missing_and_murdered_Indigenous_women	['1900', '1950']
Numbered Treaties	/wiki/Numbered_Treaties	['1900', '1950']
Royal Commission on Aboriginal Peoples	/wiki/Royal_Commission_on_Aboriginal_Peoples	['1900', '1950']
Treaty rights	/wiki/Treaty_rights	['1900', '1950']
Indigenous Canadian personalities	/wiki/Indigenous_Canadian_personalities	['1900', '1950']
Country food	/wiki/Country_food	['1900', '1950']
Indian reserve	/wiki/Indian_reserve	['1900', '1950']
Americanist phonetic notation	/wiki/Americanist_phonetic_notation	['1900', '1950']
Canadian Aboriginal syllabics	/wiki/Canadian_Aboriginal_syllabics	['1900', '1950']
wiktionary:First Nations	https://en.wiktionary.org/wiki/First_Nations	['1900', '1950']
wiktionary:Metis	https://en.wiktionary.org/wiki/Metis	['1900', '1950']
Thule people	/wiki/Thule_people	['1900', '1950']
Quviasukvik	/wiki/Quviasukvik	['1900', '1950']
Nunavut	/wiki/Nunavut	['1900', '1950']
Inuvialuit Settlement Region	/wiki/Inuvialuit_Settlement_Region	['1900', '1950']
Nunavik	/wiki/Nunavik	['1900', '1950']
Nunatsiavut	/wiki/Nunatsiavut	['1900', '1950']
NunatuKavut	/wiki/NunatuKavut	['1900', '1950']
Iñupiat	/wiki/I%C3%B1upiat	['1900', '1950']
Yup'ik	/wiki/Yup%27ik	['1900', '1950']
Alutiiq	/wiki/Alutiiq	['1900', '1950']
Alaska Native corporation	/wiki/Alaska_Native_corporation	['1900', '1950']
Arctic Slope Regional Corporation	/wiki/Arctic_Slope_Regional_Corporation	['1900', '1950']
Calista Corporation	/wiki/Calista_Corporation	['1900', '1950']
Bering Straits Native Corporation	/wiki/Bering_Straits_Native_Corporation	['1900', '1950']
Cook Inlet Region, Inc.	/wiki/Cook_Inlet_Region,_Inc.	['1900', '1950']
NANA Regional Corporation	/wiki/NANA_Regional_Corporation	['1900', '1950']
Makivik Corporation	/wiki/Makivik_Corporation	['1900', '1950']
Nunatsiavut	/wiki/Nunatsiavut	['1900', '1950']
Nunavut Tunngavik Incorporated	/wiki/Nunavut_Tunngavik_Incorporated	['1900', '1950']
Greenland	/wiki/Greenland	['1900', '1950']
Pituffik	/wiki/Pituffik#Pituffik_today	['1900', '1950']
Harpoon	/wiki/Harpoon	['1900', '1950']
Toggling harpoon	/wiki/Toggling_harpoon	['1900', '1950']
Snow knife	/wiki/Snow_knife	['1900', '1950']
Knife	/wiki/Knife	['1900', '1950']
Ulu	/wiki/Ulu	['1900', '1950']
Kudlik	/wiki/Kudlik	['1900', '1950']
Snow goggles	/wiki/Snow_goggles	['1900', '1950']
Inuksuk	/wiki/Inuksuk	['1900', '1950']
Qamutiik	/wiki/Qamutiik	['1900', '1950']
Kayak	/wiki/Kayak	['1900', '1950']
Umiak	/wiki/Umiak	['1900', '1950']
