text	link	year
Hans Blumenfeld	/wiki/Hans_Blumenfeld	['1892', '1988']
Joan Burt	/wiki/Joan_Burt	['1930', '2025']
Douglas Cardinal	/wiki/Douglas_Cardinal	['1934', '2025']
Mary Clark	/wiki/Mary_Clark_(architect)	['1936', '2025']
Ernest Cormier	/wiki/Ernest_Cormier	['1885', '1980']
A. J. Diamond	/wiki/A._J._Diamond	['1934', '2025']
Margaret Synge Dryer	/wiki/Margaret_Synge_Dryer	['1921', '1963']
Arthur Erickson	/wiki/Arthur_Erickson	['1924', '2008']
David Ewart	/wiki/David_Ewart	['1841', '1921']
Étienne Gaboury	/wiki/%C3%89tienne_Gaboury	['1930', '2025']
Frank Gehry	/wiki/Frank_Gehry	['1929', '2025']
Dan Hanganu	/wiki/Dan_Hanganu	['1946', '2025']
Stephen Irwin	/wiki/Stephen_Irwin_(architect)	['1900', '1950']
Bruce Kuwabara	/wiki/Bruce_Kuwabara	['1949', '2025']
E. J. Lennox	/wiki/E._J._Lennox	['1854', '1933']
John M. Lyle	/wiki/John_M._Lyle	['1872', '1945']
Raymond Moriyama	/wiki/Raymond_Moriyama	['1929', '2025']
Samuel Oghale Oboh	/wiki/Samuel_Oghale_Oboh	['1971', '2025']
John Ostell	/wiki/John_Ostell	['1813', '1892']
Francis Rattenbury	/wiki/Francis_Rattenbury	['1867', '1935']
Moshe Safdie	/wiki/Moshe_Safdie	['1938', '2025']
Fariborz Sahba	/wiki/Fariborz_Sahba	['1948', '2025']
Henry Sears	/wiki/Henry_Sears_(architect)	['1929', '2003']
Brigitte Shim	/wiki/Brigitte_Shim	['1958', '2025']
Bing Thom	/wiki/Bing_Thom	['1940', '2025']
Ronald Thom	/wiki/Ronald_Thom	['1923', '1986']
Bob Topping	/wiki/Bob_Topping	['1954', '2025']
Ryan Larkin	/wiki/Ryan_Larkin	['1943', '2025']
Danny Antonucci	/wiki/Danny_Antonucci	['1957', '2025']
Kate Beaton	/wiki/Kate_Beaton	['1900', '1950']
Chester Brown	/wiki/Chester_Brown	['1960', '2025']
John Byrne	/wiki/John_Byrne_(comics)	['1950', '2025']
Andy Donato	/wiki/Andy_Donato	['1937', '2025']
Hal Foster	/wiki/Hal_Foster	['1892', '1982']
J.D. Frazer	/wiki/J.D._Frazer	['1965', '2025']
Seth	/wiki/Seth_(cartoonist)	['1962', '2025']
Lynn Johnston	/wiki/Lynn_Johnston	['1947', '2025']
John Kricfalusi	/wiki/John_Kricfalusi	['1955', '2025']
Graeme MacKay	/wiki/Graeme_MacKay	['1968', '2025']
Sean Martin	/wiki/Sean_Martin_(cartoonist)	['1960', '2025']
Todd McFarlane	/wiki/Todd_McFarlane	['1961', '2025']
Win Mortimer	/wiki/Win_Mortimer	['1919', '1998']
Terry Mosher	/wiki/Terry_Mosher	['1942', '2025']
Len Norris	/wiki/Len_Norris	['1919', '1997']
Ryan North	/wiki/Ryan_North	['1980', '2025']
Scott Ramsoomair	/wiki/Scott_Ramsoomair	['1981', '2025']
Joe Shuster	/wiki/Joe_Shuster	['1914', '1992']
Dave Sim	/wiki/Dave_Sim	['1956', '2025']
