text	link	year
Nationality	/wiki/Nationality	['1900', '1950']
Mayra Andrade	/wiki/Mayra_Andrade	['1900', '1950']
Bana	/wiki/Bana_(singer)	['1932', '2013']
Bau	/wiki/Bau_(musician)	['1900', '1950']
Teófilo Chantre	/wiki/Te%C3%B3filo_Chantre	['1900', '1950']
Bela Duarte	/wiki/Bela_Duarte	['1900', '1950']
Cesária Évora	/wiki/Ces%C3%A1ria_%C3%89vora	['1941', '2011']
Fantcha	/wiki/Fantcha	['1900', '1950']
Ana Firmino	/wiki/Ana_Firmino	['1900', '1950']
Jotamont	/wiki/Jotamont	['1912', '1988']
Ildo Lobo	/wiki/Ildo_Lobo	['1953', '2004']
Suzanna Lubrano	/wiki/Suzanna_Lubrano	['1900', '1950']
Vasco Martins	/wiki/Vasco_Martins	['1900', '1950']
Karin Mensah	/wiki/Karin_Mensah	['1900', '1950']
Manuel de Novas	/wiki/Manuel_de_Novas	['1938', '2009']
Tito Paris	/wiki/Tito_Paris	['1900', '1950']
Fernando Quejas	/wiki/Fernando_Quejas	['1922', '2005']
Gil Semedo	/wiki/Gil_Semedo	['1900', '1950']
Armando Zeferino Soares	/wiki/Armando_Zeferino_Soares	['1920', '2007']
Eugénio Tavares	/wiki/Eug%C3%A9nio_Tavares	['1867', '1930']
Tcheka	/wiki/Tcheka	['1900', '1950']
Antoninho Travadinha	/wiki/Antoninho_Travadinha	['1900', '1950']
Dona Tututa	/wiki/Dona_Tututa	['1919', '2014']
Aguinaldo Fonseca	/wiki/Aguinaldo_Fonseca	['1922', '2014']
Sergio Frusoni	/wiki/Sergio_Frusoni	['1901', '1975']
Gabriel Mariano	/wiki/Gabriel_Mariano	['1928', '2002']
Ovídio Martins	/wiki/Ov%C3%ADdio_Martins	['1928', '1999']
Manuel de Novas	/wiki/Manuel_de_Novas	['1938', '2009']
Eugénio Tavares	/wiki/Eug%C3%A9nio_Tavares	['1867', '1930']
Arménio Vieira	/wiki/Arm%C3%A9nio_Vieira	['1900', '1950']
Honório Barreto	/wiki/Hon%C3%B3rio_Barreto	['1813', '1859']
Evandro Carvalho	/wiki/Evandro_Carvalho	['1900', '1950']
Silvino Manuel da Luz	/wiki/Silvino_Manuel_da_Luz	['1900', '1950']
Gualberto do Rosário	/wiki/Gualberto_do_Ros%C3%A1rio	['1900', '1950']
Abílio Duarte	/wiki/Ab%C3%ADlio_Duarte	['1931', '1996']
Corsino Fortes	/wiki/Corsino_Fortes	['1900', '1950']
António Mascarenhas Monteiro	/wiki/Ant%C3%B3nio_Mascarenhas_Monteiro	['1944', '2016']
José Maria Neves	/wiki/Jos%C3%A9_Maria_Neves	['1900', '1950']
Aristides Pereira	/wiki/Aristides_Pereira	['1923', '2011']
Pedro Pires	/wiki/Pedro_Pires	['1900', '1950']
Carlos Veiga	/wiki/Carlos_Veiga	['1900', '1950']
Carlos Almeida	/wiki/Carlos_Almeida_(athlete)	['1900', '1950']
Isménia do Frederico	/wiki/Ism%C3%A9nia_do_Frederico	['1900', '1950']
Alfayaya Embalo	/wiki/Alfayaya_Embalo	['1900', '1950']
Lidiane Lopes	/wiki/Lidiane_Lopes	['1900', '1950']
Sónia Lopes	/wiki/S%C3%B3nia_Lopes	['1900', '1950']
Denielsan Martins	/wiki/Denielsan_Martins	['1900', '1950']
Eva Pereira	/wiki/Eva_Pereira	['1900', '1950']
Ruben Sança	/wiki/Ruben_San%C3%A7a	['1900', '1950']
Lenira Santos	/wiki/Lenira_Santos	['1900', '1950']
Euclides Varela	/wiki/Euclides_Varela	['1900', '1950']
António Zeferino	/wiki/Ant%C3%B3nio_Zeferino	['1900', '1950']
Flávio Furtado	/wiki/Fl%C3%A1vio_Furtado	['1900', '1950']
Demetrius Andrade	/wiki/Demetrius_Andrade	['1900', '1950']
Walter Tavares	/wiki/Walter_Tavares	['1900', '1950']
Bijou Davidson	/wiki/Bijou_Davidson	['1900', '1950']
Djaniny	/wiki/Djaniny	['1900', '1950']
Germano Almeida	/wiki/Germano_Almeida	['1900', '1950']
Orlanda Amarílis	/wiki/Orlanda_Amar%C3%ADlis	['1924', '2014']
Jorge Barbosa	/wiki/Jorge_Barbosa	['1902', '1971']
Mike Costa	/wiki/Mike_Costa	['1900', '1950']
Viriato de Barros	/wiki/Viriato_de_Barros	['1900', '1950']
Corsino Fortes	/wiki/Corsino_Fortes	['1933', '2015']
António Aurélio Gonçalves	/wiki/Ant%C3%B3nio_Aur%C3%A9lio_Gon%C3%A7alves	['1901', '1984']
Manuel Lopes	/wiki/Manuel_Lopes	['1907', '2005']
Baltasar Lopes da Silva	/wiki/Baltasar_Lopes_da_Silva	['1907', '1989']
João Cleófas Martins	/wiki/Jo%C3%A3o_Cle%C3%B3fas_Martins	['1901', '1970']
Yolanda Morazzo	/wiki/Yolanda_Morazzo	['1928', '2009']
Ivone Ramos	/wiki/Ivone_Ramos	['1926', '2018']
Henrique Teixeira de Sousa	/wiki/Henrique_Teixeira_de_Sousa	['1919', '2006']
Maria de Barros	/wiki/Maria_de_Barros	['1900', '1950']
Lura	/wiki/Lura_(musician)	['1900', '1950']
Boy Gé Mendes	/wiki/Boy_G%C3%A9_Mendes	['1900', '1950']
Evandro Carvalho	/wiki/Evandro_Carvalho	['1900', '1950']
Vinny deMacedo	/wiki/Vinny_deMacedo	['1900', '1950']
Donaldo Macedo	/wiki/Donaldo_Macedo	['1900', '1950']
Márcio Fernandes	/wiki/M%C3%A1rcio_Fernandes	['1900', '1950']
João Gomes	/wiki/Jo%C3%A3o_Gomes_(basketball)	['1900', '1950']
Miguel Dias	/wiki/Miguel_Dias	['1900', '1950']
Aalviar Lima	/wiki/Aalviar_Lima	['1900', '1950']
Arlindo Gomes Semedo	/wiki/Arlindo_Gomes_Semedo	['1900', '1950']
Dady	/wiki/Dady	['1900', '1950']
Gélson Fernandes	/wiki/G%C3%A9lson_Fernandes	['1900', '1950']
José Emilio Furtado	/wiki/Jos%C3%A9_Emilio_Furtado	['1900', '1950']
Pedro Pelé	/wiki/Pedro_Pel%C3%A9	['1900', '1950']
Toni Varela	/wiki/Toni_Varela	['1900', '1950']
José Veiga	/wiki/Jos%C3%A9_Veiga_(born_1976)	['1900', '1950']
Nélson Veiga	/wiki/N%C3%A9lson_Veiga	['1900', '1950']
Eileen Almeida Barbosa	/wiki/Eileen_Almeida_Barbosa	['1900', '1950']
David Barboza	/wiki/David_Barboza	['1900', '1950']
Michael Beach	/wiki/Michael_Beach	['1900', '1950']
Ashley Holliday	/wiki/Ashley_Holliday	['1900', '1950']
Lena Horne	/wiki/Lena_Horne	['1917', '2010']
Sara Martins	/wiki/Sara_Martins	['1900', '1950']
Anika Noni Rose	/wiki/Anika_Noni_Rose	['1900', '1950']
Chelsea Tavares	/wiki/Chelsea_Tavares	['1900', '1950']
Lindsay Grace	/wiki/Lindsay_Grace	['1900', '1950']
Leila Lopes	/wiki/Leila_Lopes_(Miss_Universe)	['1900', '1950']
Tatiana Silva	/wiki/Tatiana_Silva	['1900', '1950']
Amber Rose	/wiki/Amber_Rose	['1900', '1950']
Blu Cantrell	/wiki/Blu_Cantrell	['1900', '1950']
E-Life	/wiki/E-Life	['1900', '1950']
Eddy Fortes	/wiki/Eddy_Fortes	['1900', '1950']
Paul Gonsalves	/wiki/Paul_Gonsalves	['1920', '1974']
Lisa Lopes	/wiki/Lisa_Lopes	['1971', '2002']
Masspike Miles	/wiki/Masspike_Miles	['1900', '1950']
Pebbles	/wiki/Pebbles_(radio_personality)	['1900', '1950']
Paul Pena	/wiki/Paul_Pena	['1950', '2005']
Tavares Brothers	/wiki/Tavares_Brothers	['1900', '1950']
Horace Silver	/wiki/Horace_Silver	['1900', '1950']
