text	link	year
Ferrer Bassa	/wiki/Ferrer_Bassa	['1285', '1348']
Arnau Bassa	/wiki/Arnau_Bassa	['1900', '1950']
Hyacinthe Rigaud	/wiki/Hyacinthe_Rigaud	['1659', '1743']
Josep Tapiró Baró	/wiki/Josep_Tapir%C3%B3_Bar%C3%B3	['1836', '1913']
Marià Fortuny	/wiki/Mari%C3%A0_Fortuny	['1838', '1874']
Josep Masriera	/wiki/Josep_Masriera	['1841', '1912']
Étienne Terrus	/wiki/%C3%89tienne_Terrus	['1857', '1922']
Eliseu Meifrèn	/wiki/Eliseu_Meifr%C3%A8n	['1857', '1940']
Aristide Maillol	/wiki/Aristide_Maillol	['1861', '1944']
Santiago Rusiñol	/wiki/Santiago_Rusi%C3%B1ol	['1861', '1931']
Ramon Casas i Carbó	/wiki/Ramon_Casas_i_Carb%C3%B3	['1866', '1932']
Ramon Pichot	/wiki/Ramon_Pichot	['1871', '1925']
Joaquin Mir Trinxet	/wiki/Joaquin_Mir_Trinxet	['1873', '1940']
Julio González	/wiki/Julio_Gonz%C3%A1lez_(sculptor)	['1876', '1942']
Josep Clarà	/wiki/Josep_Clar%C3%A0	['1878', '1958']
Josefa Texidor Torres	/wiki/Josefa_Texidor_Torres	['1875', '1914']
Pablo Gargallo	/wiki/Pablo_Gargallo	['1881', '1934']
Joan Miró	/wiki/Joan_Mir%C3%B3	['1893', '1983']
Lola Anglada	/wiki/Lola_Anglada	['1893', '1984']
Josep Andreu i Lasserre	/wiki/Josep_Andreu_i_Lasserre	['1896', '1983']
Angel Planells	/wiki/Angel_Planells	['1901', '1989']
Salvador Dalí	/wiki/Salvador_Dal%C3%AD	['1904', '1989']
Ceferí Olivé	/wiki/Cefer%C3%AD_Oliv%C3%A9	['1907', '1995']
Angeles Santos Torroella	/wiki/Angeles_Santos_Torroella	['1911', '2013']
Antoni Clavé	/wiki/Antoni_Clav%C3%A9	['1913', '2005']
Joan-Josep Tharrats	/wiki/Joan-Josep_Tharrats	['1918', '2001']
Joan Colom	/wiki/Joan_Colom	['1921', '2017']
Manuel Carnicer Fajó	/wiki/Manuel_Carnicer_Faj%C3%B3	['1922', '1998']
Albert Ràfols-Casamada	/wiki/Albert_R%C3%A0fols-Casamada	['1923', '2009']
Antoni Tàpies	/wiki/Antoni_T%C3%A0pies	['1923', '2012']
Xavier Valls	/wiki/Xavier_Valls	['1923', '2006']
Josep Maria Subirachs	/wiki/Josep_Maria_Subirachs	['1927', '2014']
Remedios Varo	/wiki/Remedios_Varo	['1908', '1963']
Joan Brossa	/wiki/Joan_Brossa	['1919', '1998']
Modest Cuixart	/wiki/Modest_Cuixart	['1925', '2001']
Anna Manel·la	/wiki/Anna_Manel%C2%B7la	['1950', '2019']
Marcel Martí	/wiki/Marcel_Mart%C3%AD	['1925', '2010']
Joan Ponç	/wiki/Joan_Pon%C3%A7	['1927', '1984']
Josep Guinovart	/wiki/Josep_Guinovart	['1927', '2007']
Antoni Pitxot	/wiki/Antoni_Pitxot	['1934', '2015']
Xavier Miserachs	/wiki/Xavier_Miserachs	['1937', '1998']
Vicenç Caraltó	/wiki/Vicen%C3%A7_Caralt%C3%B3	['1939', '1995']
Fina Rifà	/wiki/Fina_Rif%C3%A0	['1939', '2025']
Colita	/wiki/Colita	['1940', '2025']
Josep Royo	/wiki/Josep_Royo	['1945', '2025']
Glòria Muñoz	/wiki/Gl%C3%B2ria_Mu%C3%B1oz	['1949', '2025']
Jaume Plensa	/wiki/Jaume_Plensa	['1955', '2025']
Perejaume	/wiki/Perejaume	['1957', '2025']
Carlos Grangel	/wiki/Carlos_Grangel	['1963', '2025']
Neil Harbisson	/wiki/Neil_Harbisson	['1982', '2025']
Moon Ribas	/wiki/Moon_Ribas	['1985', '2025']
Ricardo Bofill Leví	/wiki/Ricardo_Bofill_Lev%C3%AD	['1939', '2025']
Oriol Bohigas i Guardiola	/wiki/Oriol_Bohigas_i_Guardiola	['1925', '2025']
Antoni Bonet i Castellana	/wiki/Antoni_Bonet_i_Castellana	['1913', '1989']
Carles Buïgas i Sans	/wiki/Carles_Bu%C3%AFgas_i_Sans	['1898', '1979']
Ildefons Cerdà i Sunyer	/wiki/Ildefons_Cerd%C3%A0_i_Sunyer	['1815', '1876']
Josep Antoni Coderch	/wiki/Josep_Antoni_Coderch	['1913', '2025']
Lluís Domènech i Montaner	/wiki/Llu%C3%ADs_Dom%C3%A8nech_i_Montaner	['1850', '1927']
Antoni Gaudí	/wiki/Antoni_Gaud%C3%AD	['1852', '1926']
Josep Maria Jujol i Gibert	/wiki/Josep_Maria_Jujol_i_Gibert	['1879', '1949']
Cebrià de Montoliu i de Togores	/wiki/Cebri%C3%A0_de_Montoliu_i_de_Togores	['1873', '1923']
Carme Pigem Barceló	/wiki/Carme_Pigem_Barcel%C3%B3	['1962', '2025']
Isidre Puig Boada	/wiki/Isidre_Puig_Boada	['1891', '1987']
Josep Puig i Cadafalch	/wiki/Josep_Puig_i_Cadafalch	['1867', '1956']
Josep Lluís Sert i López	/wiki/Josep_Llu%C3%ADs_Sert_i_L%C3%B3pez	['1902', '1983']
Xavier Vilalta	/wiki/Xavier_Vilalta	['1980', '2025']
Facundo Bacardí	/wiki/Facundo_Bacard%C3%AD	['1814', '1886']
Joseph Oller	/wiki/Joseph_Oller	['1839', '1922']
Brugal	/wiki/Brugal	['1850', '1914']
Enric Bernat	/wiki/Enric_Bernat	['1923', '2003']
Eusebi Güell	/wiki/Eusebi_G%C3%BCell	['1846', '1918']
John Casablancas	/wiki/John_Casablancas	['1942', '2013']
Asunción Balaguer	/wiki/Asunci%C3%B3n_Balaguer	['1925', '2019']
Rosa Maria Sardà	/wiki/Rosa_Maria_Sard%C3%A0	['1941', '2025']
Albert Boadella	/wiki/Albert_Boadella	['1943', '2025']
Ventura Pons	/wiki/Ventura_Pons	['1945', '2025']
Bigas Luna	/wiki/Bigas_Luna	['1946', '2013']
Agustí Villaronga	/wiki/Agust%C3%AD_Villaronga	['1953', '2025']
Vicky Peña	/wiki/Vicky_Pe%C3%B1a	['1954', '2025']
Assumpta Serna	/wiki/Assumpta_Serna	['1957', '2025']
Francesc Orella	/wiki/Francesc_Orella	['1957', '2025']
Emma Vilarasau	/wiki/Emma_Vilarasau	['1959', '2025']
Isabel Coixet	/wiki/Isabel_Coixet	['1960', '2025']
Eduard Fernandez	/wiki/Eduard_Fernandez	['1964', '2025']
Jordi Sánchez	/wiki/Jordi_S%C3%A1nchez	['1964', '2025']
Sergi López i Ayats	/wiki/Sergi_L%C3%B3pez_i_Ayats	['1965', '2025']
Andreu Buenafuente	/wiki/Andreu_Buenafuente	['1965', '2025']
Lydia Zimmermann	/wiki/Lydia_Zimmermann	['1966', '2025']
Jaume Balagueró	/wiki/Jaume_Balaguer%C3%B3	['1968', '2025']
Jordi Mollà	/wiki/Jordi_Moll%C3%A0	['1968', '2025']
Ariadna Gil	/wiki/Ariadna_Gil	['1969', '2025']
Joel Joan	/wiki/Joel_Joan	['1970', '2025']
Silvia Abril	/wiki/Silvia_Abril	['1971', '2025']
David Selvas	/wiki/David_Selvas	['1971', '2025']
Laia Costa	/wiki/Laia_Costa	['1985', '2025']
Laia Marull	/wiki/Laia_Marull	['1973', '2025']
Jaume Collet-Serra	/wiki/Jaume_Collet-Serra	['1974', '2025']
Ingrid Rubio	/wiki/Ingrid_Rubio	['1975', '2025']
Daniel Brühl	/wiki/Daniel_Br%C3%BChl	['1978', '2025']
Claudia Bassols	/wiki/Claudia_Bassols	['1979', '2025']
Leticia Dolera	/wiki/Leticia_Dolera	['1981', '2025']
Quim Gutiérrez	/wiki/Quim_Guti%C3%A9rrez	['1981', '2025']
Àstrid Bergès-Frisbey	/wiki/%C3%80strid_Berg%C3%A8s-Frisbey	['1986', '2025']
Carlos Cuevas	/wiki/Carlos_Cuevas	['1995', '2025']
David Solans	/wiki/David_Solans	['1996', '2025']
Andreu Mas-Colell	/wiki/Andreu_Mas-Colell	['1944', '2025']
Xavier Sala i Martin	/wiki/Xavier_Sala_i_Martin	['1962', '2025']
Pol Antràs	/wiki/Pol_Antr%C3%A0s	['1900', '1950']
Ramon Llull	/wiki/Ramon_Llull	['1900', '1950']
Ramon Muntaner	/wiki/Ramon_Muntaner	['1270', '1336']
Joanot Martorell	/wiki/Joanot_Martorell	['1410', '1465']
Jaime Balmes	/wiki/Jaime_Balmes	['1810', '1848']
Àngel Guimerà	/wiki/%C3%80ngel_Guimer%C3%A0	['1845', '1924']
Jacint Verdaguer	/wiki/Jacint_Verdaguer	['1845', '1902']
Narcís Oller	/wiki/Narc%C3%ADs_Oller	['1846', '1930']
Joan Maragall	/wiki/Joan_Maragall	['1860', '1911']
Josep Carner	/wiki/Josep_Carner	['1884', '1970']
Gaziel	/wiki/Gaziel	['1887', '1964']
Carles Riba	/wiki/Carles_Riba	['1893', '1959']
Josep Vicenç Foix	/wiki/Josep_Vicen%C3%A7_Foix	['1893', '1987']
Josep Pla	/wiki/Josep_Pla	['1897', '1981']
Joan Oliver i Sallarès	/wiki/Joan_Oliver_i_Sallar%C3%A8s	['1899', '1986']
Mercè Rodoreda	/wiki/Merc%C3%A8_Rodoreda	['1909', '1983']
Miquel Martí i Pol	/wiki/Miquel_Mart%C3%AD_i_Pol	['1929', '2003']
Pere Calders	/wiki/Pere_Calders	['1912', '1994']
Joan Sales	/wiki/Joan_Sales	['1912', '1983']
Salvador Espriu	/wiki/Salvador_Espriu	['1913', '1985']
Joan Vinyoli	/wiki/Joan_Vinyoli	['1914', '1984']
Manuel de Pedrolo	/wiki/Manuel_de_Pedrolo	['1918', '1990']
Montserrat Abelló i Soler	/wiki/Montserrat_Abell%C3%B3_i_Soler	['1918', '2014']
Joan Brossa	/wiki/Joan_Brossa	['1919', '1998']
Gabriel Ferrater	/wiki/Gabriel_Ferrater	['1922', '1972']
Maria Àngels Anglada	/wiki/Maria_%C3%80ngels_Anglada	['1930', '1999']
Quima Jaume i Carbo	/wiki/Quima_Jaume_i_Carbo	['1934', '1993']
Olga Xirinacs Díaz	/wiki/Olga_Xirinacs_D%C3%ADaz	['1936', '2025']
Montserrat Roig	/wiki/Montserrat_Roig	['1946', '1991']
Quim Monzó	/wiki/Quim_Monz%C3%B3	['1952', '2025']
Maria Mercè Marçal	/wiki/Maria_Merc%C3%A8_Mar%C3%A7al	['1952', '1998']
Sergi Pàmies	/wiki/Sergi_P%C3%A0mies	['1960', '2025']
Joan Carreras i Goicoechea	/wiki/Joan_Carreras_i_Goicoechea	['1962', '2025']
Màrius Serra	/wiki/M%C3%A0rius_Serra	['1963', '2025']
