text	link	year
Abdelwahid Aboud Mackaye	/wiki/Abdelwahid_Aboud_Mackaye	['1953', '2025']
Acyl Ahmat Agbas	/wiki/Acyl_Ahmat_Agbas	['1944', '1982']
Mohamed Baghlani	/wiki/Mohamed_Baghlani	['1900', '1950']
Jean Alingué Bawoyeu	/wiki/Jean_Alingu%C3%A9_Bawoyeu	['1937', '2025']
Mahamoud Adam Béchir	/wiki/Mahamoud_Adam_B%C3%A9chir	['1900', '1950']
Outel Bono	/wiki/Outel_Bono	['1900', '1950']
Issa Serge Coelo	/wiki/Issa_Serge_Coelo	['1967', '2025']
Dunama Dabbalemi	/wiki/Dunama_Dabbalemi	['1900', '1950']
Brahim Déby	/wiki/Brahim_D%C3%A9by	['1900', '1950']
Idriss Déby	/wiki/Idriss_D%C3%A9by	['1952', '2025']
Yaya Dillo Djérou	/wiki/Yaya_Dillo_Dj%C3%A9rou	['1900', '1950']
Koibla Djimasta	/wiki/Koibla_Djimasta	['1950', '2025']
Negue Djogo	/wiki/Negue_Djogo	['1900', '1950']
Jacques Doumro	/wiki/Jacques_Doumro	['1900', '1950']
Pierre Toura Gaba	/wiki/Pierre_Toura_Gaba	['1920', '1998']
Hissène Habré	/wiki/Hiss%C3%A8ne_Habr%C3%A9	['1900', '1950']
Mahamat Idriss	/wiki/Mahamat_Idriss	['1900', '1950']
Wadel Abdelkader Kamougué	/wiki/Wadel_Abdelkader_Kamougu%C3%A9	['1900', '1950']
Saleh Kebzabo	/wiki/Saleh_Kebzabo	['1900', '1950']
Djibrine Kerallah	/wiki/Djibrine_Kerallah	['1900', '1950']
Delwa Kassiré Koumakoye	/wiki/Delwa_Kassir%C3%A9_Koumakoye	['1900', '1950']
Alphonse Kotiga	/wiki/Alphonse_Kotiga	['1900', '1950']
Ahmed Koulamallah	/wiki/Ahmed_Koulamallah	['1900', '1950']
Marie-Christine Koundja	/wiki/Marie-Christine_Koundja	['1957', '2025']
Gabriel Lisette	/wiki/Gabriel_Lisette	['1900', '1950']
Rose Lokissim	/wiki/Rose_Lokissim	['1900', '1950']
Elise Loum	/wiki/Elise_Loum	['1956', '2025']
Félix Malloum	/wiki/F%C3%A9lix_Malloum	['1900', '1950']
Hassan Abdallah Mardigue	/wiki/Hassan_Abdallah_Mardigue	['1900', '1950']
Idriss Miskine	/wiki/Idriss_Miskine	['1900', '1950']
Fidèle Moungar	/wiki/Fid%C3%A8le_Moungar	['1900', '1950']
Ahmed Hassan Musa	/wiki/Ahmed_Hassan_Musa	['1900', '1950']
Kaltouma Nadjina	/wiki/Kaltouma_Nadjina	['1900', '1950']
Japhet N'Doram	/wiki/Japhet_N%27Doram	['1900', '1950']
Mahamat Nour	/wiki/Mahamat_Nour	['1900', '1950']
Noël Milarew Odingar	/wiki/No%C3%ABl_Milarew_Odingar	['1900', '1950']
Othman I	/wiki/Othman_I	['1900', '1950']
Othman II	/wiki/Othman_II	['1900', '1950']
Othman III	/wiki/Othman_III	['1900', '1950']
Nassour Guelendouksia Ouaido	/wiki/Nassour_Guelendouksia_Ouaido	['1900', '1950']
Goukouni Oueddei	/wiki/Goukouni_Oueddei	['1900', '1950']
Aboubakar Abdel Rahmane	/wiki/Aboubakar_Abdel_Rahmane	['1966', '1993']
Gontchomé Sahoulba	/wiki/Gontchom%C3%A9_Sahoulba	['1900', '1950']
Ibni Oumar Mahamat Saleh	/wiki/Ibni_Oumar_Mahamat_Saleh	['1900', '1950']
Joseph Brahim Seid	/wiki/Joseph_Brahim_Seid	['1900', '1950']
Lol Mohamed Shawa	/wiki/Lol_Mohamed_Shawa	['1900', '1950']
Abba Siddick	/wiki/Abba_Siddick	['1900', '1950']
Achta Djibrine Sy	/wiki/Achta_Djibrine_Sy	['1900', '1950']
Youssouf Togoïmi	/wiki/Youssouf_Togo%C3%AFmi	['1900', '1950']
Nabatingue Toko	/wiki/Nabatingue_Toko	['1900', '1950']
François Tombalbaye	/wiki/Fran%C3%A7ois_Tombalbaye	['1900', '1950']
Khadidja Touré	/wiki/Khadidja_Tour%C3%A9	['1900', '1950']
Nagoum Yamassoum	/wiki/Nagoum_Yamassoum	['1900', '1950']
Pascal Yoadimnadji	/wiki/Pascal_Yoadimnadji	['1900', '1950']
Joseph Yodoyman	/wiki/Joseph_Yodoyman	['1900', '1950']
Ngarlejy Yorongar	/wiki/Ngarlejy_Yorongar	['1900', '1950']
Sayfawa dynasty	/wiki/Sayfawa_dynasty	['1900', '1950']
Template:Chad topics	/wiki/Template:Chad_topics	['1900', '1950']
Template talk:Chad topics	/wiki/Template_talk:Chad_topics	['1900', '1950']
Kanem Empire	/wiki/Kanem_Empire	['1900', '1950']
Ouaddai Empire	/wiki/Ouaddai_Empire	['1900', '1950']
Colonial Chad	/wiki/Colonial_Chad	['1900', '1950']
Tombalbaye government	/wiki/Tombalbaye_government	['1900', '1950']
Chad under Félix Malloum	/wiki/Chad_under_F%C3%A9lix_Malloum	['1900', '1950']
Toyota War	/wiki/Toyota_War	['1900', '1950']
National Assembly	/wiki/National_Assembly_(Chad)	['1900', '1950']
Central African CFA franc	/wiki/Central_African_CFA_franc	['1900', '1950']
