text	link	year
Ricardo J. Caballero	/wiki/Ricardo_J._Caballero	['1900', '1950']
Sebastian Edwards	/wiki/Sebastian_Edwards	['1993', '1996']
Nicolás Eyzaguirre	/wiki/Nicol%C3%A1s_Eyzaguirre	['1900', '1950']
Alejandro Foxley	/wiki/Alejandro_Foxley	['1900', '1950']
Manfred Max Neef	/wiki/Manfred_Max_Neef	['1900', '1950']
José Piñera	/wiki/Jos%C3%A9_Pi%C3%B1era	['1900', '1950']
Andrés Velasco	/wiki/Andr%C3%A9s_Velasco	['1900', '1950']
Manuel Baquedano	/wiki/Manuel_Baquedano	['1900', '1950']
Philip Bazaar	/wiki/Philip_Bazaar	['1900', '1950']
José Miguel Carrera	/wiki/Jos%C3%A9_Miguel_Carrera	['1900', '1950']
Luis Carrera	/wiki/Luis_Carrera	['1900', '1950']
Caupolicán	/wiki/Caupolic%C3%A1n	['1900', '1950']
Carlos Condell	/wiki/Carlos_Condell	['1900', '1950']
Manuel Contreras	/wiki/Manuel_Contreras	['1900', '1950']
Pedro de Valdivia	/wiki/Pedro_de_Valdivia	['1900', '1950']
Manuel Rodríguez Erdoiza	/wiki/Manuel_Rodr%C3%ADguez_Erdoiza	['1900', '1950']
Lautaro	/wiki/Lautaro_(toqui)	['1900', '1950']
Patricio Lynch	/wiki/Patricio_Lynch	['1900', '1950']
Juan MacKenna	/wiki/Juan_MacKenna	['1900', '1950']
Bernardo O'Higgins	/wiki/Bernardo_O%27Higgins	['1900', '1950']
Luis Pardo	/wiki/Luis_Pardo	['1900', '1950']
Ignacio Carrera Pinto	/wiki/Ignacio_Carrera_Pinto	['1900', '1950']
Arturo Prat	/wiki/Arturo_Prat	['1900', '1950']
Eleuterio Ramírez	/wiki/Eleuterio_Ram%C3%ADrez	['1900', '1950']
José Ignacio Zenteno	/wiki/Jos%C3%A9_Ignacio_Zenteno	['1900', '1950']
Los Abandoned	/wiki/Los_Abandoned	['1900', '1950']
Américo	/wiki/Am%C3%A9rico	['1900', '1950']
Tom Araya	/wiki/Tom_Araya	['1900', '1950']
Claudio Arrau	/wiki/Claudio_Arrau	['1900', '1950']
Germán Casas	/wiki/Germ%C3%A1n_Casas	['1900', '1950']
Beto Cuevas	/wiki/Beto_Cuevas	['1900', '1950']
Lucho Gatica	/wiki/Lucho_Gatica	['1900', '1950']
Eduardo Gatti	/wiki/Eduardo_Gatti	['1900', '1950']
Jorge González	/wiki/Jorge_Gonz%C3%A1lez_(musician)	['1900', '1950']
Rod Gonzalez	/wiki/Rod_Gonzalez	['1900', '1950']
Alberto Guerrero	/wiki/Alberto_Guerrero	['1900', '1950']
Myriam Hernández	/wiki/Myriam_Hern%C3%A1ndez	['1900', '1950']
Alicia Ika	/wiki/Alicia_Ika	['1900', '1950']
Pascuala Ilabaca	/wiki/Pascuala_Ilabaca	['1900', '1950']
Inti-Illimani	/wiki/Inti-Illimani	['1900', '1950']
Víctor Jara	/wiki/V%C3%ADctor_Jara	['1900', '1950']
Alain Johannes	/wiki/Alain_Johannes	['1900', '1950']
Rafael Manríquez	/wiki/Rafael_Manr%C3%ADquez	['1900', '1950']
DJ Méndez	/wiki/DJ_M%C3%A9ndez	['1900', '1950']
La Noche	/wiki/La_Noche	['1900', '1950']
Chañaral Ortega-Miranda	/wiki/Cha%C3%B1aral_Ortega-Miranda	['1900', '1950']
Ángel Parra	/wiki/%C3%81ngel_Parra	['1900', '1950']
Isabel Parra	/wiki/Isabel_Parra	['1900', '1950']
Javiera Parra	/wiki/Javiera_Parra	['1900', '1950']
Violeta Parra	/wiki/Violeta_Parra	['1900', '1950']
Antonio Prieto	/wiki/Antonio_Prieto_(Chilean_actor)	['1900', '1950']
Quilapayún	/wiki/Quilapay%C3%BAn	['1900', '1950']
Leo Rey	/wiki/Leo_Rey	['1900', '1950']
Alejandro Silva	/wiki/Alejandro_Silva_(musician)	['1900', '1950']
Saiko	/wiki/Saiko_(band)	['1900', '1950']
Clara Solovera	/wiki/Clara_Solovera	['1909', '1992']
Esther Soré	/wiki/Esther_Sor%C3%A9	['1915', '1996']
Fernando Ubiergo	/wiki/Fernando_Ubiergo	['1900', '1950']
Francisca Valenzuela	/wiki/Francisca_Valenzuela	['1900', '1950']
Ricardo Villalobos	/wiki/Ricardo_Villalobos	['1900', '1950']
Verónica Villarroel	/wiki/Ver%C3%B3nica_Villarroel	['1900', '1950']
Ramón Vinay	/wiki/Ram%C3%B3n_Vinay	['1900', '1950']
Javiera Mena	/wiki/Javiera_Mena	['1900', '1950']
Mon Laferte	/wiki/Mon_Laferte	['1900', '1950']
Claudio Bravo	/wiki/Claudio_Bravo_(painter)	['1936', '2011']
Carlos Catasse	/wiki/Carlos_Catasse	['1900', '1950']
Marta Colvin	/wiki/Marta_Colvin	['1900', '1950']
Alfredo Jaar	/wiki/Alfredo_Jaar	['1900', '1950']
Olga Lehmann	/wiki/Olga_Lehmann	['1900', '1950']
Roberto Matta	/wiki/Roberto_Matta	['1900', '1950']
Camilo Mori	/wiki/Camilo_Mori	['1900', '1950']
Carlos Sotomayor	/wiki/Carlos_Sotomayor	['1900', '1950']
Miguel Venegas	/wiki/Miguel_Venegas	['1900', '1950']
Juana Rosa Aguirre	/wiki/Juana_Rosa_Aguirre	['1900', '1950']
Arturo Alessandri	/wiki/Arturo_Alessandri	['1900', '1950']
Jorge Alessandri	/wiki/Jorge_Alessandri	['1900', '1950']
Salvador Allende	/wiki/Salvador_Allende	['1900', '1950']
Clodomiro Almeyda	/wiki/Clodomiro_Almeyda	['1900', '1950']
Soledad Alvear	/wiki/Soledad_Alvear	['1900', '1950']
Michelle Bachelet	/wiki/Michelle_Bachelet	['1900', '1950']
Carlos Dávila	/wiki/Carlos_D%C3%A1vila	['1900', '1950']
Florencio Durán	/wiki/Florencio_Dur%C3%A1n	['1900', '1950']
Fernando Flores	/wiki/Fernando_Flores	['1900', '1950']
Gabriel González Videla	/wiki/Gabriel_Gonz%C3%A1lez_Videla	['1946', '1952']
Jaime Guzmán	/wiki/Jaime_Guzm%C3%A1n	['1900', '1950']
Tomás Hirsch	/wiki/Tom%C3%A1s_Hirsch	['1900', '1950']
José Miguel Insulza	/wiki/Jos%C3%A9_Miguel_Insulza	['1900', '1950']
Carlos Keller	/wiki/Carlos_Keller	['1900', '1950']
Joaquín Lavín	/wiki/Joaqu%C3%ADn_Lav%C3%ADn	['1900', '1950']
Orlando Letelier	/wiki/Orlando_Letelier	['1900', '1950']
Gladys Marín	/wiki/Gladys_Mar%C3%ADn	['1900', '1950']
Sebastián Piñera	/wiki/Sebasti%C3%A1n_Pi%C3%B1era	['1900', '1950']
Anibal Pinto	/wiki/Anibal_Pinto	['1876', '1881']
Augusto Pinochet	/wiki/Augusto_Pinochet	['1900', '1950']
Diego Portales	/wiki/Diego_Portales	['1900', '1950']
Juan Antonio Ríos	/wiki/Juan_Antonio_R%C3%ADos	['1888', '1946']
Laura Rodríguez	/wiki/Laura_Rodr%C3%ADguez	['1900', '1950']
Camila Vallejo	/wiki/Camila_Vallejo	['1900', '1950']
Chris Watson	/wiki/Chris_Watson	['1900', '1950']
Adolfo Zaldívar	/wiki/Adolfo_Zald%C3%ADvar	['1900', '1950']
Andrés Zaldívar	/wiki/Andr%C3%A9s_Zald%C3%ADvar	['1900', '1950']
Rodolfo Acevedo	/wiki/Rodolfo_Acevedo	['1900', '1950']
Juana Fernández del Solar	/wiki/Juana_Fern%C3%A1ndez_del_Solar	['1900', '1950']
Carlos Camus	/wiki/Carlos_Camus	['1900', '1950']
Francisco Javier Errázuriz Ossa	/wiki/Francisco_Javier_Err%C3%A1zuriz_Ossa	['1900', '1950']
Juan Francisco Fresno	/wiki/Juan_Francisco_Fresno	['1900', '1950']
