text	link	year
Daniel Elmen	/wiki/Daniel_Elmen	['1885', '1932']
Nikolay Fyodorov	/wiki/Nikolay_Fyodorov_(politician)	['1900', '1950']
Vasily Chapayev	/wiki/Vasily_Chapayev	['1900', '1950']
Nikita Bichurin	/wiki/Nikita_Bichurin	['1777', '1853']
Ivan Yakovlev	/wiki/Ivan_Yakovlev_(educator)	['1848', '1930']
Gennady Volkov	/wiki/Gennady_Volkov_(educator)	['1927', '2010']
Nikolai Yut	/wiki/Nikolai_Yut	['1900', '1950']
Tany Youne	/wiki/Tany_Youne	['1903', '1977']
Boris Markov	/wiki/Boris_Markov	['1900', '1950']
Nadezhda Pavlova	/wiki/Nadezhda_Pavlova	['1900', '1950']
Nikolai Ovchinnikov	/wiki/Nikolai_Ovchinnikov	['1918', '2004']
Praski Vitti	/wiki/Praski_Vitti	['1900', '1950']
Gerasim Pileš	/wiki/Gerasim_Pile%C5%A1	['1913', '1994']
Konstantin Vasilyevich Ivanov	/wiki/Konstantin_Vasilyevich_Ivanov	['1890', '1915']
Mišši Śeśpĕl	/wiki/Mi%C5%A1%C5%A1i_%C5%9Ae%C5%9Bp%C4%95l	['1899', '1922']
Dimitri Isayev	/wiki/Dimitri_Isayev_(writer)	['1905', '1930']
Ille Toktash	/wiki/Ille_Toktash	['1907', '1957']
Anatoly Serep	/wiki/Anatoly_Serep	['1920', '2003']
Alexander Artemiev	/wiki/Alexander_Artemiev	['1924', '1998']
Arkady Malov	/wiki/Arkady_Malov	['1928', '1995']
Gennadiy Aygi	/wiki/Gennadiy_Aygi	['1934', '2006']
Vasley Mitta	/wiki/Vasley_Mitta	['1908', '1957']
Nikifor Mran'ka	/wiki/Nikifor_Mran%27ka	['1901', '1973']
Lyudmila Vasilyeva	/wiki/Lyudmila_Vasilyeva	['1930', '1949']
Andrian Nikolayev	/wiki/Andrian_Nikolayev	['1929', '2004']
Svetlana Chirkova-Lozovaya	/wiki/Svetlana_Chirkova-Lozovaya	['1900', '1950']
Olimpiada Ivanova	/wiki/Olimpiada_Ivanova	['1900', '1950']
Irina Kalentyeva	/wiki/Irina_Kalentyeva	['1900', '1950']
