text	link	year
Jorge Enrique Abello	/wiki/Jorge_Enrique_Abello	['1968', '2025']
Carolina Acevedo	/wiki/Carolina_Acevedo	['1979', '2025']
Julián Arango	/wiki/Juli%C3%A1n_Arango	['1968', '2025']
Yancey Arias	/wiki/Yancey_Arias	['1971', '2025']
Víctor Hugo Cabrera	/wiki/V%C3%ADctor_Hugo_Cabrera	['1968', '2025']
Manolo Cardona	/wiki/Manolo_Cardona	['1977', '2025']
Margalida Castro	/wiki/Margalida_Castro	['1943', '2025']
Angie Cepeda	/wiki/Angie_Cepeda	['1974', '2025']
Catalina Denis	/wiki/Catalina_Denis	['1985', '2025']
Robinson Díaz	/wiki/Robinson_D%C3%ADaz	['1978', '2025']
Nikki Delano	/wiki/Nikki_Delano	['1986', '2025']
María Elena Döehring	/wiki/Mar%C3%ADa_Elena_D%C3%B6ehring	['1962', '2025']
Juan Pablo Espinosa	/wiki/Juan_Pablo_Espinosa	['1980', '2025']
Margarita Rosa de Francisco	/wiki/Margarita_Rosa_de_Francisco	['1965', '2025']
Isabella Gomez	/wiki/Isabella_Gomez	['1998', '2025']
Juan Pablo Gamboa	/wiki/Juan_Pablo_Gamboa	['1966', '2025']
Paula Garcés	/wiki/Paula_Garc%C3%A9s	['1974', '2025']
Aura Cristina Geithner	/wiki/Aura_Cristina_Geithner	['1967', '2025']
Carla Giraldo	/wiki/Carla_Giraldo	['1986', '2025']
Amparo Grisales	/wiki/Amparo_Grisales	['1956', '2025']
Teresa Gutiérrez	/wiki/Teresa_Guti%C3%A9rrez	['1928', '2010']
Zulay Henao	/wiki/Zulay_Henao	['1979', '2025']
Vicky Hernández	/wiki/Vicky_Hern%C3%A1ndez	['1945', '2025']
Ana María Kamper	/wiki/Ana_Mar%C3%ADa_Kamper	['1964', '2025']
John Leguizamo	/wiki/John_Leguizamo	['1964', '2025']
Luis Mesa	/wiki/Luis_Mesa	['1968', '2025']
Ana María Orozco	/wiki/Ana_Mar%C3%ADa_Orozco	['1973', '2025']
Juan Pablo Raba	/wiki/Juan_Pablo_Raba	['1977', '2025']
Catalina Sandino Moreno	/wiki/Catalina_Sandino_Moreno	['1981', '2025']
Isabella Santo Domingo	/wiki/Isabella_Santo_Domingo	['1967', '2025']
Juan Pablo Shuk	/wiki/Juan_Pablo_Shuk	['1965', '2025']
Paola Turbay	/wiki/Paola_Turbay	['1970', '2025']
Miguel Varoni	/wiki/Miguel_Varoni	['1964', '2025']
Sofía Vergara	/wiki/Sof%C3%ADa_Vergara	['1972', '2025']
María Fernanda Yépez	/wiki/Mar%C3%ADa_Fernanda_Y%C3%A9pez	['1980', '2025']
Daniel Bermúdez Samper	/wiki/Daniel_Berm%C3%BAdez_Samper	['1950', '2025']
Rafael Esguerra	/wiki/Rafael_Esguerra	['1923', '2025']
Raúl Fajardo Moreno	/wiki/Ra%C3%BAl_Fajardo_Moreno	['1929', '2012']
Giancarlo Mazzanti	/wiki/Giancarlo_Mazzanti	['1963', '2025']
Rogelio Salmona	/wiki/Rogelio_Salmona	['1929', '2007']
Simón Vélez	/wiki/Sim%C3%B3n_V%C3%A9lez	['1949', '2025']
Ricardo Acevedo Bernal	/wiki/Ricardo_Acevedo_Bernal	['1867', '1930']
Rodrigo Arenas Betancur	/wiki/Rodrigo_Arenas_Betancur	['1919', '1995']
Fernando Botero Angulo	/wiki/Fernando_Botero_Angulo	['1932', '2025']
Miguel Gómez	/wiki/Miguel_G%C3%B3mez_(photographer)	['1974', '2025']
Pedro Nel Gómez Agudelo	/wiki/Pedro_Nel_G%C3%B3mez_Agudelo	['1889', '1989']
Enrique Grau Araújo	/wiki/Enrique_Grau_Ara%C3%BAjo	['1920', '2004']
Santiago Martínez Delgado	/wiki/Santiago_Mart%C3%ADnez_Delgado	['1906', '1954']
Leo Matiz	/wiki/Leo_Matiz	['1917', '1998']
Édgar Negret Dueñas	/wiki/%C3%89dgar_Negret_Due%C3%B1as	['1920', '2012']
Alejandro Obregón Roses	/wiki/Alejandro_Obreg%C3%B3n_Roses	['1920', '1992']
Andrés de Santa María Hurtado	/wiki/Andr%C3%A9s_de_Santa_Mar%C3%ADa_Hurtado	['1860', '1945']
Silvia Tcherassi Solano	/wiki/Silvia_Tcherassi_Solano	['1965', '2025']
Jorge Barón	/wiki/Jorge_Bar%C3%B3n	['1948', '2025']
Félix de Bedout	/wiki/F%C3%A9lix_de_Bedout	['1964', '2025']
Ilia Calderón	/wiki/Ilia_Calder%C3%B3n	['1972', '2025']
Silvia Corzo	/wiki/Silvia_Corzo	['1973', '2025']
Natalia Cruz	/wiki/Natalia_Cruz	['1976', '2025']
Abel González Chávez	/wiki/Abel_Gonz%C3%A1lez_Ch%C3%A1vez	['1943', '2025']
Juan Gossaín	/wiki/Juan_Gossa%C3%ADn	['1949', '2025']
Fernando González Pacheco	/wiki/Fernando_Gonz%C3%A1lez_Pacheco	['1932', '2014']
Alfonso Lizarazo	/wiki/Alfonso_Lizarazo	['1940', '2025']
María Lucía Fernández	/wiki/Mar%C3%ADa_Luc%C3%ADa_Fern%C3%A1ndez	['1968', '2025']
Patricia Janiot	/wiki/Patricia_Janiot	['1963', '2025']
Hernán Orjuela	/wiki/Hern%C3%A1n_Orjuela	['1957', '2025']
Claudia Palacios	/wiki/Claudia_Palacios	['1977', '2025']
Julio Sánchez Cristo	/wiki/Julio_S%C3%A1nchez_Cristo	['1958', '2025']
