text	link	year
Limonese Creole	/wiki/Limonese_Creole	['1900', '1950']
Bribri language	/wiki/Bribri_language	['1900', '1950']
Jamaican Patois	/wiki/Jamaican_Patois	['1900', '1950']
Mulatto	/wiki/Mulatto	['1900', '1950']
wikt:Special:Search/Costa Rica	https://en.wiktionary.org/wiki/Special:Search/Costa_Rica	['1900', '1950']
c:Special:Search/Costa Rica	https://commons.wikimedia.org/wiki/Special:Search/Costa_Rica	['1900', '1950']
n:Special:Search/Costa Rica	https://en.wikinews.org/wiki/Special:Search/Costa_Rica	['1900', '1950']
q:Special:Search/Costa Rica	https://en.wikiquote.org/wiki/Special:Search/Costa_Rica	['1900', '1950']
s:Special:Search/Costa Rica	https://en.wikisource.org/wiki/Special:Search/Costa_Rica	['1900', '1950']
b:Special:Search/Costa Rica	https://en.wikibooks.org/wiki/Special:Search/Costa_Rica	['1900', '1950']
voy:Costa Rica	https://en.wikivoyage.org/wiki/Costa_Rica#Q800	['1900', '1950']
v:Special:Search/Costa Rica	https://en.wikiversity.org/wiki/Special:Search/Costa_Rica	['1900', '1950']
Template:Costa Rica topics	/wiki/Template:Costa_Rica_topics	['1900', '1950']
Template talk:Costa Rica topics	/wiki/Template_talk:Costa_Rica_topics	['1900', '1950']
Liberal State	/wiki/Liberal_State	['1900', '1950']
Reform State	/wiki/Reform_State	['1900', '1950']
Noble patria, tu hermosa bandera	/wiki/Noble_patria,_tu_hermosa_bandera	['1900', '1950']
