text	link	year
Viktor Axmann	/wiki/Viktor_Axmann	['1900', '1950']
Nikola Bašić	/wiki/Nikola_Ba%C5%A1i%C4%87	['1900', '1950']
Vjekoslav Bastl	/wiki/Vjekoslav_Bastl	['1900', '1950']
Julio Deutsch	/wiki/Julio_Deutsch	['1900', '1950']
Hugo Ehrlich	/wiki/Hugo_Ehrlich	['1900', '1950']
Ignjat Fischer	/wiki/Ignjat_Fischer	['1900', '1950']
Stjepan Gomboš	/wiki/Stjepan_Gombo%C5%A1	['1900', '1950']
Vjekoslav Heinzel	/wiki/Vjekoslav_Heinzel	['1900', '1950']
Leo Hönigsberg	/wiki/Leo_H%C3%B6nigsberg	['1900', '1950']
Lavoslav Horvat	/wiki/Lavoslav_Horvat	['1900', '1950']
Drago Ibler	/wiki/Drago_Ibler	['1900', '1950']
Viktor Kovačić	/wiki/Viktor_Kova%C4%8Di%C4%87	['1900', '1950']
Slavko Löwy	/wiki/Slavko_L%C3%B6wy	['1900', '1950']
Rudolf Lubinski	/wiki/Rudolf_Lubinski	['1900', '1950']
Paskoje Miličević Mihov	/wiki/Paskoje_Mili%C4%8Devi%C4%87_Mihov	['1900', '1950']
Vlado Milunić	/wiki/Vlado_Miluni%C4%87	['1900', '1950']
Juraj Neidhardt	/wiki/Juraj_Neidhardt	['1900', '1950']
Velimir Neidhardt	/wiki/Velimir_Neidhardt	['1900', '1950']
Stjepan Planić	/wiki/Stjepan_Plani%C4%87	['1900', '1950']
Vjenceslav Richter	/wiki/Vjenceslav_Richter	['1900', '1950']
Vladimir Šterk	/wiki/Vladimir_%C5%A0terk	['1900', '1950']
Anđeo Lovrov Zadranin	/wiki/An%C4%91eo_Lovrov_Zadranin	['1900', '1950']
Antun Augustinčić	/wiki/Antun_Augustin%C4%8Di%C4%87	['1900', '1950']
Lujo Bezeredi	/wiki/Lujo_Bezeredi	['1900', '1950']
Andrija Buvina	/wiki/Andrija_Buvina	['1900', '1950']
Ante Dabro	/wiki/Ante_Dabro	['1900', '1950']
Juraj Dalmatinac	/wiki/Juraj_Dalmatinac	['1900', '1950']
Branislav Dešković	/wiki/Branislav_De%C5%A1kovi%C4%87	['1900', '1950']
Ivan Duknović	/wiki/Ivan_Duknovi%C4%87	['1900', '1950']
Dušan Džamonja	/wiki/Du%C5%A1an_D%C5%BEamonja	['1900', '1950']
Robert Frangeš-Mihanović	/wiki/Robert_Frange%C5%A1-Mihanovi%C4%87	['1900', '1950']
Ivo Kerdić	/wiki/Ivo_Kerdi%C4%87	['1900', '1950']
Albert Kinert	/wiki/Albert_Kinert	['1900', '1950']
Ivan Kožarić	/wiki/Ivan_Ko%C5%BEari%C4%87	['1900', '1950']
Frano Kršinić	/wiki/Frano_Kr%C5%A1ini%C4%87	['1900', '1950']
Vasko Lipovac	/wiki/Vasko_Lipovac	['1900', '1950']
Ivan Meštrović	/wiki/Ivan_Me%C5%A1trovi%C4%87	['1900', '1950']
Oscar Nemon	/wiki/Oscar_Nemon	['1900', '1950']
Dimitrije Popović	/wiki/Dimitrije_Popovi%C4%87	['1900', '1950']
Kosta Angeli Radovani	/wiki/Kosta_Angeli_Radovani	['1900', '1950']
Vanja Radauš	/wiki/Vanja_Radau%C5%A1	['1900', '1950']
Radovan	/wiki/Radovan_(master)	['1900', '1950']
Ivan Rendić	/wiki/Ivan_Rendi%C4%87	['1900', '1950']
Toma Rosandić	/wiki/Toma_Rosandi%C4%87	['1900', '1950']
Branko Ružić	/wiki/Branko_Ru%C5%BEi%C4%87_(sculptor)	['1900', '1950']
Ivan Sabolić	/wiki/Ivan_Saboli%C4%87	['1900', '1950']
Petar Smajić	/wiki/Petar_Smaji%C4%87	['1900', '1950']
Aleksandar Srnec	/wiki/Aleksandar_Srnec	['1900', '1950']
Marija Ujević-Galetović	/wiki/Marija_Ujevi%C4%87-Galetovi%C4%87	['1900', '1950']
Maksimilijan Vanka	/wiki/Maksimilijan_Vanka	['1900', '1950']
Francesco Laurana	/wiki/Francesco_Laurana	['1900', '1950']
Oskar Alexander	/wiki/Oskar_Alexander	['1900', '1950']
Lovro Artuković	/wiki/Lovro_Artukovi%C4%87	['1900', '1950']
Vladimir Becić	/wiki/Vladimir_Beci%C4%87	['1900', '1950']
Federiko Benković	/wiki/Federiko_Benkovi%C4%87	['1900', '1950']
Lujo Bezeredi	/wiki/Lujo_Bezeredi	['1900', '1950']
Charles Billich	/wiki/Charles_Billich	['1900', '1950']
Nikola Božidarević	/wiki/Nikola_Bo%C5%BEidarevi%C4%87	['1900', '1950']
Vlaho Bukovac	/wiki/Vlaho_Bukovac	['1900', '1950']
Eugen Buktenica	/wiki/Eugen_Buktenica	['1900', '1950']
Bela Čikoš Sesija	/wiki/Bela_%C4%8Ciko%C5%A1_Sesija	['1900', '1950']
Menci Clement Crnčić	/wiki/Menci_Clement_Crn%C4%8Di%C4%87	['1900', '1950']
Josip Crnobori	/wiki/Josip_Crnobori	['1900', '1950']
Lovro Dobričević	/wiki/Lovro_Dobri%C4%8Devi%C4%87	['1900', '1950']
Jelena Dorotka	/wiki/Jelena_Dorotka	['1900', '1950']
Davor Džalto	/wiki/Davor_D%C5%BEalto	['1900', '1950']
Marta Ehrlich	/wiki/Marta_Ehrlich	['1900', '1950']
Emerik Feješ	/wiki/Emerik_Feje%C5%A1	['1900', '1950']
Eva Fischer	/wiki/Eva_Fischer	['1900', '1950']
Alen Floričić	/wiki/Alen_Flori%C4%8Di%C4%87	['1900', '1950']
Dragan Gaži	/wiki/Dragan_Ga%C5%BEi	['1900', '1950']
Vilko Gecan	/wiki/Vilko_Gecan	['1900', '1950']
Ivan Generalić	/wiki/Ivan_Generali%C4%87	['1900', '1950']
Josip Generalić	/wiki/Josip_Generali%C4%87	['1900', '1950']
Oton Gliha	/wiki/Oton_Gliha	['1900', '1950']
Petar Grgec	/wiki/Petar_Grgec	['1900', '1950']
Krsto Hegedušić	/wiki/Krsto_Hegedu%C5%A1i%C4%87	['1900', '1950']
Oskar Herman	/wiki/Oskar_Herman	['1900', '1950']
Josip Horvat Međimurec	/wiki/Josip_Horvat_Me%C4%91imurec	['1900', '1950']
Mirko Ilić	/wiki/Mirko_Ili%C4%87	['1900', '1950']
Nina Ivančić	/wiki/Nina_Ivan%C4%8Di%C4%87	['1900', '1950']
Oton Iveković	/wiki/Oton_Ivekovi%C4%87	['1900', '1950']
Marijan Jevšovar	/wiki/Marijan_Jev%C5%A1ovar	['1900', '1950']
Ignjat Job	/wiki/Ignjat_Job	['1900', '1950']
Drago Jurak	/wiki/Drago_Jurak	['1900', '1950']
Gabrijel Jurkić	/wiki/Gabrijel_Jurki%C4%87	['1900', '1950']
Vjekoslav Karas	/wiki/Vjekoslav_Karas	['1900', '1950']
Albert Kinert	/wiki/Albert_Kinert	['1900', '1950']
Željko Kipke	/wiki/%C5%BDeljko_Kipke	['1900', '1950']
