text	link	year
Ana Margarita Martínez-Casado	/wiki/Ana_Margarita_Mart%C3%ADnez-Casado	['1900', '1950']
Andy García	/wiki/Andy_Garc%C3%ADa	['1900', '1950']
César Évora	/wiki/C%C3%A9sar_%C3%89vora	['1900', '1950']
Daisy Fuentes	/wiki/Daisy_Fuentes	['1900', '1950']
Desi Arnaz	/wiki/Desi_Arnaz	['1900', '1950']
Emiliano Díez	/wiki/Emiliano_D%C3%ADez	['1900', '1950']
Enrique Molina	/wiki/Enrique_Molina_(actor)	['1900', '1950']
Faizon Love	/wiki/Faizon_Love	['1900', '1950']
Francisco Gattorno	/wiki/Francisco_Gattorno	['1900', '1950']
Julio Oscar Mechoso	/wiki/Julio_Oscar_Mechoso	['1900', '1950']
Luis Oquendo	/wiki/Luis_Oquendo	['1900', '1950']
Luisa Martínez Casado	/wiki/Luisa_Mart%C3%ADnez_Casado	['1860', '1925']
Manela Bustamante	/wiki/Manela_Bustamante	['1900', '1950']
María Conchita Alonso	/wiki/Mar%C3%ADa_Conchita_Alonso	['1900', '1950']
Mario Cimarro	/wiki/Mario_Cimarro	['1900', '1950']
Mario Ernesto Sánchez	/wiki/Mario_Ernesto_S%C3%A1nchez	['1900', '1950']
Renny Arozarena	/wiki/Renny_Arozarena	['1900', '1950']
Steven Bauer	/wiki/Steven_Bauer	['1900', '1950']
Velia Martínez	/wiki/Velia_Mart%C3%ADnez	['1900', '1950']
William Levy	/wiki/William_Levy_(actor)	['1900', '1950']
Raúl de Armas	/wiki/Ra%C3%BAl_de_Armas	['1900', '1950']
Max Borges Jr.	/wiki/Max_Borges_Jr.	['1900', '1950']
Max Borges del Junco	/wiki/Max_Borges_del_Junco	['1900', '1950']
Felicia Chateloin	/wiki/Felicia_Chateloin	['1900', '1950']
Leonardo Morales y Pedroso	/wiki/Leonardo_Morales_y_Pedroso	['1900', '1950']
Ricardo Porro	/wiki/Ricardo_Porro	['1900', '1950']
Nicolas Arroyo	/wiki/Nicolas_Arroyo	['1900', '1950']
Agustín Cárdenas	/wiki/Agust%C3%ADn_C%C3%A1rdenas	['1900', '1950']
Alberto Korda	/wiki/Alberto_Korda	['1900', '1950']
Alexandre Arrechea	/wiki/Alexandre_Arrechea	['1900', '1950']
Amelia Peláez	/wiki/Amelia_Pel%C3%A1ez	['1900', '1950']
Carlos Enríquez	/wiki/Carlos_Enr%C3%ADquez	['1900', '1950']
Fidelio Ponce de León	/wiki/Fidelio_Ponce_de_Le%C3%B3n	['1900', '1950']
Herman Puig	/wiki/Herman_Puig	['1900', '1950']
Humberto Jesús Castro García	/wiki/Humberto_Jes%C3%BAs_Castro_Garc%C3%ADa	['1900', '1950']
José Bernal	/wiki/Jos%C3%A9_Bernal	['1900', '1950']
José Vilalta Saavedra	/wiki/Jos%C3%A9_Vilalta_Saavedra	['1900', '1950']
Josignacio	/wiki/Josignacio	['1900', '1950']
Juan José Sicre	/wiki/Juan_Jos%C3%A9_Sicre	['1900', '1950']
Juan T. Vázquez Martín	/wiki/Juan_T._V%C3%A1zquez_Mart%C3%ADn	['1900', '1950']
Luis Castaneda	/wiki/Luis_Castaneda	['1900', '1950']
Mario Perez	/wiki/Mario_Perez_(artist)	['1900', '1950']
Pedro Álvarez Castelló	/wiki/Pedro_%C3%81lvarez_Castell%C3%B3	['1900', '1950']
Raúl Corrales	/wiki/Ra%C3%BAl_Corrales	['1900', '1950']
Raúl Martínez	/wiki/Ra%C3%BAl_Mart%C3%ADnez_(artist)	['1900', '1950']
Rene Mederos	/wiki/Rene_Mederos	['1900', '1950']
René Portocarrero	/wiki/Ren%C3%A9_Portocarrero	['1900', '1950']
Tomas Sanchez	/wiki/Tomas_Sanchez	['1900', '1950']
Victor Manuel	/wiki/Victor_Manuel	['1900', '1950']
Waldo Diaz-Balart	/wiki/Waldo_Diaz-Balart	['1900', '1950']
Wifredo Lam	/wiki/Wifredo_Lam	['1900', '1950']
Antonio Benitez-Rojo	/wiki/Antonio_Benitez-Rojo	['1900', '1950']
Daína Chaviano	/wiki/Da%C3%ADna_Chaviano	['1900', '1950']
Carilda Oliver Labra	/wiki/Carilda_Oliver_Labra	['1900', '1950']
Dulce María Loynaz	/wiki/Dulce_Mar%C3%ADa_Loynaz	['1900', '1950']
Edmundo Desnoes	/wiki/Edmundo_Desnoes	['1900', '1950']
Gertrudis Gómez de Avellaneda	/wiki/Gertrudis_G%C3%B3mez_de_Avellaneda	['1900', '1950']
Gilda Antonia Guillen	/wiki/Gilda_Antonia_Guillen	['1900', '1950']
Guillermo Cabrera Infante	/wiki/Guillermo_Cabrera_Infante	['1900', '1950']
Heberto Padilla	/wiki/Heberto_Padilla	['1900', '1950']
Héctor Zumbado	/wiki/H%C3%A9ctor_Zumbado	['1900', '1950']
José Ignacio Rivero	/wiki/Jos%C3%A9_Ignacio_Rivero	['1900', '1950']
Antonio Rodríguez Salvador	/wiki/Antonio_Rodr%C3%ADguez_Salvador	['1900', '1950']
José Lezama Lima	/wiki/Jos%C3%A9_Lezama_Lima	['1900', '1950']
José María Heredia y Campuzano	/wiki/Jos%C3%A9_Mar%C3%ADa_Heredia_y_Campuzano	['1900', '1950']
José Martí	/wiki/Jos%C3%A9_Mart%C3%AD	['1900', '1950']
Julián del Casal	/wiki/Juli%C3%A1n_del_Casal	['1900', '1950']
Leonardo Padura Fuentes	/wiki/Leonardo_Padura_Fuentes	['1900', '1950']
Mariano Brull	/wiki/Mariano_Brull	['1900', '1950']
Nancy Morejón	/wiki/Nancy_Morej%C3%B3n	['1900', '1950']
José Gómez-Sicre	/wiki/Jos%C3%A9_G%C3%B3mez-Sicre	['1900', '1950']
Nicolás Guillén	/wiki/Nicol%C3%A1s_Guill%C3%A9n	['1900', '1950']
Norberto Fuentes	/wiki/Norberto_Fuentes	['1900', '1950']
Pedro Juan Gutiérrez	/wiki/Pedro_Juan_Guti%C3%A9rrez	['1900', '1950']
Pedro Luis Boitel	/wiki/Pedro_Luis_Boitel	['1900', '1950']
Raúl Rivero	/wiki/Ra%C3%BAl_Rivero	['1900', '1950']
Reinaldo Arenas	/wiki/Reinaldo_Arenas	['1900', '1950']
Severo Sarduy	/wiki/Severo_Sarduy	['1900', '1950']
Virgilio Piñera	/wiki/Virgilio_Pi%C3%B1era	['1900', '1950']
Zoé Valdés	/wiki/Zo%C3%A9_Vald%C3%A9s	['1900', '1950']
Alejandro García Caturla	/wiki/Alejandro_Garc%C3%ADa_Caturla	['1900', '1950']
Mariá Álvarez Rios	/wiki/Mari%C3%A1_%C3%81lvarez_Rios	['1900', '1950']
Antonio María Romeu	/wiki/Antonio_Mar%C3%ADa_Romeu	['1900', '1950']
Arsenio Rodríguez	/wiki/Arsenio_Rodr%C3%ADguez	['1900', '1950']
Didier Hernández	/wiki/Didier_Hern%C3%A1ndez	['1900', '1950']
Ernesto Lecuona	/wiki/Ernesto_Lecuona	['1900', '1950']
Esteban Salas y Castro	/wiki/Esteban_Salas_y_Castro	['1900', '1950']
Gonzalo Roig	/wiki/Gonzalo_Roig	['1900', '1950']
Ignacio Cervantes	/wiki/Ignacio_Cervantes	['1900', '1950']
José White Lafitte	/wiki/Jos%C3%A9_White_Lafitte	['1900', '1950']
Leo Brouwer	/wiki/Leo_Brouwer	['1900', '1950']
Yalil Guerra	/wiki/Yalil_Guerra	['1900', '1950']
Amadeo Roldán	/wiki/Amadeo_Rold%C3%A1n	['1900', '1950']
Dámaso Pérez Prado	/wiki/D%C3%A1maso_P%C3%A9rez_Prado	['1900', '1950']
Armando Rodriguez-Gonzalez	/wiki/Armando_Rodriguez-Gonzalez	['1900', '1950']
Antonio Rodríguez Ferrer	/wiki/Antonio_Rodr%C3%ADguez_Ferrer	['1900', '1950']
René Touzet	/wiki/Ren%C3%A9_Touzet	['1900', '1950']
Armando Rodriguez Ruidiaz	/wiki/Armando_Rodriguez_Ruidiaz	['1900', '1950']
Flores Chaviano	/wiki/Flores_Chaviano	['1900', '1950']
Danilo Avilés	/wiki/Danilo_Avil%C3%A9s	['1900', '1950']
Magaly Ruiz	/wiki/Magaly_Ruiz	['1900', '1950']
José Ardévol	/wiki/Jos%C3%A9_Ard%C3%A9vol	['1900', '1950']
