text	link	year
Kyriacos A. Athanasiou	/wiki/Kyriacos_A._Athanasiou	['1960', '2025']
Ulus Baker	/wiki/Ulus_Baker	['1960', '2007']
Niyazi Berkes	/wiki/Niyazi_Berkes	['1908', '1988']
Gülsen Bozkurt	/wiki/G%C3%BClsen_Bozkurt	['1950', '2025']
Mustafa Djamgoz	/wiki/Mustafa_Djamgoz	['1952', '2025']
Mehmet Çakıcı	/wiki/Mehmet_%C3%87ak%C4%B1c%C4%B1	['1966', '2025']
Anastasios Christodoulou	/wiki/Anastasios_Christodoulou	['1900', '1950']
Andreas Demetriou	/wiki/Andreas_Demetriou	['1900', '1950']
Nicos Kartakoullis	/wiki/Nicos_Kartakoullis	['1900', '1950']
Niyazi Kızılyürek	/wiki/Niyazi_K%C4%B1z%C4%B1ly%C3%BCrek	['1959', '2025']
Kyriacos C. Markides	/wiki/Kyriacos_C._Markides	['1900', '1950']
Kypros Nicolaides	/wiki/Kypros_Nicolaides	['1953', '2025']
Kyriacos Costa Nicolaou	/wiki/Kyriacos_Costa_Nicolaou	['1946', '2025']
C. L. Max Nikias	/wiki/C._L._Max_Nikias	['1952', '2025']
Andreas G. Orphanides	/wiki/Andreas_G._Orphanides	['1955', '2025']
Athanasios Orphanides	/wiki/Athanasios_Orphanides	['1962', '2025']
Kamil Özerk	/wiki/Kamil_%C3%96zerk	['1954', '2025']
Irena Papadopoulos	/wiki/Irena_Papadopoulos	['1900', '1950']
Christopher A. Pissarides	/wiki/Christopher_A._Pissarides	['1948', '2025']
Andreas Pitsillides	/wiki/Andreas_Pitsillides	['1900', '1950']
Sophocles Sophocleous	/wiki/Sophocles_Sophocleous_(academic)	['1900', '1950']
Symeon C. Symeonides	/wiki/Symeon_C._Symeonides	['1949', '2025']
Marius Vassiliou	/wiki/Marius_Vassiliou	['1957', '2025']
Vamık Volkan	/wiki/Vam%C4%B1k_Volkan	['1932', '2025']
Panayiotis Zavos	/wiki/Panayiotis_Zavos	['1944', '2025']
Zeki Alasya	/wiki/Zeki_Alasya	['1900', '1950']
Angie Bowie	/wiki/Angie_Bowie	['1900', '1950']
Feri Cansel	/wiki/Feri_Cansel	['1900', '1950']
Hazar Ergüçlü	/wiki/Hazar_Erg%C3%BC%C3%A7l%C3%BC	['1900', '1950']
Dimitri Leonidas	/wiki/Dimitri_Leonidas	['1900', '1950']
Georgina Leonidas	/wiki/Georgina_Leonidas	['1900', '1950']
Stephanie Leonidas	/wiki/Stephanie_Leonidas	['1900', '1950']
Sotiris Moustakas	/wiki/Sotiris_Moustakas	['1940', '2007']
Ada Nicodemou	/wiki/Ada_Nicodemou	['1977', '2025']
Hal Ozsan	/wiki/Hal_Ozsan	['1900', '1950']
Peter Polycarpou	/wiki/Peter_Polycarpou	['1900', '1950']
Hannah Simone	/wiki/Hannah_Simone	['1900', '1950']
Ruzen Atakan	/wiki/Ruzen_Atakan	['1966', '2025']
Helene Black	/wiki/Helene_Black	['1900', '1950']
Michael Cacoyannis	/wiki/Michael_Cacoyannis	['1922', '2025']
Hussein Chalayan	/wiki/Hussein_Chalayan	['1970', '2025']
Chapman Brothers	/wiki/Chapman_Brothers	['1966', '2025']
Tracey Emin	/wiki/Tracey_Emin	['1963', '2025']
İsmet Güney	/wiki/%C4%B0smet_G%C3%BCney	['1932', '2025']
Panayiotis Kalorkoti	/wiki/Panayiotis_Kalorkoti	['1957', '2025']
Telemachos Kanthos	/wiki/Telemachos_Kanthos	['1910', '1993']
Stass Paraskos	/wiki/Stass_Paraskos	['1933', '2014']
Konstantia Sofokleous	/wiki/Konstantia_Sofokleous	['1974', '2025']
Stelarc	/wiki/Stelarc	['1946', '2025']
Derviş Zaim	/wiki/Dervi%C5%9F_Zaim	['1964', '2025']
Aristos Petrou	/wiki/Aristos_Petrou	['1990', '2025']
Suat Günsel	/wiki/Suat_G%C3%BCnsel	['1900', '1950']
Stelios Haji-Ioannou	/wiki/Stelios_Haji-Ioannou	['1900', '1950']
Dakis Joannou	/wiki/Dakis_Joannou	['1900', '1950']
Lycourgos Kyprianou	/wiki/Lycourgos_Kyprianou	['1900', '1950']
Asil Nadir	/wiki/Asil_Nadir	['1900', '1950']
Theo Paphitis	/wiki/Theo_Paphitis	['1900', '1950']
Roys Poyiadjis	/wiki/Roys_Poyiadjis	['1900', '1950']
Reo Stakis	/wiki/Reo_Stakis	['1900', '1950']
Sezer Yurtseven	/wiki/Sezer_Yurtseven	['1900', '1950']
Acesas	/wiki/Acesas	['1900', '1950']
Grigoris Afxentiou	/wiki/Grigoris_Afxentiou	['1900', '1950']
Altheides	/wiki/Altheides	['1900', '1950']
Barnabas	/wiki/Barnabas	['1900', '1950']
Caterina Cornaro	/wiki/Caterina_Cornaro	['1900', '1950']
Evagoras I	/wiki/Evagoras_I	['1900', '1950']
Stefano Lusignan	/wiki/Stefano_Lusignan	['1900', '1950']
Leontios Makhairas	/wiki/Leontios_Makhairas	['1900', '1950']
Kyriakos Matsis	/wiki/Kyriakos_Matsis	['1900', '1950']
Nicocreon	/wiki/Nicocreon	['1900', '1950']
Evagoras Pallikarides	/wiki/Evagoras_Pallikarides	['1900', '1950']
Abu Bekr Pasha	/wiki/Abu_Bekr_Pasha	['1900', '1950']
Kıbrıslı Mehmed Emin Pasha	/wiki/K%C4%B1br%C4%B1sl%C4%B1_Mehmed_Emin_Pasha	['1900', '1950']
Kıbrıslı Mehmed Kamil Pasha	/wiki/K%C4%B1br%C4%B1sl%C4%B1_Mehmed_Kamil_Pasha	['1883', '2025']
Persaeus	/wiki/Persaeus	['1900', '1950']
Sergius Paulus	/wiki/Sergius_Paulus	['1900', '1950']
Stasanor	/wiki/Stasanor	['1900', '1950']
Stasinus	/wiki/Stasinus	['1900', '1950']
Theodora	/wiki/Theodora_(6th_century)	['527', '548']
Solon Nikitas	/wiki/Solon_Nikitas	['1937', '2005']
Ivi Adamou	/wiki/Ivi_Adamou	['1900', '1950']
Peter Andre	/wiki/Peter_Andre	['1900', '1950']
Marlen Aggelidou	/wiki/Marlen_Aggelidou	['1900', '1950']
Lisa Andreas	/wiki/Lisa_Andreas	['1900', '1950']
Nil Burak	/wiki/Nil_Burak	['1900', '1950']
Konstantinos Christoforou	/wiki/Konstantinos_Christoforou	['1900', '1950']
Kemal Cetinay	/wiki/Kemal_Cetinay	['1900', '1950']
Philippos Constantinos	/wiki/Philippos_Constantinos	['1900', '1950']
Tulisa Contostavlos	/wiki/Tulisa_Contostavlos	['1900', '1950']
Beyhan Demirdağ Alkan	/wiki/Beyhan_Demirda%C4%9F_Alkan	['1900', '1950']
Diam's	/wiki/Diam%27s	['1900', '1950']
Nicolas Economou	/wiki/Nicolas_Economou	['1900', '1950']
Eleftheria Eleftheriou	/wiki/Eleftheria_Eleftheriou	['1900', '1950']
Elpida	/wiki/Elpida_(singer)	['1900', '1950']
Barry Evangeli	/wiki/Barry_Evangeli	['1900', '1950']
Evridiki	/wiki/Evridiki	['1900', '1950']
Michalis Hatzigiannis	/wiki/Michalis_Hatzigiannis	['1900', '1950']
Savvas Houvartas	/wiki/Savvas_Houvartas	['1900', '1950']
Alkinoos Ioannidis	/wiki/Alkinoos_Ioannidis	['1900', '1950']
Yusuf Islam	/wiki/Yusuf_Islam	['1900', '1950']
George Kallis	/wiki/George_Kallis	['1900', '1950']
Fikri Karayel	/wiki/Fikri_Karayel	['1900', '1950']
Mick Karn	/wiki/Mick_Karn	['1900', '1950']
Andreas G. Orphanides	/wiki/Andreas_G._Orphanides	['1900', '1950']
Cyprien Katsaris	/wiki/Cyprien_Katsaris	['1900', '1950']
Maria Elena Kiriakou	/wiki/Maria_Elena_Kiriakou	['1900', '1950']
Stelios Konstantas	/wiki/Stelios_Konstantas	['1900', '1950']
Stavros Konstantinou	/wiki/Stavros_Konstantinou	['1900', '1950']
George Michael	/wiki/George_Michael	['1900', '1950']
Stavros Michalakakos	/wiki/Stavros_Michalakakos	['1900', '1950']
Despina Olympiou	/wiki/Despina_Olympiou	['1900', '1950']
Alex Panayi	/wiki/Alex_Panayi	['1900', '1950']
Suicideboys	/wiki/Suicideboys	['1900', '1950']
Marianda Pieridi	/wiki/Marianda_Pieridi	['1900', '1950']
