text	link	year
Lída Baarová	/wiki/L%C3%ADda_Baarov%C3%A1	['1900', '1950']
Jiří Bartoška	/wiki/Ji%C5%99%C3%AD_Barto%C5%A1ka	['1900', '1950']
Vlasta Burian	/wiki/Vlasta_Burian	['1900', '1950']
Anna Geislerová	/wiki/Anna_Geislerov%C3%A1	['1900', '1950']
Nataša Gollová	/wiki/Nata%C5%A1a_Gollov%C3%A1	['1900', '1950']
Jiří Grossmann	/wiki/Ji%C5%99%C3%AD_Grossmann	['1900', '1950']
Miroslav Horníček	/wiki/Miroslav_Horn%C3%AD%C4%8Dek	['1900', '1950']
Rudolf Hrušínský	/wiki/Rudolf_Hru%C5%A1%C3%ADnsk%C3%BD	['1900', '1950']
Zorka Janů	/wiki/Zorka_Jan%C5%AF	['1900', '1950']
Petr Kostka	/wiki/Petr_Kostka	['1900', '1950']
Herbert Lom	/wiki/Herbert_Lom	['1900', '1950']
Adina Mandlová	/wiki/Adina_Mandlov%C3%A1	['1900', '1950']
Vladimír Menšík	/wiki/Vladim%C3%ADr_Men%C5%A1%C3%ADk	['1900', '1950']
Gustav Nezval	/wiki/Gustav_Nezval	['1900', '1950']
David Nykl	/wiki/David_Nykl	['1900', '1950']
Anny Ondra	/wiki/Anny_Ondra	['1900', '1950']
Karel Roden	/wiki/Karel_Roden	['1900', '1950']
Libuše Šafránková	/wiki/Libu%C5%A1e_%C5%A0afr%C3%A1nkov%C3%A1	['1900', '1950']
Jan Tříska	/wiki/Jan_T%C5%99%C3%ADska	['1900', '1950']
Tatiana Vilhelmová	/wiki/Tatiana_Vilhelmov%C3%A1	['1900', '1950']
Eduard Vojan	/wiki/Eduard_Vojan	['1900', '1950']
Jiří Voskovec	/wiki/Ji%C5%99%C3%AD_Voskovec	['1900', '1950']
Jan Werich	/wiki/Jan_Werich	['1900', '1950']
Stella Zázvorková	/wiki/Stella_Z%C3%A1zvorkov%C3%A1	['1900', '1950']
Jan Santini Aichel	/wiki/Jan_Santini_Aichel	['1900', '1950']
Jakub Bursa	/wiki/Jakub_Bursa	['1900', '1950']
Josef Chochol	/wiki/Josef_Chochol	['1900', '1950']
Kilian Ignaz Dientzenhofer	/wiki/Kilian_Ignaz_Dientzenhofer	['1900', '1950']
Alois Dryák	/wiki/Alois_Dry%C3%A1k	['1900', '1950']
Josef Gočár	/wiki/Josef_Go%C4%8D%C3%A1r	['1900', '1950']
Josef Hoffmann	/wiki/Josef_Hoffmann	['1900', '1950']
Eva Jiřičná	/wiki/Eva_Ji%C5%99i%C4%8Dn%C3%A1	['1900', '1950']
František Maxmilián Kaňka	/wiki/Franti%C5%A1ek_Maxmili%C3%A1n_Ka%C5%88ka	['1900', '1950']
Jan Kaplický	/wiki/Jan_Kaplick%C3%BD	['1900', '1950']
Jan Kotěra	/wiki/Jan_Kot%C4%9Bra	['1900', '1950']
Zdeněk Kovář	/wiki/Zden%C4%9Bk_Kov%C3%A1%C5%99	['1900', '1950']
Jakub Krčín	/wiki/Jakub_Kr%C4%8D%C3%ADn	['1900', '1950']
Jaromír Krejcar	/wiki/Jarom%C3%ADr_Krejcar	['1900', '1950']
Adolf Loos	/wiki/Adolf_Loos	['1900', '1950']
Josef Mocker	/wiki/Josef_Mocker	['1900', '1950']
Štěpánek Netolický	/wiki/%C5%A0t%C4%9Bp%C3%A1nek_Netolick%C3%BD	['1900', '1950']
Balthasar Neumann	/wiki/Balthasar_Neumann	['1900', '1950']
Josef Niklas	/wiki/Josef_Niklas	['1900', '1950']
Joseph Maria Olbrich	/wiki/Joseph_Maria_Olbrich	['1900', '1950']
Peter Parler	/wiki/Peter_Parler	['1900', '1950']
Milada Petříková-Pavlíková	/wiki/Milada_Pet%C5%99%C3%ADkov%C3%A1-Pavl%C3%ADkov%C3%A1	['1900', '1950']
Bořek Šípek	/wiki/Bo%C5%99ek_%C5%A0%C3%ADpek	['1900', '1950']
Michal Ajvaz	/wiki/Michal_Ajvaz	['1900', '1950']
Jindřich Baar	/wiki/Jind%C5%99ich_Baar	['1900', '1950']
Jan Blahoslav	/wiki/Jan_Blahoslav	['1900', '1950']
Karel Havlíček Borovský	/wiki/Karel_Havl%C3%AD%C4%8Dek_Borovsk%C3%BD	['1900', '1950']
Max Brod	/wiki/Max_Brod	['1900', '1950']
Otokar Březina	/wiki/Otokar_B%C5%99ezina	['1900', '1950']
Karel Čapek	/wiki/Karel_%C4%8Capek	['1900', '1950']
Svatopluk Čech	/wiki/Svatopluk_%C4%8Cech	['1900', '1950']
František Čelakovský	/wiki/Franti%C5%A1ek_%C4%8Celakovsk%C3%BD	['1900', '1950']
Jakub Deml	/wiki/Jakub_Deml	['1900', '1950']
Ivan Diviš	/wiki/Ivan_Divi%C5%A1	['1900', '1950']
Jaroslav Durych	/wiki/Jaroslav_Durych	['1900', '1950']
Viktor Dyk	/wiki/Viktor_Dyk	['1900', '1950']
