text	link	year
Anna Bård	/wiki/Anna_B%C3%A5rd	['1900', '1950']
Gry Bay	/wiki/Gry_Bay	['1900', '1950']
Rasmus Bjerg	/wiki/Rasmus_Bjerg	['1900', '1950']
Anna Bloch	/wiki/Anna_Bloch	['1868', '1953']
Lars Bom	/wiki/Lars_Bom	['1900', '1950']
Charlotte Bournonville	/wiki/Charlotte_Bournonville	['1832', '1911']
Hans Egede Budtz	/wiki/Hans_Egede_Budtz	['1889', '1968']
Poul Bundgaard	/wiki/Poul_Bundgaard	['1900', '1950']
Jesper Christensen	/wiki/Jesper_Christensen	['1900', '1950']
Nikolaj Coster-Waldau	/wiki/Nikolaj_Coster-Waldau	['1900', '1950']
Mille Dinesen	/wiki/Mille_Dinesen	['1900', '1950']
Olaf Fønss	/wiki/Olaf_F%C3%B8nss	['1882', '1949']
Morten Grunwald	/wiki/Morten_Grunwald	['1900', '1950']
John Hahn-Petersen	/wiki/John_Hahn-Petersen	['1900', '1950']
Caroline Halle-Müller	/wiki/Caroline_Halle-M%C3%BCller	['1755', '1826']
Liv Hansen	/wiki/Liv_Hansen	['1900', '1950']
Holger Juul Hansen	/wiki/Holger_Juul_Hansen	['1900', '1950']
Betty Hennings	/wiki/Betty_Hennings	['1850', '1939']
Jean Hersholt	/wiki/Jean_Hersholt	['1886', '1956']
Iben Hjejle	/wiki/Iben_Hjejle	['1900', '1950']
Astrid Holm	/wiki/Astrid_Holm	['1893', '1961']
Gudrun Houlberg	/wiki/Gudrun_Houlberg	['1889', '1940']
Allan Hyde	/wiki/Allan_Hyde	['1900', '1950']
Bodil Ipsen	/wiki/Bodil_Ipsen	['1889', '1964']
Katja K	/wiki/Katja_K	['1900', '1950']
Tina Kiberg	/wiki/Tina_Kiberg	['1900', '1950']
Lone Koppel	/wiki/Lone_Koppel	['1900', '1950']
Nikita Klæstrup	/wiki/Nikita_Kl%C3%A6strup	['1900', '1950']
Nikolaj Lie Kaas	/wiki/Nikolaj_Lie_Kaas	['1900', '1950']
Bodil Kjer	/wiki/Bodil_Kjer	['1917', '2003']
Lau Lauritzen Jr.	/wiki/Lau_Lauritzen_Jr.	['1910', '1977']
