text	link	year
Djiboutian art	/wiki/Djiboutian_art	['1900', '1950']
Djiboutian cuisine	/wiki/Djiboutian_cuisine	['1900', '1950']
Somalis	/wiki/Somalis	['1900', '1950']
Afar people	/wiki/Afar_people	['1900', '1950']
Somali language	/wiki/Somali_language	['1900', '1950']
Afar language	/wiki/Afar_language	['1900', '1950']
Arabic	/wiki/Arabic	['1900', '1950']
French language	/wiki/French_language	['1900', '1950']
Djibouti Armed Forces	/wiki/Djibouti_Armed_Forces	['1900', '1950']
Hassan Gouled Aptidon	/wiki/Hassan_Gouled_Aptidon	['1900', '1950']
Mahmoud Harbi	/wiki/Mahmoud_Harbi	['1900', '1950']
Ahmed Dini Ahmed	/wiki/Ahmed_Dini_Ahmed	['1900', '1950']
Dileita Mohamed Dileita	/wiki/Dileita_Mohamed_Dileita	['1900', '1950']
Hussein Ahmed Salah	/wiki/Hussein_Ahmed_Salah	['1900', '1950']
Jamal Abdi Dirieh	/wiki/Jamal_Abdi_Dirieh	['1900', '1950']
Ayanleh Souleiman	/wiki/Ayanleh_Souleiman	['1900', '1950']
Mouna-Hodan Ahmed	/wiki/Mouna-Hodan_Ahmed	['1900', '1950']
Lula Ali Ismaïl	/wiki/Lula_Ali_Isma%C3%AFl	['1900', '1950']
Roda Ali Wais	/wiki/Roda_Ali_Wais	['1900', '1950']
Zeinab Kamel Ali	/wiki/Zeinab_Kamel_Ali	['1900', '1950']
Abdourahman Waberi	/wiki/Abdourahman_Waberi	['1900', '1950']
Abdo Xamar Qoodh	/wiki/Abdo_Xamar_Qoodh	['1900', '1950']
Ismail Ahmed Kadar Hassan	/wiki/Ismail_Ahmed_Kadar_Hassan	['1900', '1950']
Abdi Waiss Mouhyadin	/wiki/Abdi_Waiss_Mouhyadin	['1900', '1950']
Daher Ahmed Farah	/wiki/Daher_Ahmed_Farah	['1900', '1950']
Youssouf Hiss Bachir	/wiki/Youssouf_Hiss_Bachir	['1900', '1950']
Ahmed Goumane-Roble	/wiki/Ahmed_Goumane-Roble	['1900', '1950']
Abdourahman Waberi	/wiki/Abdourahman_Waberi	['1900', '1950']
Nima Djama	/wiki/Nima_Djama	['1900', '1950']
Hasna Mohamed Dato	/wiki/Hasna_Mohamed_Dato	['1900', '1950']
Mumin Gala	/wiki/Mumin_Gala	['1900', '1950']
Omar Farah Iltireh	/wiki/Omar_Farah_Iltireh	['1900', '1950']
Yacin Elmi Bouh	/wiki/Yacin_Elmi_Bouh	['1900', '1950']
Aden Robleh Awaleh	/wiki/Aden_Robleh_Awaleh	['1900', '1950']
Mohamed Ali Fourchette	/wiki/Mohamed_Ali_Fourchette	['1900', '1950']
Moumin Bahdon Farah	/wiki/Moumin_Bahdon_Farah	['1900', '1950']
Template:Djiboutian diaspora	/wiki/Template:Djiboutian_diaspora	['1900', '1950']
Template:Djibouti topics	/wiki/Template:Djibouti_topics	['1900', '1950']
Template talk:Djibouti topics	/wiki/Template_talk:Djibouti_topics	['1900', '1950']
Adal Kingdom	/wiki/Adal_Kingdom	['1900', '1950']
Ifat Sultanate	/wiki/Ifat_Sultanate	['1900', '1950']
Adal Sultanate	/wiki/Adal_Sultanate	['1900', '1950']
French Somaliland	/wiki/French_Somaliland	['1900', '1950']
Djiboutian Civil War	/wiki/Djiboutian_Civil_War	['1900', '1950']
Djibouti Armed Forces	/wiki/Djibouti_Armed_Forces	['1900', '1950']
Djiboutian franc	/wiki/Djiboutian_franc	['1900', '1950']
Djibouti at the Olympics	/wiki/Djibouti_at_the_Olympics	['1900', '1950']
Template:Africa topic	/wiki/Template:Africa_topic	['1900', '1950']
Template talk:Africa topic	/wiki/Template_talk:Africa_topic	['1900', '1950']
