text	link	year
Jaap Bakema	/wiki/Jaap_Bakema	['1914', '1981']
Hendrik Petrus Berlage	/wiki/Hendrik_Petrus_Berlage	['1856', '1934']
Jo van den Broek	/wiki/Jo_van_den_Broek	['1898', '1978']
Jacob van Campen	/wiki/Jacob_van_Campen	['1596', '1657']
Pierre Cuypers	/wiki/Pierre_Cuypers	['1827', '1921']
Willem Marinus Dudok	/wiki/Willem_Marinus_Dudok	['1884', '1974']
Aldo van Eyck	/wiki/Aldo_van_Eyck	['1918', '1999']
Lieven de Key	/wiki/Lieven_de_Key	['1560', '1627']
Hendrick de Keyser	/wiki/Hendrick_de_Keyser	['1565', '1621']
Rem Koolhaas	/wiki/Rem_Koolhaas	['1944', '2025']
Jacobus Oud	/wiki/Jacobus_Oud	['1890', '1963']
Pieter Post	/wiki/Pieter_Post	['1608', '1669']
Gerrit Rietveld	/wiki/Gerrit_Rietveld	['1888', '1964']
Willeke van Ammelrooy	/wiki/Willeke_van_Ammelrooy	['1944', '2025']
Antoinette Beumer	/wiki/Antoinette_Beumer	['1962', '2025']
Marjolein Beumer	/wiki/Marjolein_Beumer	['1966', '2025']
Jan de Bont	/wiki/Jan_de_Bont	['1943', '2025']
Erik-Jan de Boer	/wiki/Erik-Jan_de_Boer	['1967', '2025']
Rene Daalder	/wiki/Rene_Daalder	['1944', '2025']
Mike van Diem	/wiki/Mike_van_Diem	['1959', '2025']
Bracha van Doesburgh	/wiki/Bracha_van_Doesburgh	['1981', '2025']
Philip Dorn	/wiki/Philip_Dorn	['1901', '2025']
Paul Driessen	/wiki/Paul_Driessen_(animator)	['1940', '2025']
Bobbi Eden	/wiki/Bobbi_Eden	['1980', '2025']
Cyrus Frisch	/wiki/Cyrus_Frisch	['1969', '2025']
Laura Gemser	/wiki/Laura_Gemser	['1950', '2025']
Rijk de Gooyer	/wiki/Rijk_de_Gooyer	['1925', '2011']
Rutger Hauer	/wiki/Rutger_Hauer	['1944', '2019']
Johannes Heesters	/wiki/Johannes_Heesters	['1903', '2011']
Tom Holkenborg	/wiki/Tom_Holkenborg	['1967', '2025']
Carice van Houten	/wiki/Carice_van_Houten	['1976', '2025']
Michiel Huisman	/wiki/Michiel_Huisman	['1981', '2025']
Famke Janssen	/wiki/Famke_Janssen	['1965', '2025']
Martin Koolhoven	/wiki/Martin_Koolhoven	['1969', '2025']
John Kraaijkamp, Sr.	/wiki/John_Kraaijkamp,_Sr.	['1925', '2011']
Jeroen Krabbé	/wiki/Jeroen_Krabb%C3%A9	['1944', '2025']
Sylvia Kristel	/wiki/Sylvia_Kristel	['1952', '2012']
Rik Launspach	/wiki/Rik_Launspach	['1958', '2025']
Dick Maas	/wiki/Dick_Maas	['1951', '2025']
Anneliese van der Pol	/wiki/Anneliese_van_der_Pol	['1984', '2025']
Renée Soutendijk	/wiki/Ren%C3%A9e_Soutendijk	['1957', '2025']
Johanna ter Steege	/wiki/Johanna_ter_Steege	['1961', '2025']
Monique van de Ven	/wiki/Monique_van_de_Ven	['1952', '2025']
Paul Verhoeven	/wiki/Paul_Verhoeven	['1938', '2025']
Wiebe van der Vliet	/wiki/Wiebe_van_der_Vliet	['1970', '2025']
Yorick van Wageningen	/wiki/Yorick_van_Wageningen	['1964', '2025']
Alex van Warmerdam	/wiki/Alex_van_Warmerdam	['1952', '2025']
Zara Whites	/wiki/Zara_Whites	['1968', '2025']
Michaël Dudok de Wit	/wiki/Micha%C3%ABl_Dudok_de_Wit	['1953', '2025']
Thomas Acda	/wiki/Thomas_Acda	['1967', '2025']
Sharon Den Adel	/wiki/Sharon_Den_Adel	['1900', '1950']
Jan Akkerman	/wiki/Jan_Akkerman	['1900', '1950']
Amber	/wiki/Amber_(performer)	['1900', '1950']
Elly Ameling	/wiki/Elly_Ameling	['1900', '1950']
Louis Andriessen	/wiki/Louis_Andriessen	['1939', '2025']
Dick Annegarn	/wiki/Dick_Annegarn	['1952', '2025']
Bart Berman	/wiki/Bart_Berman	['1900', '1950']
Marco Borsato	/wiki/Marco_Borsato	['1966', '2025']
Willem Breuker	/wiki/Willem_Breuker	['1944', '2010']
Herman Brood	/wiki/Herman_Brood	['1946', '2001']
Frans Brüggen	/wiki/Frans_Br%C3%BCggen	['1934', '2014']
Theo Bruins	/wiki/Theo_Bruins	['1900', '1950']
Armin van Buuren	/wiki/Armin_van_Buuren	['1900', '1950']
Ferry Corsten	/wiki/Ferry_Corsten	['1900', '1950']
Esmée Denters	/wiki/Esm%C3%A9e_Denters	['1900', '1950']
Cristina Deutekom	/wiki/Cristina_Deutekom	['1900', '1950']
Alphons Diepenbrock	/wiki/Alphons_Diepenbrock	['1900', '1950']
Anita Doth	/wiki/Anita_Doth	['1900', '1950']
Candy Dulfer	/wiki/Candy_Dulfer	['1900', '1950']
Margriet Ehlen	/wiki/Margriet_Ehlen	['1943', '2025']
Caro Emerald	/wiki/Caro_Emerald	['1900', '1950']
Tess Gaerthé	/wiki/Tess_Gaerth%C3%A9	['1991', '2025']
Martin Garrix	/wiki/Martin_Garrix	['1900', '1950']
Afrojack	/wiki/Afrojack	['1900', '1950']
Jan van Gilse	/wiki/Jan_van_Gilse	['1881', '1944']
Boudewijn de Groot	/wiki/Boudewijn_de_Groot	['1944', '2025']
Jack Jersey	/wiki/Jack_Jersey	['1900', '1950']
Guus Meeuwis	/wiki/Guus_Meeuwis	['1900', '1950']
Stephen van Haestregt	/wiki/Stephen_van_Haestregt	['1900', '1950']
Bernard Haitink	/wiki/Bernard_Haitink	['1900', '1950']
Alex Van Halen	/wiki/Alex_Van_Halen	['1900', '1950']
Eddie Van Halen	/wiki/Eddie_Van_Halen	['1900', '1950']
Hardwell	/wiki/Hardwell	['1988', '2025']
Barry Hay	/wiki/Barry_Hay	['1948', '2025']
André Hazes	/wiki/Andr%C3%A9_Hazes	['1951', '2004']
Oliver Heldens	/wiki/Oliver_Heldens	['1995', '2025']
Koen Heldens	/wiki/Koen_Heldens	['1986', '2025']
Ilse Huizinga	/wiki/Ilse_Huizinga	['1966', '2025']
Dominique van Hulst	/wiki/Dominique_van_Hulst	['1900', '1950']
Janine Jansen	/wiki/Janine_Jansen	['1900', '1950']
Ruud Jolie	/wiki/Ruud_Jolie	['1900', '1950']
Gerard Joling	/wiki/Gerard_Joling	['1900', '1950']
Junkie XL	/wiki/Junkie_XL	['1967', '2025']
Isabelle van Keulen	/wiki/Isabelle_van_Keulen	['1900', '1950']
Tim Kliphuis	/wiki/Tim_Kliphuis	['1900', '1950']
Peter Koelewijn	/wiki/Peter_Koelewijn	['1940', '2025']
Astrid Kruisselbrink	/wiki/Astrid_Kruisselbrink	['1972', '2025']
Natalie La Rose	/wiki/Natalie_La_Rose	['1900', '1950']
Arjen Anthony Lucassen	/wiki/Arjen_Anthony_Lucassen	['1900', '1950']
Gwendolyn Masin	/wiki/Gwendolyn_Masin	['1977', '2025']
Willem Mengelberg	/wiki/Willem_Mengelberg	['1871', '1951']
Rogier van Otterloo	/wiki/Rogier_van_Otterloo	['1900', '1950']
Willem van Otterloo	/wiki/Willem_van_Otterloo	['1907', '1978']
Jetty Paerl	/wiki/Jetty_Paerl	['1921', '2013']
Willem Pijper	/wiki/Willem_Pijper	['1900', '1950']
Abbie de Quant	/wiki/Abbie_de_Quant	['1900', '1950']
André Rieu	/wiki/Andr%C3%A9_Rieu	['1949', '2025']
Nicky Romero	/wiki/Nicky_Romero	['1989', '2025']
Julius Röntgen	/wiki/Julius_R%C3%B6ntgen	['1855', '1932']
Ramses Shaffy	/wiki/Ramses_Shaffy	['1933', '2009']
Eva Simons	/wiki/Eva_Simons	['1900', '1950']
Simone Simons	/wiki/Simone_Simons	['1900', '1950']
Peter Slaghuis	/wiki/Peter_Slaghuis	['1960', '1991']
Ray Slijngaard	/wiki/Ray_Slijngaard	['1900', '1950']
Jaap Spaanderman	/wiki/Jaap_Spaanderman	['1900', '1950']
Martijn Spierenburg	/wiki/Martijn_Spierenburg	['1900', '1950']
Jan Pieterszoon Sweelinck	/wiki/Jan_Pieterszoon_Sweelinck	['1900', '1950']
Anouk	/wiki/Anouk_(singer)	['1900', '1950']
Herman van Veen	/wiki/Herman_van_Veen	['1945', '2025']
Jeroen van Veen	/wiki/Jeroen_van_Veen_(pianist)	['1969', '2025']
Jeroen van Veen	/wiki/Jeroen_van_Veen_(bassist)	['1974', '2025']
