text	link	year
Marí Alkatiri	/wiki/Mar%C3%AD_Alkatiri	['1900', '1950']
Maria Domingas Alves	/wiki/Maria_Domingas_Alves	['1900', '1950']
Francisco Xavier do Amaral	/wiki/Francisco_Xavier_do_Amaral	['1900', '1950']
Norberto Do Amaral	/wiki/Norberto_Do_Amaral	['1900', '1950']
Aliança de Araújo	/wiki/Alian%C3%A7a_de_Ara%C3%BAjo	['1900', '1950']
Aicha Bassarewan	/wiki/Aicha_Bassarewan	['1900', '1950']
Carlos Felipe Ximenes Belo	/wiki/Carlos_Felipe_Ximenes_Belo	['1900', '1950']
Madalena Boavida	/wiki/Madalena_Boavida	['1900', '1950']
Rosa Bonaparte	/wiki/Rosa_Bonaparte	['1900', '1950']
Maria Ângela Carrascalão	/wiki/Maria_%C3%82ngela_Carrascal%C3%A3o	['1900', '1950']
Avelino Coelho	/wiki/Avelino_Coelho	['1900', '1950']
Ilda Conceição	/wiki/Ilda_Concei%C3%A7%C3%A3o	['1900', '1950']
Rosária Corte-Real	/wiki/Ros%C3%A1ria_Corte-Real	['1900', '1950']
Maria de Lourdes Martins Cruz	/wiki/Maria_de_Lourdes_Martins_Cruz	['1900', '1950']
Alberto Ricardo da Silva	/wiki/Alberto_Ricardo_da_Silva	['1900', '1950']
Fernando de Araújo	/wiki/Fernando_de_Ara%C3%BAjo_(East_Timorese_politician)	['1900', '1950']
Xanana Gusmão	/wiki/Xanana_Gusm%C3%A3o	['1900', '1950']
Eurico Guterres	/wiki/Eurico_Guterres	['1900', '1950']
Francisco Guterres	/wiki/Francisco_Guterres	['1900', '1950']
Nicolau dos Reis Lobato	/wiki/Nicolau_dos_Reis_Lobato	['1900', '1950']
Martinho da Costa Lopes	/wiki/Martinho_da_Costa_Lopes	['1900', '1950']
Olinda Morais	/wiki/Olinda_Morais	['1900', '1950']
Basilio do Nascimento	/wiki/Basilio_do_Nascimento	['1900', '1950']
Anna Pessoa Pinto	/wiki/Anna_Pessoa_Pinto	['1900', '1950']
José Ramos-Horta	/wiki/Jos%C3%A9_Ramos-Horta	['1900', '1950']
Alfredo Reinado	/wiki/Alfredo_Reinado	['1900', '1950']
Taur Matan Ruak	/wiki/Taur_Matan_Ruak	['1900', '1950']
Kirsty Sword Gusmão	/wiki/Kirsty_Sword_Gusm%C3%A3o	['1900', '1950']
Fernando Sylvan	/wiki/Fernando_Sylvan	['1900', '1950']
Gil da Cruz Trindade	/wiki/Gil_da_Cruz_Trindade	['1900', '1950']
Maria Terezinha Viegas	/wiki/Maria_Terezinha_Viegas	['1900', '1950']
Aurora Ximenes	/wiki/Aurora_Ximenes	['1900', '1950']
Template:East Timor topics	/wiki/Template:East_Timor_topics	['1900', '1950']
Template talk:East Timor topics	/wiki/Template_talk:East_Timor_topics	['1900', '1950']
Pre-colonial Timor	/wiki/Pre-colonial_Timor	['1900', '1950']
Portuguese Timor	/wiki/Portuguese_Timor	['1900', '1950']
East Timor	/wiki/East_Timor_(province)	['1900', '1950']
Santa Cruz massacre	/wiki/Santa_Cruz_massacre	['1900', '1950']
East Timorese independence referendum, 1999	/wiki/East_Timorese_independence_referendum,_1999	['1900', '1950']
1999 East Timorese crisis	/wiki/1999_East_Timorese_crisis	['1900', '1950']
International Force for East Timor	/wiki/International_Force_for_East_Timor	['1900', '1950']
2006 East Timorese crisis	/wiki/2006_East_Timorese_crisis	['1900', '1950']
2008 East Timorese assassination attempts	/wiki/2008_East_Timorese_assassination_attempts	['1900', '1950']
Tatamailau	/wiki/Tatamailau	['1900', '1950']
Timor	/wiki/Timor	['1900', '1950']
Foreign aid to East Timor	/wiki/Foreign_aid_to_East_Timor	['1900', '1950']
Timor Leste Defence Force	/wiki/Timor_Leste_Defence_Force	['1900', '1950']
East Timor centavo coins	/wiki/East_Timor_centavo_coins	['1900', '1950']
Foreign aid to East Timor	/wiki/Foreign_aid_to_East_Timor	['1900', '1950']
East Timorese literature	/wiki/East_Timorese_literature	['1900', '1950']
Pátria	/wiki/P%C3%A1tria	['1900', '1950']
