text	link	year
Carmen Acevedo Vega	/wiki/Carmen_Acevedo_Vega	['1913', '2006']
Jorge Enrique Adoum	/wiki/Jorge_Enrique_Adoum	['1926', '2009']
Luis Aguilar-Monsalve	/wiki/Luis_Aguilar-Monsalve	['1900', '1950']
Vicente Amador Flor	/wiki/Vicente_Amador_Flor	['1903', '1975']
Fernando Tinajero	/wiki/Fernando_Tinajero	['1900', '1950']
Juan Andrade Heymann	/wiki/Juan_Andrade_Heymann	['1900', '1950']
Raúl Andrade Moscoso	/wiki/Ra%C3%BAl_Andrade_Moscoso	['1905', '1983']
César E. Arroyo	/wiki/C%C3%A9sar_E._Arroyo	['1887', '1937']
Enrique Avellán Ferrés	/wiki/Enrique_Avell%C3%A1n_Ferr%C3%A9s	['1900', '1950']
Juan Bautista Aguirre	/wiki/Juan_Bautista_Aguirre	['1725', '1786']
Ana Cecilia Blum	/wiki/Ana_Cecilia_Blum	['1900', '1950']
Arturo Borja	/wiki/Arturo_Borja	['1892', '1912']
Rosa Borja de Ycaza	/wiki/Rosa_Borja_de_Ycaza	['1889', '1964']
Vicente Cabrera Funes	/wiki/Vicente_Cabrera_Funes	['1944', '2014']
Jorge Luis Cáceres	/wiki/Jorge_Luis_C%C3%A1ceres	['1900', '1950']
Oswaldo Calisto Rivera	/wiki/Oswaldo_Calisto_Rivera	['1979', '2000']
Eliécer Cárdenas	/wiki/Eli%C3%A9cer_C%C3%A1rdenas	['1900', '1950']
Jorge Carrera Andrade	/wiki/Jorge_Carrera_Andrade	['1903', '1978']
Alejandro Carrión Aguirre	/wiki/Alejandro_Carri%C3%B3n_Aguirre	['1915', '1992']
Fanny Carrión de Fierro	/wiki/Fanny_Carri%C3%B3n_de_Fierro	['1900', '1950']
Benjamín Carrión Mora	/wiki/Benjam%C3%ADn_Carri%C3%B3n_Mora	['1897', '1979']
Iván Carvajal	/wiki/Iv%C3%A1n_Carvajal	['1900', '1950']
Gabriel Cevallos García	/wiki/Gabriel_Cevallos_Garc%C3%ADa	['1913', '2004']
Octavio Cordero Palacios	/wiki/Octavio_Cordero_Palacios_(writer)	['1870', '1930']
Simón Corral	/wiki/Sim%C3%B3n_Corral	['1900', '1950']
Luis Costales	/wiki/Luis_Costales	['1926', '2006']
José de la Cuadra	/wiki/Jos%C3%A9_de_la_Cuadra	['1903', '1941']
Agustin Cueva	/wiki/Agustin_Cueva	['1937', '1992']
Rafael Díaz Ycaza	/wiki/Rafael_D%C3%ADaz_Ycaza	['1925', '2013']
Miguel Donoso Pareja	/wiki/Miguel_Donoso_Pareja	['1931', '2015']
Luis Enrique Fierro	/wiki/Luis_Enrique_Fierro	['1900', '1950']
Gonzalo Escudero	/wiki/Gonzalo_Escudero	['1903', '1971']
Eugenio Espejo	/wiki/Eugenio_Espejo	['1747', '1795']
Aurelio Espinosa Pólit	/wiki/Aurelio_Espinosa_P%C3%B3lit	['1894', '1961']
Jenny Estrada	/wiki/Jenny_Estrada	['1900', '1950']
Ulises Estrella	/wiki/Ulises_Estrella	['1900', '1950']
Nelson Estupiñán Bass	/wiki/Nelson_Estupi%C3%B1%C3%A1n_Bass	['1912', '2002']
Jacinto de Evia	/wiki/Jacinto_de_Evia	['1900', '1950']
Ángel Felicísimo Rojas	/wiki/%C3%81ngel_Felic%C3%ADsimo_Rojas	['1909', '2003']
Humberto Fierro	/wiki/Humberto_Fierro	['1890', '1929']
Jaime Galarza Zavala	/wiki/Jaime_Galarza_Zavala	['1900', '1950']
Karina Galvez	/wiki/Karina_Galvez	['1900', '1950']
Alfredo Gangotena	/wiki/Alfredo_Gangotena	['1904', '1944']
Francisco Tobar Garcia	/wiki/Francisco_Tobar_Garcia	['1928', '1997']
Enrique Gil Gilbert	/wiki/Enrique_Gil_Gilbert	['1912', '1973']
Euler Granda	/wiki/Euler_Granda	['1900', '1950']
Yanna Hadatty	/wiki/Yanna_Hadatty	['1900', '1950']
Horacio Hidrovo Peñaherrera	/wiki/Horacio_Hidrovo_Pe%C3%B1aherrera	['1931', '2012']
Horacio Hidrovo Velásquez	/wiki/Horacio_Hidrovo_Vel%C3%A1squez	['1902', '1962']
Jorge Icaza Coronel	/wiki/Jorge_Icaza_Coronel	['1906', '1978']
Edna Iturralde	/wiki/Edna_Iturralde	['1900', '1950']
Efraín Jara Idrovo	/wiki/Efra%C3%ADn_Jara_Idrovo	['1926', '2018']
Carlos Eduardo Jaramillo Castillo	/wiki/Carlos_Eduardo_Jaramillo_Castillo	['1900', '1950']
Nicolás Kingman Riofrío	/wiki/Nicol%C3%A1s_Kingman_Riofr%C3%ADo	['1900', '1950']
Joaquín Gallegos Lara	/wiki/Joaqu%C3%ADn_Gallegos_Lara	['1909', '1947']
Juan Larrea Holguín	/wiki/Juan_Larrea_Holgu%C3%ADn	['1927', '2006']
Sonia Manzano Vela	/wiki/Sonia_Manzano_Vela	['1900', '1950']
Nela Martínez	/wiki/Nela_Mart%C3%ADnez	['1912', '2004']
Hugo Mayo	/wiki/Hugo_Mayo	['1895', '1988']
Juan León Mera	/wiki/Juan_Le%C3%B3n_Mera	['1832', '1894']
Juan Montalvo	/wiki/Juan_Montalvo	['1832', '1889']
Ernesto Noboa y Caamaño	/wiki/Ernesto_Noboa_y_Caama%C3%B1o	['1889', '1927']
Jorge Núñez Sánchez	/wiki/Jorge_N%C3%BA%C3%B1ez_S%C3%A1nchez	['1900', '1950']
José Joaquín de Olmedo	/wiki/Jos%C3%A9_Joaqu%C3%ADn_de_Olmedo	['1780', '1847']
Adalberto Ortiz	/wiki/Adalberto_Ortiz	['1914', '2003']
Alfredo Pareja Diezcanseco	/wiki/Alfredo_Pareja_Diezcanseco	['1908', '1993']
Julio Pazos Barrera	/wiki/Julio_Pazos_Barrera	['1900', '1950']
Jorge Pérez Concha	/wiki/Jorge_P%C3%A9rez_Concha	['1908', '1995']
Numa Pompilio Llona	/wiki/Numa_Pompilio_Llona	['1832', '1907']
José Martínez Queirolo	/wiki/Jos%C3%A9_Mart%C3%ADnez_Queirolo	['1931', '2008']
Ernesto Quiñonez	/wiki/Ernesto_Qui%C3%B1onez	['1900', '1950']
Edmundo Ribadeneira Meneses	/wiki/Edmundo_Ribadeneira_Meneses	['1920', '2004']
Galo René Pérez	/wiki/Galo_Ren%C3%A9_P%C3%A9rez	['1923', '2008']
Rodolfo Pérez Pimentel	/wiki/Rodolfo_P%C3%A9rez_Pimentel	['1900', '1950']
Víctor Manuel Rendón	/wiki/V%C3%ADctor_Manuel_Rend%C3%B3n	['1859', '1940']
Juan Manuel Rodriguez	/wiki/Juan_Manuel_Rodriguez_(writer)	['1900', '1950']
Alfonso Rumazo González	/wiki/Alfonso_Rumazo_Gonz%C3%A1lez	['1903', '2002']
José Rumazo González	/wiki/Jos%C3%A9_Rumazo_Gonz%C3%A1lez	['1900', '1950']
Hugo Salazar Tamariz	/wiki/Hugo_Salazar_Tamariz	['1923', '1999']
Isacovici Salomon	/wiki/Isacovici_Salomon	['1924', '1998']
Filoteo Samaniego	/wiki/Filoteo_Samaniego	['1928', '2013']
Carlos Altamirano Sánchez	/wiki/Carlos_Altamirano_S%C3%A1nchez	['1900', '1950']
Medardo Ángel Silva	/wiki/Medardo_%C3%81ngel_Silva	['1898', '1919']
José Trajano Mera	/wiki/Jos%C3%A9_Trajano_Mera	['1862', '1919']
Abdón Ubidia	/wiki/Abd%C3%B3n_Ubidia	['1900', '1950']
Benjamín Urrutia	/wiki/Benjam%C3%ADn_Urrutia	['1900', '1950']
Eduardo Varas	/wiki/Eduardo_Varas	['1900', '1950']
Fray José María Vargas O.P.	/wiki/Fray_Jos%C3%A9_Mar%C3%ADa_Vargas_O.P.	['1902', '1988']
Javier Vásconez	/wiki/Javier_V%C3%A1sconez	['1900', '1950']
Dolores Veintimilla	/wiki/Dolores_Veintimilla	['1829', '1857']
Pedro Jorge Vera	/wiki/Pedro_Jorge_Vera	['1914', '1999']
Raquel Verdesoto	/wiki/Raquel_Verdesoto	['1910', '1999']
Alicia Yánez Cossío	/wiki/Alicia_Y%C3%A1nez_Coss%C3%ADo	['1900', '1950']
Alfredo Palacio Moreno	/wiki/Alfredo_Palacio_Moreno	['1900', '1950']
Aníbal Villacís	/wiki/An%C3%ADbal_Villac%C3%ADs	['1900', '1950']
Araceli Gilbert	/wiki/Araceli_Gilbert	['1900', '1950']
Bernardo de Legarda	/wiki/Bernardo_de_Legarda	['1900', '1950']
Caesar Andrade Faini	/wiki/Caesar_Andrade_Faini	['1900', '1950']
Camilo Egas	/wiki/Camilo_Egas	['1900', '1950']
Eduardo Kingman	/wiki/Eduardo_Kingman	['1900', '1950']
Enrique Tábara	/wiki/Enrique_T%C3%A1bara	['1900', '1950']
Estuardo Maldonado	/wiki/Estuardo_Maldonado	['1900', '1950']
Félix Arauz	/wiki/F%C3%A9lix_Arauz	['1900', '1950']
Galo Galecio	/wiki/Galo_Galecio	['1900', '1950']
Gonzalo Amancha	/wiki/Gonzalo_Amancha	['1900', '1950']
Gonzalo Endara Crow	/wiki/Gonzalo_Endara_Crow	['1900', '1950']
Grace Polit	/wiki/Grace_Polit	['1900', '1950']
Hugo Cifuentes	/wiki/Hugo_Cifuentes	['1900', '1950']
Jorge Velarde	/wiki/Jorge_Velarde	['1900', '1950']
Jorge Swett	/wiki/Jorge_Swett	['1900', '1950']
Juan Villafuerte	/wiki/Juan_Villafuerte	['1900', '1950']
Judith Gutierrez	/wiki/Judith_Gutierrez	['1900', '1950']
Leonardo Tejada	/wiki/Leonardo_Tejada	['1900', '1950']
Luigi Stornaiolo Pimentel	/wiki/Luigi_Stornaiolo_Pimentel	['1900', '1950']
Luis Miranda	/wiki/Luis_Miranda_(painter)	['1900', '1950']
Luis Molinari	/wiki/Luis_Molinari	['1900', '1950']
