text	link	year
Adel Adham	/wiki/Adel_Adham	['1900', '1950']
Adel Emam	/wiki/Adel_Emam	['1900', '1950']
Ahmed Zaki	/wiki/Ahmed_Zaki_(actor)	['1900', '1950']
Ahmed Ezz	/wiki/Ahmed_Ezz_(actor)	['1900', '1950']
Ahmed Helmy	/wiki/Ahmed_Helmy	['1900', '1950']
Ahmed Ramzy	/wiki/Ahmed_Ramzy	['1900', '1950']
Amr Waked	/wiki/Amr_Waked	['1900', '1950']
Anwar Wagdy	/wiki/Anwar_Wagdy	['1900', '1950']
Emad Hamdy	/wiki/Emad_Hamdy	['1900', '1950']
Fareed Shawky	/wiki/Fareed_Shawky	['1900', '1950']
George Sidhom	/wiki/George_Sidhom	['1900', '1950']
Hassan Youssef	/wiki/Hassan_Youssef_(actor)	['1900', '1950']
Hussein Fahmy	/wiki/Hussein_Fahmy	['1900', '1950']
Ismail Yaseen	/wiki/Ismail_Yaseen	['1900', '1950']
Kamal Al-Shennawi	/wiki/Kamal_Al-Shennawi	['1900', '1950']
Mostafa Qamar	/wiki/Mostafa_Qamar	['1900', '1950']
Mena Massoud	/wiki/Mena_Massoud	['1900', '1950']
Nour El-Sherif	/wiki/Nour_El-Sherif	['1900', '1950']
Omar Sharif	/wiki/Omar_Sharif	['1900', '1950']
Rushdy Abaza	/wiki/Rushdy_Abaza	['1900', '1950']
Rami Malek	/wiki/Rami_Malek	['1900', '1950']
Saeed Saleh	/wiki/Saeed_Saleh	['1900', '1950']
Shoukry Sarhan	/wiki/Shoukry_Sarhan	['1900', '1950']
Stephan Rosti	/wiki/Stephan_Rosti	['1900', '1950']
Amina Rizq	/wiki/Amina_Rizq	['1900', '1950']
Assia Dagher	/wiki/Assia_Dagher	['1900', '1950']
Asmaa Abulyazeid	/wiki/Asmaa_Abulyazeid	['1900', '1950']
Bushra	/wiki/Bushra_(Egyptian_actress)	['1900', '1950']
Faten Hamama	/wiki/Faten_Hamama	['1900', '1950']
Gehan Rateb	/wiki/Gehan_Rateb	['1900', '1950']
Hanan Tork	/wiki/Hanan_Tork	['1900', '1950']
Hend Rostom	/wiki/Hend_Rostom	['1900', '1950']
Laila Elwi	/wiki/Laila_Elwi	['1900', '1950']
Lebleba	/wiki/Lebleba	['1900', '1950']
Leila Mourad	/wiki/Leila_Mourad	['1900', '1950']
Lobna Abdel Aziz	/wiki/Lobna_Abdel_Aziz	['1900', '1950']
Mariam Fakhr Eddine	/wiki/Mariam_Fakhr_Eddine	['1900', '1950']
Mary Queeny	/wiki/Mary_Queeny	['1900', '1950']
Mona Zaki	/wiki/Mona_Zaki	['1900', '1950']
Nermin Al-Fiqy	/wiki/Nermin_Al-Fiqy	['1900', '1950']
Nelly Karim	/wiki/Nelly_Karim	['1900', '1950']
Shadia	/wiki/Shadia	['1900', '1950']
Sherihan	/wiki/Sherihan	['1900', '1950']
Shwikar	/wiki/Shwikar	['1900', '1950']
Soad Hosny	/wiki/Soad_Hosny	['1900', '1950']
Yousra	/wiki/Yousra	['1900', '1950']
Fawzia Mohamed	/wiki/Fawzia_Mohamed	['1900', '1950']
Fifi Abdou	/wiki/Fifi_Abdou	['1900', '1950']
Mahmoud Reda	/wiki/Mahmoud_Reda	['1900', '1950']
Nagua Fouad	/wiki/Nagua_Fouad	['1900', '1950']
Nelly Mazloum	/wiki/Nelly_Mazloum	['1900', '1950']
Samia Gamal	/wiki/Samia_Gamal	['1900', '1950']
Tahiya Karioka	/wiki/Tahiya_Karioka	['1900', '1950']
Zeinat Olwi	/wiki/Zeinat_Olwi	['1900', '1950']
Safinaz	/wiki/Safinaz	['1900', '1950']
Ahmed El-Nahass	/wiki/Ahmed_El-Nahass	['1900', '1950']
André Hakim	/wiki/Andr%C3%A9_Hakim	['1900', '1950']
Asaad Kelada	/wiki/Asaad_Kelada	['1900', '1950']
Ash Atalla	/wiki/Ash_Atalla	['1900', '1950']
Assia Dagher	/wiki/Assia_Dagher	['1900', '1950']
Atef AlTayyeb	/wiki/Atef_AlTayyeb	['1900', '1950']
Daoud Abdel Sayed	/wiki/Daoud_Abdel_Sayed	['1900', '1950']
Ezzel Dine Zulficar	/wiki/Ezzel_Dine_Zulficar	['1900', '1950']
Fadwa El Guindi	/wiki/Fadwa_El_Guindi	['1900', '1950']
Frank Agrama	/wiki/Frank_Agrama	['1900', '1950']
Hassan Al Imam	/wiki/Hassan_Al_Imam	['1900', '1950']
Helmy Halim	/wiki/Helmy_Halim	['1900', '1950']
Henry Barakat	/wiki/Henry_Barakat	['1900', '1950']
Hussein Kamal	/wiki/Hussein_Kamal	['1900', '1950']
Ibrahim El Batout	/wiki/Ibrahim_El_Batout	['1900', '1950']
Jehane Noujaim	/wiki/Jehane_Noujaim	['1900', '1950']
Kamla Abou Zekry	/wiki/Kamla_Abou_Zekry	['1900', '1950']
Khairy Beshara	/wiki/Khairy_Beshara	['1900', '1950']
Khaled Youssef	/wiki/Khaled_Youssef	['1900', '1950']
Maher Sabry	/wiki/Maher_Sabry	['1900', '1950']
Mary Queeny	/wiki/Mary_Queeny	['1900', '1950']
Mohamed Khan	/wiki/Mohamed_Khan	['1900', '1950']
Mohammed Karim	/wiki/Mohammed_Karim	['1900', '1950']
Mohamed Said Mahfouz	/wiki/Mohamed_Said_Mahfouz	['1900', '1950']
Nasr Mahrous	/wiki/Nasr_Mahrous	['1900', '1950']
Raymond Hakim	/wiki/Raymond_Hakim	['1900', '1950']
Robert Hakim	/wiki/Robert_Hakim	['1900', '1950']
Salah Abu Seif	/wiki/Salah_Abu_Seif	['1900', '1950']
Sam Esmail	/wiki/Sam_Esmail	['1900', '1950']
Tamer El Said	/wiki/Tamer_El_Said	['1900', '1950']
Tamer Shaaban	/wiki/Tamer_Shaaban	['1900', '1950']
Tarek El-Telmissany	/wiki/Tarek_El-Telmissany	['1900', '1950']
Yousry Nasrallah	/wiki/Yousry_Nasrallah	['1900', '1950']
Youssef Chahine	/wiki/Youssef_Chahine	['1900', '1950']
Abdel Moneim Madbouly	/wiki/Abdel_Moneim_Madbouly	['1900', '1950']
Abo El Seoud El Ebiary	/wiki/Abo_El_Seoud_El_Ebiary	['1900', '1950']
Alfred Farag	/wiki/Alfred_Farag	['1900', '1950']
Naguib Al Rehani	/wiki/Naguib_Al_Rehani	['1900', '1950']
Tawfiq al-Hakeem	/wiki/Tawfiq_al-Hakeem	['1900', '1950']
Iris Nazmy	/wiki/Iris_Nazmy	['1900', '1950']
Samir Farid	/wiki/Samir_Farid	['1900', '1950']
Tarek El Shennawi	/wiki/Tarek_El_Shennawi	['1900', '1950']
Ahmed El Esseily	/wiki/Ahmed_El_Esseily	['1900', '1950']
Akmal Saleh	/wiki/Akmal_Saleh	['1900', '1950']
Ali Faik Zaghloul	/wiki/Ali_Faik_Zaghloul	['1900', '1950']
Amr Ellissy	/wiki/Amr_Ellissy	['1900', '1950']
Bob Francis	/wiki/Bob_Francis_(radio)	['1900', '1950']
Hamdi Qandil	/wiki/Hamdi_Qandil	['1900', '1950']
Hamed Gohar	/wiki/Hamed_Gohar	['1900', '1950']
Lamis Elhadidy	/wiki/Lamis_Elhadidy	['1900', '1950']
Mahmoud Saad	/wiki/Mahmoud_Saad_(footballer,_born_1952)	['1900', '1950']
Mofeed Fawzy	/wiki/Mofeed_Fawzy	['1900', '1950']
Mona El-Saghir	/wiki/Mona_El-Saghir	['1900', '1950']
Mona El-Shazly	/wiki/Mona_El-Shazly	['1900', '1950']
Nagui	/wiki/Nagui	['1900', '1950']
Osama Mounir	/wiki/Osama_Mounir	['1900', '1950']
Tamer Amin	/wiki/Tamer_Amin	['1900', '1950']
Youssef El Deeb	/wiki/Youssef_El_Deeb	['1900', '1950']
Abdu al-Hamuli	/wiki/Abdu_al-Hamuli	['1900', '1950']
Abu Bakr Khayrat	/wiki/Abu_Bakr_Khayrat	['1900', '1950']
Ammar El Sherei	/wiki/Ammar_El_Sherei	['1900', '1950']
Amr Diab	/wiki/Amr_Diab	['1900', '1950']
Aziz El-Shawan	/wiki/Aziz_El-Shawan	['1900', '1950']
Baligh Hamdi	/wiki/Baligh_Hamdi	['1900', '1950']
Dawood Hussnei	/wiki/Dawood_Hussnei	['1900', '1950']
Gamal Abdel-Rahim	/wiki/Gamal_Abdel-Rahim	['1900', '1950']
Halim El-Dabh	/wiki/Halim_El-Dabh	['1900', '1950']
Hasan Rashid	/wiki/Hasan_Rashid	['1900', '1950']
Kamal Al Taweel	/wiki/Kamal_Al_Taweel	['1900', '1950']
Kamel al-Khola'ie	/wiki/Kamel_al-Khola%27ie	['1900', '1950']
Mohamed Abdelwahab Abdelfattah	/wiki/Mohamed_Abdelwahab_Abdelfattah	['1900', '1950']
Mohamed El Qasabgi	/wiki/Mohamed_El_Qasabgi	['1900', '1950']
Mohamed Fawzi	/wiki/Mohamed_Fawzi_(artist)	['1900', '1950']
Mohammed Abdel Wahab	/wiki/Mohammed_Abdel_Wahab	['1900', '1950']
Mounir Mourad	/wiki/Mounir_Mourad	['1900', '1950']
Moustafa Amar	/wiki/Moustafa_Amar	['1900', '1950']
Omar Khairat	/wiki/Omar_Khairat	['1900', '1950']
Rageh Daoud	/wiki/Rageh_Daoud	['1900', '1950']
Ramzi Yassa	/wiki/Ramzi_Yassa	['1900', '1950']
Riad Al Sunbati	/wiki/Riad_Al_Sunbati	['1900', '1950']
Rifaat Garrana	/wiki/Rifaat_Garrana	['1900', '1950']
Saleh Abdel Hai	/wiki/Saleh_Abdel_Hai	['1900', '1950']
Sayed Darwish	/wiki/Sayed_Darwish	['1900', '1950']
Sayed Mekawy	/wiki/Sayed_Mekawy	['1900', '1950']
Sheikh Imam	/wiki/Sheikh_Imam	['1900', '1950']
Soliman Gamil	/wiki/Soliman_Gamil	['1900', '1950']
Tarek Ali Hassan	/wiki/Tarek_Ali_Hassan	['1900', '1950']
Yusef Greiss	/wiki/Yusef_Greiss	['1900', '1950']
Zakaria Ahmed	/wiki/Zakaria_Ahmed	['1900', '1950']
Ratiba El-Hefny	/wiki/Ratiba_El-Hefny	['1900', '1950']
Nabila Erian	/wiki/Nabila_Erian	['1900', '1950']
Selim Sahab	/wiki/Selim_Sahab	['1900', '1950']
Sherif Mohie El Din	/wiki/Sherif_Mohie_El_Din	['1900', '1950']
Youssef Elsisi	/wiki/Youssef_Elsisi	['1900', '1950']
Abo El Seoud El Ebiary	/wiki/Abo_El_Seoud_El_Ebiary	['1900', '1950']
