text	link	year
French migration to the United Kingdom	/wiki/French_migration_to_the_United_Kingdom	['1900', '1950']
Irish migration to Great Britain	/wiki/Irish_migration_to_Great_Britain	['1900', '1950']
Scandinavian migration to Britain	/wiki/Scandinavian_migration_to_Britain	['1900', '1950']
British Nigerian	/wiki/British_Nigerian	['1900', '1950']
Vanessa Angel	/wiki/Vanessa_Angel	['1966', '2025']
Gabrielle Anwar	/wiki/Gabrielle_Anwar	['1970', '2025']
Richard Armitage	/wiki/Richard_Armitage_(actor)	['1971', '2025']
Gemma Arterton	/wiki/Gemma_Arterton	['1986', '2025']
Tom Baker	/wiki/Tom_Baker	['1934', '2025']
Christian Bale	/wiki/Christian_Bale	['1974', '2025']
Ben Barnes	/wiki/Ben_Barnes_(actor)	['1981', '2025']
Sacha Baron Cohen	/wiki/Sacha_Baron_Cohen	['1971', '2025']
Mischa Barton	/wiki/Mischa_Barton	['1986', '2025']
Mathew Baynton	/wiki/Mathew_Baynton	['1980', '2025']
Sean Bean	/wiki/Sean_Bean	['1959', '2025']
Kate Beckinsale	/wiki/Kate_Beckinsale	['1973', '2025']
Richard Beckinsale	/wiki/Richard_Beckinsale	['1947', '1979']
Eliza Bennett	/wiki/Eliza_Bennett	['1992', '2025']
Rosalind Bennett	/wiki/Rosalind_Bennett	['1966', '2025']
Martin Benson	/wiki/Martin_Benson_(actor)	['1918', '2010']
Steven Berkoff	/wiki/Steven_Berkoff	['1937', '2025']
Brian Blessed	/wiki/Brian_Blessed	['1937', '2025']
Orlando Bloom	/wiki/Orlando_Bloom	['1977', '2025']
Emily Blunt	/wiki/Emily_Blunt	['1983', '2025']
Richard Briers	/wiki/Richard_Briers	['1934', '2013']
Tony Britton	/wiki/Tony_Britton	['1924', '2019']
Millie Bobby Brown	/wiki/Millie_Bobby_Brown	['2004', '2025']
Kelly Brook	/wiki/Kelly_Brook	['1979', '2025']
Kathy Burke	/wiki/Kathy_Burke	['1964', '2025']
Saffron Burrows	/wiki/Saffron_Burrows	['1972', '2025']
Sebastian Cabot	/wiki/Sebastian_Cabot_(actor)	['1918', '1977']
Michael Caine	/wiki/Michael_Caine	['1933', '2025']
Brian Cant	/wiki/Brian_Cant	['1933', '2017']
Helena Bonham Carter	/wiki/Helena_Bonham_Carter	['1966', '2025']
Kim Cattrall	/wiki/Kim_Cattrall	['1956', '2025']
Joan Collins	/wiki/Joan_Collins	['1933', '2025']
Daniel Craig	/wiki/Daniel_Craig	['1968', '2025']
Michael Crawford	/wiki/Michael_Crawford	['1942', '2025']
Mackenzie Crook	/wiki/Mackenzie_Crook	['1971', '2025']
Benedict Cumberbatch	/wiki/Benedict_Cumberbatch	['1976', '2025']
Tim Curry	/wiki/Tim_Curry	['1946', '2025']
Jack Davenport	/wiki/Jack_Davenport	['1973', '2025']
Anthony Dawson	/wiki/Anthony_Dawson	['1916', '1992']
Daniel Day-Lewis	/wiki/Daniel_Day-Lewis	['1957', '2025']
Roger Delgado	/wiki/Roger_Delgado	['1918', '1973']
Judi Dench	/wiki/Judi_Dench	['1934', '2025']
Sarah Douglas	/wiki/Sarah_Douglas_(actress)	['1952', '2025']
Minnie Driver	/wiki/Minnie_Driver	['1970', '2025']
Christopher Eccleston	/wiki/Christopher_Eccleston	['1964', '2025']
Tamsin Egerton	/wiki/Tamsin_Egerton	['1988', '2025']
Jennifer Ehle	/wiki/Jennifer_Ehle	['1969', '2025']
Idris Elba	/wiki/Idris_Elba	['1972', '2025']
Jennifer Ellison	/wiki/Jennifer_Ellison	['1983', '2025']
Alice Eve	/wiki/Alice_Eve	['1982', '2025']
Rupert Everett	/wiki/Rupert_Everett	['1959', '2025']
Craig Fairbrass	/wiki/Craig_Fairbrass	['1964', '2025']
JJ Feild	/wiki/JJ_Feild	['1978', '2025']
Tom Felton	/wiki/Tom_Felton	['1987', '2025']
Emerald Fennell	/wiki/Emerald_Fennell	['1985', '2025']
Joseph Fiennes	/wiki/Joseph_Fiennes	['1970', '2025']
Ralph Fiennes	/wiki/Ralph_Fiennes	['1962', '2025']
Colin Firth	/wiki/Colin_Firth	['1960', '2025']
Dexter Fletcher	/wiki/Dexter_Fletcher	['1966', '2025']
Jamie Foreman	/wiki/Jamie_Foreman	['1958', '2025']
George Formby, Jr.	/wiki/George_Formby,_Jr.	['1904', '1961']
Claire Forlani	/wiki/Claire_Forlani	['1972', '2025']
Emilia Fox	/wiki/Emilia_Fox	['1974', '2025']
James Frain	/wiki/James_Frain	['1968', '2025']
Martin Freeman	/wiki/Martin_Freeman	['1971', '2025']
Anna Friel	/wiki/Anna_Friel	['1976', '2025']
Sadie Frost	/wiki/Sadie_Frost	['1965', '2025']
Michael Gambon	/wiki/Michael_Gambon	['1940', '2025']
Romola Garai	/wiki/Romola_Garai	['1982', '2025']
Patricia Garwood	/wiki/Patricia_Garwood	['1941', '2025']
John Gielgud	/wiki/John_Gielgud	['1904', '2000']
Stephen Graham	/wiki/Stephen_Graham_(actor)	['1973', '2025']
Cary Grant	/wiki/Cary_Grant	['1904', '1986']
Hugh Grant	/wiki/Hugh_Grant	['1960', '2025']
Leslie Grantham	/wiki/Leslie_Grantham	['1947', '2025']
Sydney Greenstreet	/wiki/Sydney_Greenstreet	['1879', '1954']
John Gregson	/wiki/John_Gregson	['1919', '1975']
Rupert Grint	/wiki/Rupert_Grint	['1988', '2025']
Sienna Guillory	/wiki/Sienna_Guillory	['1975', '2025']
Alec Guinness	/wiki/Alec_Guinness	['1914', '2000']
Brian Hall	/wiki/Brian_Hall_(actor)	['1937', '1997']
Rebecca Hall	/wiki/Rebecca_Hall	['1982', '2025']
Dani Harmer	/wiki/Dani_Harmer	['1989', '2025']
Ricci Harnett	/wiki/Ricci_Harnett	['1973', '2025']
Frank Harper	/wiki/Frank_Harper	['1962', '2025']
Jack Hawkins	/wiki/Jack_Hawkins	['1910', '1973']
Will Hay	/wiki/Will_Hay	['1888', '1949']
Georgie Henley	/wiki/Georgie_Henley	['1995', '2025']
Audrey Hepburn	/wiki/Audrey_Hepburn	['1929', '1993']
Tom Hiddleston	/wiki/Tom_Hiddleston	['1981', '2025']
Wendy Hiller	/wiki/Wendy_Hiller	['1912', '2003']
Stanley Holloway	/wiki/Stanley_Holloway	['1890', '1982']
Bob Hoskins	/wiki/Bob_Hoskins	['1942', '2014']
Nicholas Hoult	/wiki/Nicholas_Hoult	['1989', '2025']
Leslie Howard	/wiki/Leslie_Howard_(actor)	['1893', '1943']
Annie Hulley	/wiki/Annie_Hulley	['1955', '2025']
Rosie Huntington-Whiteley	/wiki/Rosie_Huntington-Whiteley	['1987', '2025']
Elizabeth Hurley	/wiki/Elizabeth_Hurley	['1965', '2025']
John Hurt	/wiki/John_Hurt	['1940', '2017']
Jeremy Irons	/wiki/Jeremy_Irons	['1948', '2025']
Theo James	/wiki/Theo_James	['1984', '2025']
David Jason	/wiki/David_Jason	['1940', '2025']
Aaron Johnson	/wiki/Aaron_Johnson_(actor)	['1990', '2025']
Boris Karloff	/wiki/Boris_Karloff	['1887', '1969']
Toby Kebbell	/wiki/Toby_Kebbell	['1982', '2025']
William Kempe	/wiki/William_Kempe	['1900', '1950']
Skandar Keynes	/wiki/Skandar_Keynes	['1991', '2025']
Ben Kingsley	/wiki/Ben_Kingsley	['1943', '2025']
Keira Knightley	/wiki/Keira_Knightley	['1985', '2025']
Bobby Knutt	/wiki/Bobby_Knutt	['1945', '2017']
Charles Laughton	/wiki/Charles_Laughton	['1899', '1962']
Stan Laurel	/wiki/Stan_Laurel	['1890', '1965']
Hugh Laurie	/wiki/Hugh_Laurie	['1959', '2025']
Jude Law	/wiki/Jude_Law	['1972', '2025']
Jane Leeves	/wiki/Jane_Leeves	['1961', '2025']
Vivien Leigh	/wiki/Vivien_Leigh	['1913', '1967']
Margaret Lockwood	/wiki/Margaret_Lockwood	['1916', '1990']
Joanna Lumley	/wiki/Joanna_Lumley	['1946', '2025']
Patrick Macnee	/wiki/Patrick_Macnee	['1922', '2015']
Roy Marsden	/wiki/Roy_Marsden	['1941', '2025']
Anna Massey	/wiki/Anna_Massey	['1937', '2011']
Martine McCutcheon	/wiki/Martine_McCutcheon	['1976', '2025']
Ian McKellen	/wiki/Ian_McKellen	['1939', '2025']
Sienna Miller	/wiki/Sienna_Miller	['1981', '2025']
Wentworth Miller	/wiki/Wentworth_Miller	['1972', '2025']
Hayley Mills	/wiki/Hayley_Mills	['1946', '2025']
John Mills	/wiki/John_Mills	['1908', '2005']
Helen Mirren	/wiki/Helen_Mirren	['1945', '2025']
Georgia Tennant	/wiki/Georgia_Tennant	['1984', '2025']
Dominic Monaghan	/wiki/Dominic_Monaghan	['1976', '2025']
Roger Moore	/wiki/Roger_Moore	['1927', '2017']
Nick Moran	/wiki/Nick_Moran	['1969', '2025']
Kenneth More	/wiki/Kenneth_More	['1914', '1982']
Joseph Morgan	/wiki/Joseph_Morgan_(actor)	['1981', '2025']
Samantha Morton	/wiki/Samantha_Morton	['1977', '2025']
William Moseley	/wiki/William_Moseley_(actor)	['1987', '2025']
Carey Mulligan	/wiki/Carey_Mulligan	['1985', '2025']
Billy Murray	/wiki/Billy_Murray_(actor)	['1941', '2025']
Sophia Myles	/wiki/Sophia_Myles	['1980', '2025']
Parminder Nagra	/wiki/Parminder_Nagra	['1975', '2025']
Anthony Newley	/wiki/Anthony_Newley	['1931', '1999']
Bill Nighy	/wiki/Bill_Nighy	['1949', '2025']
David Niven	/wiki/David_Niven	['1910', '1983']
Merle Oberon	/wiki/Merle_Oberon	['1911', '2025']
Sophie Okonedo	/wiki/Sophie_Okonedo	['1969', '2025']
Gary Oldman	/wiki/Gary_Oldman	['1958', '2025']
Laurence Olivier	/wiki/Laurence_Olivier	['1907', '1989']
Clive Owen	/wiki/Clive_Owen	['1964', '2025']
Cecil Parker	/wiki/Cecil_Parker	['1897', '1971']
Dev Patel	/wiki/Dev_Patel	['1990', '2025']
Robert Pattinson	/wiki/Robert_Pattinson	['1986', '2025']
Simon Pegg	/wiki/Simon_Pegg	['1970', '2025']
Alex Pettyfer	/wiki/Alex_Pettyfer	['1900', '1950']
Tim Pigott-Smith	/wiki/Tim_Pigott-Smith	['1946', '2017']
Rosamund Pike	/wiki/Rosamund_Pike	['1979', '2025']
Billie Piper	/wiki/Billie_Piper	['1982', '2025']
Anna Popplewell	/wiki/Anna_Popplewell	['1988', '2025']
Dominic Purcell	/wiki/Dominic_Purcell	['1970', '2025']
Daniel Radcliffe	/wiki/Daniel_Radcliffe	['1989', '2025']
Oliver Reed	/wiki/Oliver_Reed	['1938', '1999']
