text	link	year
Shannon-Ogbnai Abeda	/wiki/Shannon-Ogbnai_Abeda	['1900', '1950']
Abel Aferworki	/wiki/Abel_Aferworki	['1900', '1950']
Alexander Isak	/wiki/Alexander_Isak	['1900', '1950']
Nat Berhe	/wiki/Nat_Berhe	['1900', '1950']
Joel Gerezgiher	/wiki/Joel_Gerezgiher	['1900', '1950']
Henok Goitom	/wiki/Henok_Goitom	['1900', '1950']
Nebiat Habtemariam	/wiki/Nebiat_Habtemariam	['1900', '1950']
Mebrahtom	/wiki/Mebrahtom_(Meb)_Keflezighi	['1900', '1950']
Thomas Kelati	/wiki/Thomas_Kelati	['1900', '1950']
Yonas Kifle	/wiki/Yonas_Kifle	['1900', '1950']
Oliver Kylington	/wiki/Oliver_Kylington	['1900', '1950']
Golgol Mebrahtu	/wiki/Golgol_Mebrahtu	['1900', '1950']
Teklemariam Medhin	/wiki/Teklemariam_Medhin	['1900', '1950']
Simret Sultan	/wiki/Simret_Sultan	['1900', '1950']
Zersenay Tadese	/wiki/Zersenay_Tadese	['1900', '1950']
Michael Adonai	/wiki/Michael_Adonai	['1900', '1950']
Yegizaw Michael	/wiki/Yegizaw_Michael	['1900', '1950']
Swizz Beatz	/wiki/Swizz_Beatz	['1900', '1950']
Abraham Afewerki	/wiki/Abraham_Afewerki	['1900', '1950']
Afrob	/wiki/Afrob	['1900', '1950']
Negash Ali	/wiki/Negash_Ali	['1900', '1950']
Yemane Baria	/wiki/Yemane_Baria	['1900', '1950']
Helen Berhane	/wiki/Helen_Berhane	['1900', '1950']
Adiam Dymott	/wiki/Adiam_Dymott	['1900', '1950']
Eriam Sisters	/wiki/Eriam_Sisters	['1900', '1950']
Dehab Faytinga	/wiki/Dehab_Faytinga	['1900', '1950']
Abeba Haile	/wiki/Abeba_Haile	['1900', '1950']
Nipsey Hussle	/wiki/Nipsey_Hussle	['1900', '1950']
J. Holiday	/wiki/J._Holiday	['1900', '1950']
Senait Ghebrehiwet Mehari	/wiki/Senait_Ghebrehiwet_Mehari	['1900', '1950']
Helen Meles	/wiki/Helen_Meles	['1900', '1950']
Bereket Mengisteab	/wiki/Bereket_Mengisteab	['1900', '1950']
U-n-i	/wiki/U-n-i	['1900', '1950']
Winta	/wiki/Winta	['1900', '1950']
Aminé	/wiki/Amin%C3%A9	['1900', '1950']
Zeudi Araya	/wiki/Zeudi_Araya	['1900', '1950']
Ella Thomas	/wiki/Ella_Thomas	['1900', '1950']
Tiffany Haddish	/wiki/Tiffany_Haddish	['1900', '1950']
Haregot Abbai	/wiki/Haregot_Abbai	['1900', '1950']
Abraha	/wiki/Abraha	['1900', '1950']
Ali Abdu Ahmed	/wiki/Ali_Abdu_Ahmed	['1900', '1950']
Ibrahim Sultan Ali	/wiki/Ibrahim_Sultan_Ali	['1900', '1950']
Aman Mikael Andom	/wiki/Aman_Mikael_Andom	['1900', '1950']
Hamid Idris Awate	/wiki/Hamid_Idris_Awate	['1900', '1950']
Tedla Bairu	/wiki/Tedla_Bairu	['1900', '1950']
Zerai Deres	/wiki/Zerai_Deres	['1900', '1950']
Araya Desta	/wiki/Araya_Desta	['1900', '1950']
Sebrat Ephrem	/wiki/Sebrat_Ephrem	['1900', '1950']
Yemane Gebreab	/wiki/Yemane_Gebreab	['1900', '1950']
Ghirmai Gebremariam	/wiki/Ghirmai_Gebremariam	['1900', '1950']
Umar Hassan	/wiki/Umar_Hassan	['1900', '1950']
Abdalla Jabir	/wiki/Abdalla_Jabir	['1900', '1950']
Abraha Kassa	/wiki/Abraha_Kassa	['1900', '1950']
Abdulkadir Kebire	/wiki/Abdulkadir_Kebire	['1900', '1950']
Tekle Kiflay	/wiki/Tekle_Kiflay	['1900', '1950']
Mohamed Omer	/wiki/Mohamed_Omer_(Eritrean_politician)	['1900', '1950']
Osman Saleh Sabbe	/wiki/Osman_Saleh_Sabbe	['1900', '1950']
Mahmood Sherifo	/wiki/Mahmood_Sherifo	['1900', '1950']
Petros Solomon	/wiki/Petros_Solomon	['1900', '1950']
Paulos Tesfagiorgis	/wiki/Paulos_Tesfagiorgis	['1900', '1950']
Woldeab Woldemariam	/wiki/Woldeab_Woldemariam	['1900', '1950']
Haile Woldense	/wiki/Haile_Woldense	['1900', '1950']
Semhar Araia	/wiki/Semhar_Araia	['1900', '1950']
Haben Girma	/wiki/Haben_Girma	['1900', '1950']
Bereket Habte Selassie	/wiki/Bereket_Habte_Selassie	['1900', '1950']
Dawit Isaak	/wiki/Dawit_Isaak	['1900', '1950']
Hannah Pool	/wiki/Hannah_Pool	['1900', '1950']
Fesshaye Yohannes	/wiki/Fesshaye_Yohannes	['1900', '1950']
Haile Debas	/wiki/Haile_Debas	['1900', '1950']
Paulos Tesfagiorgis	/wiki/Paulos_Tesfagiorgis	['1900', '1950']
Abram Petrovich Gannibal	/wiki/Abram_Petrovich_Gannibal	['1900', '1950']
Bahta Hagos	/wiki/Bahta_Hagos	['1900', '1950']
Bahr negus Yeshaq	/wiki/Bahr_negus_Yeshaq	['1900', '1950']
Template:Eritrea topics	/wiki/Template:Eritrea_topics	['1900', '1950']
Template talk:Eritrea topics	/wiki/Template_talk:Eritrea_topics	['1900', '1950']
Dʿmt	/wiki/D%CA%BFmt	['1900', '1950']
Medri Bahri	/wiki/Medri_Bahri	['1900', '1950']
Italian Eritrea	/wiki/Italian_Eritrea	['1900', '1950']
East African Campaign	/wiki/East_African_Campaign_(World_War_II)	['1900', '1950']
Independence Day	/wiki/Independence_Day_(Eritrea)	['1900', '1950']
Eritrea at the Olympics	/wiki/Eritrea_at_the_Olympics	['1900', '1950']
