text	link	year
Alemayehu Fentaw Weldemariam	/wiki/Alemayehu_Fentaw_Weldemariam	['1900', '1950']
Mohamed Hikam Sheikh Abdirahman	/wiki/Mohamed_Hikam_Sheikh_Abdirahman	['1900', '1950']
Amsalu Aklilu	/wiki/Amsalu_Aklilu	['1900', '1950']
Hizkias Assefa	/wiki/Hizkias_Assefa	['1900', '1950']
Bahrey	/wiki/Bahrey	['1900', '1950']
Gäbre-Heywät Baykädañ	/wiki/G%C3%A4bre-Heyw%C3%A4t_Bayk%C3%A4da%C3%B1	['1886', '1919']
Yosef Ben-Jochannan	/wiki/Yosef_Ben-Jochannan	['1900', '1950']
Eleni Gebre-Medhin	/wiki/Eleni_Gebre-Medhin	['1900', '1950']
Gebisa Ejeta	/wiki/Gebisa_Ejeta	['1900', '1950']
Getatchew Haile	/wiki/Getatchew_Haile	['1900', '1950']
Walda Heywat	/wiki/Walda_Heywat	['1900', '1950']
Ephraim Isaac	/wiki/Ephraim_Isaac	['1900', '1950']
Taddesse Tamrat	/wiki/Taddesse_Tamrat	['1900', '1950']
Sheikh Muhammad Rashid Bilal	/wiki/Sheikh_Muhammad_Rashid_Bilal	['1900', '1950']
Shekh Muhammad Tānī	/wiki/Shekh_Muhammad_T%C4%81n%C4%AB	['1900', '1950']
Merid Wolde Aregay	/wiki/Merid_Wolde_Aregay	['1900', '1950']
Mesfin Woldemariam	/wiki/Mesfin_Woldemariam	['1900', '1950']
Zera Yacob	/wiki/Zera_Yacob_(philosopher)	['1900', '1950']
Zewde Gebre-Sellassie	/wiki/Zewde_Gebre-Sellassie	['1900', '1950']
Mickaël Bethe-Selassié	/wiki/Micka%C3%ABl_Bethe-Selassi%C3%A9	['1900', '1950']
Alexander Boghossian	/wiki/Alexander_Boghossian	['1900', '1950']
Gebre Kristos Desta	/wiki/Gebre_Kristos_Desta	['1900', '1950']
Wosene Worke Kosrof	/wiki/Wosene_Worke_Kosrof	['1900', '1950']
Tadesse Mamechae	/wiki/Tadesse_Mamechae	['1900', '1950']
Julie Mehretu	/wiki/Julie_Mehretu	['1900', '1950']
Aida Muluneh	/wiki/Aida_Muluneh	['1900', '1950']
Afewerk Tekle	/wiki/Afewerk_Tekle	['1900', '1950']
