text	link	year
Heðin Brú	/wiki/He%C3%B0in_Br%C3%BA	['1900', '1950']
Marianna Debes Dahl	/wiki/Marianna_Debes_Dahl	['1900', '1950']
Joen Danielsen	/wiki/Joen_Danielsen	['1900', '1950']
Hans Andrias Djurhuus	/wiki/Hans_Andrias_Djurhuus	['1900', '1950']
Janus Djurhuus	/wiki/Janus_Djurhuus	['1900', '1950']
Jens Christian Djurhuus	/wiki/Jens_Christian_Djurhuus	['1900', '1950']
Bergtóra Hanusardóttir	/wiki/Bergt%C3%B3ra_Hanusard%C3%B3ttir	['1900', '1950']
Jens Pauli Heinesen	/wiki/Jens_Pauli_Heinesen	['1900', '1950']
William Heinesen	/wiki/William_Heinesen	['1900', '1950']
Guðrið Helmsdal	/wiki/Gu%C3%B0ri%C3%B0_Helmsdal	['1900', '1950']
Rakel Helmsdal	/wiki/Rakel_Helmsdal	['1900', '1950']
Ebba Hentze	/wiki/Ebba_Hentze	['1900', '1950']
Jógvan Isaksen	/wiki/J%C3%B3gvan_Isaksen	['1900', '1950']
Jørgen-Frantz Jacobsen	/wiki/J%C3%B8rgen-Frantz_Jacobsen	['1900', '1950']
Steinbjørn B. Jacobsen	/wiki/Steinbj%C3%B8rn_B._Jacobsen	['1900', '1950']
Poul F. Joensen	/wiki/Poul_F._Joensen	['1900', '1950']
Oddvør Johansen	/wiki/Oddv%C3%B8r_Johansen	['1900', '1950']
Hanus Kamban	/wiki/Hanus_Kamban	['1900', '1950']
Sissal Kampmann	/wiki/Sissal_Kampmann	['1900', '1950']
Marjun Syderbø Kjelnæs	/wiki/Marjun_Syderb%C3%B8_Kjeln%C3%A6s	['1900', '1950']
Jóanes Nielsen	/wiki/J%C3%B3anes_Nielsen	['1900', '1950']
Rói Patursson	/wiki/R%C3%B3i_Patursson	['1900', '1950']
Kristian Osvald Viderø	/wiki/Kristian_Osvald_Vider%C3%B8	['1900', '1950']
Jacob Haugaard	/wiki/Jacob_Haugaard	['1900', '1950']
Heiðrikur á Heygum	/wiki/Hei%C3%B0rikur_%C3%A1_Heygum	['1900', '1950']
Olaf Johannessen	/wiki/Olaf_Johannessen_(actor)	['1900', '1950']
Katrin Ottarsdóttir	/wiki/Katrin_Ottarsd%C3%B3ttir	['1900', '1950']
Helena Patursson	/wiki/Helena_Patursson	['1900', '1950']
Sakaris Stórá	/wiki/Sakaris_St%C3%B3r%C3%A1	['1900', '1950']
Hans Tórgarð	/wiki/Hans_T%C3%B3rgar%C3%B0	['1900', '1950']
Peter Alberg	/wiki/Peter_Alberg	['1900', '1950']
Lena Anderssen	/wiki/Lena_Anderssen	['1900', '1950']
Greta Svabo Bech	/wiki/Greta_Svabo_Bech	['1900', '1950']
Kristian Blak	/wiki/Kristian_Blak	['1900', '1950']
Tróndur Bogason	/wiki/Tr%C3%B3ndur_Bogason	['1900', '1950']
Rúni Brattaberg	/wiki/R%C3%BAni_Brattaberg	['1900', '1950']
The Dreams	/wiki/The_Dreams	['1900', '1950']
Brandur Enni	/wiki/Brandur_Enni	['1900', '1950']
Bárður Háberg	/wiki/B%C3%A1r%C3%B0ur_H%C3%A1berg	['1900', '1950']
Guðrið Hansdóttir	/wiki/Gu%C3%B0ri%C3%B0_Hansd%C3%B3ttir	['1900', '1950']
Jens Marni Hansen	/wiki/Jens_Marni_Hansen	['1900', '1950']
Jógvan Hansen	/wiki/J%C3%B3gvan_Hansen	['1900', '1950']
Heiðrikur á Heygum	/wiki/Hei%C3%B0rikur_%C3%A1_Heygum	['1900', '1950']
Óli Jógvansson	/wiki/%C3%93li_J%C3%B3gvansson	['1900', '1950']
Jóannes Lamhauge	/wiki/J%C3%B3annes_Lamhauge	['1900', '1950']
Teitur Lassen	/wiki/Teitur_Lassen	['1900', '1950']
Høgni Lisberg	/wiki/H%C3%B8gni_Lisberg	['1900', '1950']
Dávur Juul Magnussen	/wiki/D%C3%A1vur_Juul_Magnussen	['1900', '1950']
Eivør Pálsdóttir	/wiki/Eiv%C3%B8r_P%C3%A1lsd%C3%B3ttir	['1900', '1950']
Sunnleif Rasmussen	/wiki/Sunnleif_Rasmussen	['1900', '1950']
Høgni Reistrup	/wiki/H%C3%B8gni_Reistrup	['1900', '1950']
Laila av Reyni	/wiki/Laila_av_Reyni	['1900', '1950']
Evi Tausen	/wiki/Evi_Tausen	['1900', '1950']
Týr	/wiki/T%C3%BDr_(band)	['1900', '1950']
